"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.354550402668384,0.429285789013633,1.36125595602415,0.463467153497921,-0.288433270394696,0.122563416755699,0.577233435445718,0.12468552206667,0.19889557715932,0.615500117674341,1.06690159586108,0.621725905853047,-6.92052562823863,0.149576603156408,8.24324684374962,2.33280308942861,-5.1754301541003,0.0955530183524397,7.17450791576495,-0.466171221783958,0.0986516125012057,0.252740675373377,0.447558384621672,0.257324967267926,-1.80848731125686,-0.0613371406235828,2.01078485926104,-0.00928031234946374,-1.20137458481711,-0.0911040340924445,1.07976924600226,-0.0818086593039213,1.42368467286651,2.44994524724472,3.57506248053608,2.45409645042464,"Male","Nevada"
"2","Cancers",-0.471109718487443,0.0228144575053655,0.611198427447049,0.0347978836063493,-0.208916443109454,0.239872048840522,0.697657940540699,0.244952842069037,-0.313201197144554,0.0547793357603208,0.464752581602742,0.0598730138141745,-3.56757531177749,0.0723000275805365,2.78713567819015,-0.679295765927552,-9.10485440338337,0.00186345159174997,8.43821369749766,-0.907681135349556,-0.168434382159408,0.022287172771267,0.177900579182715,0.0179230540441688,-1.80848731125686,-0.0613371406235828,2.01078485926104,-0.00928031234946374,-1.20137458481711,-0.0911040340924445,1.07976924600226,-0.0818086593039213,1.42368467286651,2.44994524724472,3.57506248053608,2.45409645042464,"Male","Nevada"
"3","Cardiovascular",-2.14034132685485,-1.26557827406781,-0.353731856665268,-1.26118619363013,-0.708529689999552,-0.108019837502751,0.465133778177234,-0.115218084540287,-0.613673034453565,-0.10532370304679,0.403387197897301,-0.0945253821473348,-21.3987234620136,0.807323943351527,19.8203743764149,-2.53306178137686,-4.92260630096601,0.27702553468177,7.03477996623426,0.0571484110155823,-0.345422685811481,-0.0418797173364342,0.141552831314101,-0.0569932933180441,-1.80848731125686,-0.0613371406235828,2.01078485926104,-0.00928031234946374,-1.20137458481711,-0.0911040340924445,1.07976924600226,-0.0818086593039213,1.42368467286651,2.44994524724472,3.57506248053608,2.45409645042464,"Male","Nevada"
"4","Communicable",-0.172442488677091,0.159517759836774,0.801217116079468,0.201373600295385,-0.538250073429568,-0.184168495137239,0.115357082257338,-0.190602755043495,-0.0694912306389769,0.275084634281405,0.684565690103223,0.283175727740882,-2.98681232524993,0.0240633272942685,4.56887176335041,0.974109924393681,-5.7160111001786,0.114860319179612,6.63340679770707,0.239252683190774,-0.038361872268855,0.113513551102135,0.26804615829879,0.114308841759646,-1.80848731125686,-0.0613371406235828,2.01078485926104,-0.00928031234946374,-1.20137458481711,-0.0911040340924445,1.07976924600226,-0.0818086593039213,1.42368467286651,2.44994524724472,3.57506248053608,2.45409645042464,"Male","Nevada"
"5","Injuries",-0.519348355306889,0.585901224092145,1.90238876431966,0.625668401322526,-0.923341020510411,-0.270816424617129,0.37160343532202,-0.277935768381408,0.956572686610548,1.49454304408847,2.04486831245505,1.49554162937633,-10.3425580578679,0.26566549104981,9.37485443004372,0.980342185689365,-7.45395365046357,0.432116859910476,12.3747138177276,2.9426498320516,0.409826290469977,0.611538695489883,0.982477750662134,0.633911894547582,-1.80848731125686,-0.0613371406235828,2.01078485926104,-0.00928031234946374,-1.20137458481711,-0.0911040340924445,1.07976924600226,-0.0818086593039213,1.42368467286651,2.44994524724472,3.57506248053608,2.45409645042464,"Male","Nevada"
"6","Non-communicable",-0.29138849577927,-0.078090091571507,0.17104227755575,-0.0734011574415202,-0.0686438188803218,0.134133224613729,0.325751707354162,0.132309584525562,-0.152896047884415,0.0830822842974931,0.346213487603058,0.0883055557875432,-1.83634721044409,0.0340802912621294,1.61762735490058,-0.0748976522072443,-5.03892726204406,-0.0465505703524709,3.62461675449862,-0.865198569124448,-0.079138156206443,0.0351563086730166,0.143607157378329,0.033524535698721,-1.80848731125686,-0.0613371406235828,2.01078485926104,-0.00928031234946374,-1.20137458481711,-0.0911040340924445,1.07976924600226,-0.0818086593039213,1.42368467286651,2.44994524724472,3.57506248053608,2.45409645042464,"Male","Nevada"
"7","All other causes",-0.583468026500011,0.257287601900617,1.29299453964918,0.2884980372298,-0.134875881545089,0.389694880167859,0.976660814463178,0.397100189920428,0.107791399250608,0.614136408003148,1.14106236338306,0.607276191877553,-3.56628813038183,0.273200917931066,3.85133897615181,1.23051298875198,-2.94420684687284,0.394393162417544,3.67187519946712,3.82005690937323,0.0860549398557012,0.435393960832585,1.29296509479225,0.492870735626837,-1.15022900535723,0.620591598250372,2.73347268107045,0.644868574829208,-0.690123154899387,0.702342425869355,1.98333530419864,0.683169181133416,0.304094267093711,1.4091111541539,2.47693665854774,1.39977826040883,"Female","Nevada"
"8","Cancers",-0.162122279317064,0.254318172292846,0.726043613605462,0.255867948131069,-0.383867583540884,0.0324907699052101,0.369585081672044,0.0180208591041168,-0.569521891805046,-0.226418936059969,0.161265894929058,-0.220130716299956,-2.82180550230085,0.159099545415153,2.75004762094645,0.529475941465133,-1.30096131728077,0.0795235937473121,2.06452073642132,0.3253710651063,-1.10761492730906,-0.163777558563738,0.0937882482332822,-0.242957946227065,-1.15022900535723,0.620591598250372,2.73347268107045,0.644868574829208,-0.690123154899387,0.702342425869355,1.98333530419864,0.683169181133416,0.304094267093711,1.4091111541539,2.47693665854774,1.39977826040883,"Female","Nevada"
"9","Cardiovascular",-1.75093514488617,-0.410482765844308,1.24481564849353,-0.377194903399579,-0.841734319045473,0.123429480389524,1.03245776246091,0.105231869772516,-0.504868521855932,0.159469182363924,0.825805189939024,0.164373825571292,-8.5411402845827,0.111251792463362,9.17448939931229,-2.82525262928775,-3.60400195651316,0.309940539292942,3.60621878143406,-3.68384339245803,-0.943380147354664,0.116668196101404,0.593576782772184,0.0375672898227821,-1.15022900535723,0.620591598250372,2.73347268107045,0.644868574829208,-0.690123154899387,0.702342425869355,1.98333530419864,0.683169181133416,0.304094267093711,1.4091111541539,2.47693665854774,1.39977826040883,"Female","Nevada"
"10","Communicable",-0.117862471907785,0.0875379642348492,0.428318080072386,0.104983699972979,-0.260450623185438,-0.0227757892624703,0.139935650097661,-0.0342771188428897,-0.220710398544749,-0.00831737699837523,0.272676468925268,0.00771533872580758,-1.05143185080826,0.0594113762352511,1.48748411250603,1.10080857808552,-1.03405180170454,0.00161781994952048,1.04094325443108,-1.0380771724532,-0.254754420990425,-0.00513905955306499,0.225533089118421,-0.00563917563914808,-1.15022900535723,0.620591598250372,2.73347268107045,0.644868574829208,-0.690123154899387,0.702342425869355,1.98333530419864,0.683169181133416,0.304094267093711,1.4091111541539,2.47693665854774,1.39977826040883,"Female","Nevada"
