"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",0.131054820746455,0.450607745991544,0.804928167585784,0.455453932817891,-0.215105645337126,0.079765479686996,0.351040160494844,0.0797939422029975,0.995122589108595,1.23769833347827,1.50813560575112,1.24156668736187,0.0909263333632387,0.271671347110065,0.440448069334002,0.271470010068111,-0.148042750741144,-0.0300795009146921,0.0752383346809127,-0.0331936670255603,0.188909370853175,0.227741641089522,0.272234703848043,0.228717094312804,1.08974562130905,1.66138865882771,2.20212643389285,1.66717206974719,-3.06279581192324,-2.6198926738558,-2.15915788481831,-2.62290021006589,4.93245232411529,5.42393604074888,5.93279030486528,5.42708461301647,"Male","New Jersey"
"2","Cancers",-0.728200909829851,-0.543605396225305,-0.343993934261197,-0.542900380698804,-0.111389196901495,0.0581642340207944,0.231371831240418,0.0571624773816071,0.513162119954808,0.699502418995064,0.893502103384067,0.701616073151273,-0.576541617288947,-0.324383077280001,-0.18059400154073,-0.339076482473205,-0.0959106540103458,-0.0221230500574315,0.0395746320159306,-0.0229207772228932,0.096534839664608,0.129179950388102,0.16313838674815,0.129267546292896,1.08974562130905,1.66138865882771,2.20212643389285,1.66717206974719,-3.06279581192324,-2.6198926738558,-2.15915788481831,-2.62290021006589,4.93245232411529,5.42393604074888,5.93279030486528,5.42708461301647,"Male","New Jersey"
"3","Cardiovascular",0.0823322921077603,0.38510129204266,0.690225442873152,0.386928423780367,-0.274873853811604,-0.027588761676431,0.207141548142238,-0.0283650354781245,-0.215765766960633,0.0112850751577199,0.240752810238482,0.0121614841957645,0.0615779244474047,0.231721729687588,0.396127687297413,0.230171833221704,-0.0849387994555764,0.0104963949448942,0.0961575628429133,0.00907177457003892,-0.0418072140201335,0.00207348811383151,0.043097242473511,0.00179179270272499,1.08974562130905,1.66138865882771,2.20212643389285,1.66717206974719,-3.06279581192324,-2.6198926738558,-2.15915788481831,-2.62290021006589,4.93245232411529,5.42393604074888,5.93279030486528,5.42708461301647,"Male","New Jersey"
"4","Communicable",0.107255410731334,0.280787675592297,0.457025030000277,0.279679360957862,-2.95068691191851,-2.70704720871917,-2.47101263341346,-2.7072562251101,2.57502863934418,2.81445560917422,3.04999643738966,2.81333971060232,0.0661640598106896,0.167985126365639,0.286524541525262,0.170234745048727,0.895054717680098,1.03109655230741,1.24051212338465,1.03887207603834,0.472106118694673,0.517638376260676,0.570084896267983,0.519087247879766,1.08974562130905,1.66138865882771,2.20212643389285,1.66717206974719,-3.06279581192324,-2.6198926738558,-2.15915788481831,-2.62290021006589,4.93245232411529,5.42393604074888,5.93279030486528,5.42708461301647,"Male","New Jersey"
"5","Injuries",0.85804293182819,1.11921706061419,1.3597300524757,1.11318576519276,-0.207936312881582,-0.0368061241995019,0.135484901683417,-0.0377859719238314,0.304339122230617,0.509488176662482,0.694841294562791,0.506681521561314,0.481110084526173,0.670930589534868,0.987312997466008,0.683648964654363,-0.0556005301045295,0.0139965482632544,0.0779359197448121,0.0135819685160611,0.0587323845081204,0.0942761683327775,0.125651415284256,0.0932372635565261,1.08974562130905,1.66138865882771,2.20212643389285,1.66717206974719,-3.06279581192324,-2.6198926738558,-2.15915788481831,-2.62290021006589,4.93245232411529,5.42393604074888,5.93279030486528,5.42708461301647,"Male","New Jersey"
"6","Non-communicable",-0.139023706040508,-0.0278062343015449,0.105438202273352,-0.0251750323028813,-0.0873691665591069,0.0156341975112311,0.111885018311676,0.0135506028615619,0.0281776688822608,0.153812684073175,0.276107284204994,0.151719136143923,-0.0950781463114034,-0.0162061340462919,0.0647189912951833,-0.0164490705197004,-0.0444075441409233,-0.00587653855012457,0.0329754123955502,-0.00541137487599155,0.00528310312462871,0.0281957324804748,0.0507507883065262,0.0278990552552828,1.08974562130905,1.66138865882771,2.20212643389285,1.66717206974719,-3.06279581192324,-2.6198926738558,-2.15915788481831,-2.62290021006589,4.93245232411529,5.42393604074888,5.93279030486528,5.42708461301647,"Male","New Jersey"
"7","All other causes",-0.0776618606057016,0.219889913476704,0.514169420801742,0.216620496270241,-0.1570660053725,0.0775930944256187,0.321902113601423,0.0780837015544108,0.604585545517869,0.834589721975671,1.0639403762505,0.835319502717998,-0.103201224507118,0.194293935523486,0.43604295707963,0.187395281436625,-0.304179026856354,-0.0563387483177248,0.0925248820642488,-0.0668082561166854,0.183980526541466,0.238613850882174,0.300034053702528,0.238853419834013,0.579747022809058,1.11507923158337,1.69187950020515,1.13047909782445,-1.88317397431003,-1.39855242233491,-0.895157765090988,-1.39231120237124,3.03587041311103,3.49308147968844,3.94814048513349,3.49639753438265,"Female","New Jersey"
"8","Cancers",-0.351066792627919,-0.166884487207249,0.0450863425155876,-0.163289971349249,-0.252296185205452,-0.0829236926279104,0.0772941359136406,-0.0834141324847761,0.0128373107441844,0.194780362074145,0.379747830682311,0.194486222122679,-0.471799122121896,-0.150766390514715,0.0325506642920622,-0.167602949894125,-0.0684989891894064,0.0574852781749183,0.172401930223776,0.0570089642503211,0.00386368915196349,0.0555571469955724,0.104958753608835,0.05520944269403,0.579747022809058,1.11507923158337,1.69187950020515,1.13047909782445,-1.88317397431003,-1.39855242233491,-0.895157765090988,-1.39231120237124,3.03587041311103,3.49308147968844,3.94814048513349,3.49639753438265,"Female","New Jersey"
"9","Cardiovascular",0.221517704519929,0.618524841932225,0.985397128666903,0.624076562113352,-0.159269844797741,0.132849329931842,0.424841308982516,0.130059943031563,0.174664832512425,0.411586557467756,0.692613369960916,0.419793706158842,0.287315499484744,0.553041039452547,0.882717483647578,0.557752031465414,-0.397979918878048,-0.0965215686817268,0.101404054359475,-0.109821000702489,0.0525309919706146,0.119164532189379,0.188053976721833,0.11911629412001,0.579747022809058,1.11507923158337,1.69187950020515,1.13047909782445,-1.88317397431003,-1.39855242233491,-0.895157765090988,-1.39231120237124,3.03587041311103,3.49308147968844,3.94814048513349,3.49639753438265,"Female","New Jersey"
"10","Communicable",0.0649161506510587,0.220568234761395,0.410710251339715,0.226651486848179,-1.73287766059237,-1.5479833792649,-1.37027509052504,-1.54852311773993,1.16725185069608,1.35337398740734,1.54845417522176,1.35519405026756,0.0649127565450978,0.197056521780839,0.429591651139369,0.212878919302943,0.849537769724661,1.11489948197777,1.68077191625389,1.14577142109684,0.331587675723093,0.388016627232394,0.457994860860948,0.388660129007434,0.579747022809058,1.11507923158337,1.69187950020515,1.13047909782445,-1.88317397431003,-1.39855242233491,-0.895157765090988,-1.39231120237124,3.03587041311103,3.49308147968844,3.94814048513349,3.49639753438265,"Female","New Jersey"
