"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.684545659925928,0.773174342571453,2.43325084933271,0.771056219635474,-1.42680318936817,-0.363453756756998,0.591558826936229,-0.375025646135993,0.16611344563153,1.1576977357395,2.32036295308257,1.18737065531093,-6.55902826882386,0.552223030627509,9.43308174666069,0.703398862725654,-7.01927483326208,-0.116460319175292,6.54628418237687,-2.64763493230208,-1.70278420738909,0.600500032321321,3.00265333695434,0.534042285708838,-1.79838159697582,0.388237572242591,2.826829249227,0.418912152781932,-0.959100379935786,0.773996503876258,2.54105993156095,0.757359123273318,-0.414628182767695,1.82247332193712,4.47612944063567,1.88172157391396,"Male","New Mexico"
"2","Cancers",-0.398101974162106,0.241856106638555,0.993572718675228,0.275153785408097,-0.0943293776215815,0.40206593478517,1.04396007308307,0.419142620250665,-0.827146900215741,-0.183378155284533,0.595694350687134,-0.159655018751086,-4.1439890098809,0.108650709621754,3.2683762876064,-0.109479649385981,-3.89102662385158,0.331726303514155,4.12516748704872,0.368879821732024,-1.6789428475564,-0.0757776960937651,0.974067669229283,0.173135211972624,-1.79838159697582,0.388237572242591,2.826829249227,0.418912152781932,-0.959100379935786,0.773996503876258,2.54105993156095,0.757359123273318,-0.414628182767695,1.82247332193712,4.47612944063567,1.88172157391396,"Male","New Mexico"
"3","Cardiovascular",-1.85081143709996,-0.50503899357189,0.934884781065299,-0.471423621688018,-0.738425486360426,0.30350399189517,1.3147340665276,0.284037655906475,-0.591183285256389,0.421727892226873,1.78633238485465,0.482977809887052,-8.18202020611196,0.173595786124264,7.77157832054988,0.456291481900989,-3.22049844449725,0.364161789607232,3.11950054743271,-2.01947330874789,-0.840525601574704,0.262296161610476,1.74277651611916,0.104591047548538,-1.79838159697582,0.388237572242591,2.826829249227,0.418912152781932,-0.959100379935786,0.773996503876258,2.54105993156095,0.757359123273318,-0.414628182767695,1.82247332193712,4.47612944063567,1.88172157391396,"Male","New Mexico"
"4","Communicable",-0.401984085064584,-0.145981938539975,0.325109796728191,-0.110300025718936,0.107747350612761,0.319731233618359,0.522822127611636,0.316968242558791,-0.644402963556631,-0.305782035211718,-0.00934291659062766,-0.309912433901096,-2.42072853533203,-0.0366040504531303,1.82073555951466,-0.15865137442349,-2.94982429420438,0.252196015447342,2.96565291081549,2.07263667243054,-1.34386580260012,-0.151124970709424,0.922087376460417,-0.0803927634228416,-1.79838159697582,0.388237572242591,2.826829249227,0.418912152781932,-0.959100379935786,0.773996503876258,2.54105993156095,0.757359123273318,-0.414628182767695,1.82247332193712,4.47612944063567,1.88172157391396,"Male","New Mexico"
"5","Injuries",-1.00586238584872,-0.166088043556094,1.07504929723697,-0.132267796819637,-0.702820964604281,0.0842807313253966,0.700728676103341,0.0640482289395461,-0.179419576113289,0.576780933779137,1.37914866006086,0.575765862594754,-4.73205913140263,0.116923339839196,4.57103525045512,-0.0349249321383554,-1.94884595237056,0.126017813468722,3.33580285644155,2.47378528341327,-0.597065440227575,0.289385777242725,1.49944770602525,0.393172071796595,-1.79838159697582,0.388237572242591,2.826829249227,0.418912152781932,-0.959100379935786,0.773996503876258,2.54105993156095,0.757359123273318,-0.414628182767695,1.82247332193712,4.47612944063567,1.88172157391396,"Male","New Mexico"
"6","Non-communicable",-0.276641920853647,0.0640826576766685,0.58060358692668,0.0866935919649527,-0.292960068082593,0.0546712356821657,0.385094602336249,0.0481880217538342,-0.497327409696787,0.117164407335576,0.676850541991105,0.105174698773405,-1.68221592990553,0.0419396287389248,2.0861014571886,0.143365611321183,-1.28483189261226,0.0581268816986717,1.31129327361435,0.751806463474139,-0.95745636841758,0.0631173055806571,0.697915396956867,-0.124547853603753,-1.79838159697582,0.388237572242591,2.826829249227,0.418912152781932,-0.959100379935786,0.773996503876258,2.54105993156095,0.757359123273318,-0.414628182767695,1.82247332193712,4.47612944063567,1.88172157391396,"Male","New Mexico"
"7","All other causes",-0.978002908741366,-0.0286782766760437,1.47897665258003,0.033878204240604,-0.518314248241554,0.20412752824749,0.973108773394719,0.210195522493645,-0.227134706764657,0.59691632999841,1.50241471089151,0.607608648410033,-4.08400589539715,0.138312233025472,4.41724810685634,-0.362669087387635,-3.88398177006371,0.221304648446584,5.72429927081515,1.39001521080766,-2.8824393065188,0.392888191259351,3.21360617805915,0.360767415924339,-1.9183688059795,0.668148485275548,3.8352493689428,0.750425286789698,-1.78539463404991,0.288581184122358,2.04142941728364,0.258436989355464,-0.578483247826058,1.35584341506829,3.63706744455944,1.38470264417716,"Female","New Mexico"
"8","Cancers",-0.274779117752868,0.207434428275372,0.932514001313621,0.230082419143349,-0.662248713862634,-0.0491185829318197,0.44359008054952,-0.0685513453013246,-1.12085484716456,-0.43559595991876,0.501166757706222,-0.416959512817648,-2.40499126185877,0.0708245756956878,2.34835428858505,0.323262337952485,-2.97612865840974,0.0306634159262422,3.98654736819037,-0.222405699371734,-4.93578733255337,-0.237076898118984,4.87193898030095,-0.014645376963591,-1.9183688059795,0.668148485275548,3.8352493689428,0.750425286789698,-1.78539463404991,0.288581184122358,2.04142941728364,0.258436989355464,-0.578483247826058,1.35584341506829,3.63706744455944,1.38470264417716,"Female","New Mexico"
"9","Cardiovascular",-2.43451858126501,-0.364606185551693,2.10511195912337,-0.337153188664653,-1.81206472394602,-0.284005988849095,1.13280757012794,-0.293381655733174,-0.482245081646669,0.680207854573669,1.99131320179801,0.703581317067024,-8.10387201327886,0.311803435421062,6.53779115986589,0.152695079808936,-7.94925126128526,0.417735746575922,5.76542549134749,-1.57713976452797,-1.90458448066236,0.491464497251353,3.35985253813469,0.381853033996956,-1.9183688059795,0.668148485275548,3.8352493689428,0.750425286789698,-1.78539463404991,0.288581184122358,2.04142941728364,0.258436989355464,-0.578483247826058,1.35584341506829,3.63706744455944,1.38470264417716,"Female","New Mexico"
"10","Communicable",-0.149246652578697,0.266744251828253,1.21573116370505,0.322935819520581,-0.205765395581843,0.0269859370804011,0.283364529946762,0.02876787164151,-0.21581273903475,0.0278187136683114,0.324197159859374,0.0325517663793388,-2.57787342602038,0.102599846068972,2.90935942947525,0.319251491484332,-1.04113795528057,0.0433518664387498,1.36001979057294,0.00962559794396989,-0.667481684203112,0.0252482023072806,0.772878872728383,-0.00695353787184219,-1.9183688059795,0.668148485275548,3.8352493689428,0.750425286789698,-1.78539463404991,0.288581184122358,2.04142941728364,0.258436989355464,-0.578483247826058,1.35584341506829,3.63706744455944,1.38470264417716,"Female","New Mexico"
