"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",0.0715007325922664,0.362679777041392,0.654303810767474,0.362759166330878,0.0126907836148174,0.223369422802582,0.455304408100716,0.222907703990364,0.445824135607666,0.643074823004202,0.846968012238201,0.642073510818607,0.0500852800224854,0.195666436167761,0.328645302027264,0.191634739403202,-0.364340292276794,-0.147702742726261,-0.00688169433254701,-0.15452494404467,0.117595062094049,0.165690474103478,0.212966083892042,0.165868580528883,1.39232514758179,1.87390686778303,2.38349242726812,1.87118460837628,-1.92308406326996,-1.52410216984325,-1.12699423040501,-1.52204302050549,3.48650558256836,3.86762843306962,4.23390401201788,3.86682571445755,"Male","North Carolina"
"2","Cancers",-0.761234829305773,-0.618358808130776,-0.488514298373297,-0.62085765522948,-0.342502242721556,-0.205389793129537,-0.0630429465956931,-0.205639247335491,0.25814397897123,0.412757238055089,0.57127868615298,0.415181000386496,-0.498137418331919,-0.332696132776613,-0.231864230842265,-0.339514652862358,0.0423247727486891,0.13542733049767,0.228919025673427,0.135826694407136,0.068301797999943,0.107367797808469,0.145709358693228,0.107269449399222,1.39232514758179,1.87390686778303,2.38349242726812,1.87118460837628,-1.92308406326996,-1.52410216984325,-1.12699423040501,-1.52204302050549,3.48650558256836,3.86762843306962,4.23390401201788,3.86682571445755,"Male","North Carolina"
"3","Cardiovascular",-0.0446590552542645,0.226202807800478,0.501060231776853,0.228929832686239,-0.525383667043971,-0.300194955398973,-0.0773279708133129,-0.300416336257673,0.41169340146822,0.610699549250271,0.815311965649118,0.610201984237864,-0.0271067349341535,0.121172343657752,0.253269258171684,0.11948209920444,0.0594990966457913,0.196704446383409,0.321942774445777,0.195287392623288,0.110429964073326,0.15723619932474,0.205615793261374,0.15756243391303,1.39232514758179,1.87390686778303,2.38349242726812,1.87118460837628,-1.92308406326996,-1.52410216984325,-1.12699423040501,-1.52204302050549,3.48650558256836,3.86762843306962,4.23390401201788,3.86682571445755,"Male","North Carolina"
"4","Communicable",0.402108819533894,0.537949905038109,0.686424977287862,0.540317684485362,-0.985220404943713,-0.856732921695531,-0.733327801751143,-0.859643473211867,0.751305080961255,0.886407302898678,1.0272421455123,0.888659930774235,0.211847970085055,0.28814468540226,0.407380570939824,0.292906440880023,0.446217473567499,0.56187294793826,0.755814892955792,0.573983066732819,0.197403154409306,0.22957762011994,0.268545889932299,0.230163984865505,1.39232514758179,1.87390686778303,2.38349242726812,1.87118460837628,-1.92308406326996,-1.52410216984325,-1.12699423040501,-1.52204302050549,3.48650558256836,3.86762843306962,4.23390401201788,3.86682571445755,"Male","North Carolina"
"5","Injuries",1.08706844756719,1.34377157301888,1.62798319479342,1.34702932102869,-0.481506830968267,-0.288235612317417,-0.0938655012631181,-0.287080539964226,1.09235162155015,1.2927468866707,1.47580651193033,1.29230174821968,0.566679640587301,0.722168219910206,0.937896544431217,0.729056619299382,0.072338523427831,0.188141952778017,0.313728973660051,0.188589282088001,0.28975984194447,0.334607998855591,0.381578650517656,0.334558710942189,1.39232514758179,1.87390686778303,2.38349242726812,1.87118460837628,-1.92308406326996,-1.52410216984325,-1.12699423040501,-1.52204302050549,3.48650558256836,3.86762843306962,4.23390401201788,3.86682571445755,"Male","North Carolina"
"6","Non-communicable",-0.0839772355223625,0.0124923330306244,0.109906438265128,0.0130062590745995,-0.179587751467697,-0.0922444409984038,-0.0114106590552032,-0.0921711277265995,-0.090736110469799,0.0171782901208304,0.131427900314494,0.0184075400206618,-0.0512591826632058,0.00664724137800551,0.059034534573561,0.00643475407531038,0.00792442538670291,0.0604294179129333,0.120665581034448,0.0608385081934244,-0.0246619392776263,0.00458159954246815,0.0323021847719193,0.0045768403511705,1.39232514758179,1.87390686778303,2.38349242726812,1.87118460837628,-1.92308406326996,-1.52410216984325,-1.12699423040501,-1.52204302050549,3.48650558256836,3.86762843306962,4.23390401201788,3.86682571445755,"Male","North Carolina"
"7","All other causes",0.516642119851339,0.811288357023079,1.10995744785715,0.811513334832575,-0.16016259151643,0.0410197956838517,0.24232648934522,0.0391667093336353,0.372530750823433,0.568650015596636,0.780103799987401,0.569802430519795,0.19675690881149,0.291829857384137,0.38617063960981,0.291460822515475,-3.79301129885875,0.294869590753982,5.21320087886646,1.39248737667751,0.14520100667785,0.21170538915196,0.272104148609245,0.210599610990529,2.2363594592622,2.78829702017003,3.30292412429382,2.78405335590372,-0.394842548930606,0.0395784775989796,0.46555804731137,0.0343587959740305,2.31619503889504,2.69805501236535,3.07707516920614,2.69976303356519,"Female","North Carolina"
"8","Cancers",-0.235379908436681,-0.0822662581204014,0.0604301854534182,-0.084422268808025,-0.139130317530133,0.00538768348491298,0.144064960579239,0.00490097873481862,-0.0528880191414968,0.093396918473877,0.248677244590858,0.0949982766333829,-0.0908813352670435,-0.0296126660409135,0.0209029325006907,-0.0312542260914304,-3.58842854360436,0.0966060076382865,2.51373087365283,0.0168914854604719,-0.0202711307915109,0.0350113452707201,0.0879836865497043,0.0345778787363123,2.2363594592622,2.78829702017003,3.30292412429382,2.78405335590372,-0.394842548930606,0.0395784775989796,0.46555804731137,0.0343587959740305,2.31619503889504,2.69805501236535,3.07707516920614,2.69976303356519,"Female","North Carolina"
"9","Cardiovascular",0.677426058156816,1.03306467950844,1.41669614558369,1.0440484594992,-0.125698131857155,0.130587586908743,0.420224042469763,0.132514336344715,0.656261334447426,0.877310098082729,1.09774115671306,0.876218152788813,0.270637977478946,0.374027886314119,0.472095413424692,0.374145622213519,-6.49387091506906,0.64038518923425,11.4551282930834,-3.06216566578104,0.256852225165601,0.324836674304909,0.394177735736166,0.324595255371688,2.2363594592622,2.78829702017003,3.30292412429382,2.78405335590372,-0.394842548930606,0.0395784775989796,0.46555804731137,0.0343587959740305,2.31619503889504,2.69805501236535,3.07707516920614,2.69976303356519,"Female","North Carolina"
"10","Communicable",0.354469256074948,0.495411303804951,0.647277879993531,0.496132248842808,-0.288912379601521,-0.205789826721443,-0.118695267073409,-0.204330062708479,0.14581746510444,0.244561067042463,0.33746303393473,0.243823028260649,0.127844564063746,0.177685446731203,0.238661136754397,0.179225042262565,-14.6815472050388,-0.517853072248209,10.5064095993651,2.38706205406693,0.0547944463587852,0.0907713680149555,0.124163255764813,0.0904282874780004,2.2363594592622,2.78829702017003,3.30292412429382,2.78405335590372,-0.394842548930606,0.0395784775989796,0.46555804731137,0.0343587959740305,2.31619503889504,2.69805501236535,3.07707516920614,2.69976303356519,"Female","North Carolina"
