"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-1.04697101658895,-0.212178849109693,0.820781931367769,-0.187287990747073,-0.862933187849571,-0.102334488103017,0.577445719067485,-0.113877813832673,0.673978723452383,1.33766278739504,2.25298694909651,1.38220201039727,-4.50319541967318,0.180112706850296,6.61037638893018,0.574316821161276,-6.23080985432343,0.0256599977805945,3.95026373656243,-0.605195969002852,0.254716057251671,0.492318631124678,0.999097116810298,0.526975734534274,-1.93278148536787,-0.022170553373833,2.14393821579605,0.0177065237085114,-0.883115634212942,0.580374522930607,2.0314754086417,0.575803397261247,1.22866558524907,2.77906197690003,4.53257866614281,2.80834992156501,"Male","Oregon"
"2","Cancers",-0.732518037410729,-0.0694572739996148,0.508715126330216,-0.0854242525863647,-0.254602289074714,0.241946707510935,0.774553968864319,0.243217225121799,-0.988182787079797,-0.389417637733017,0.294974319218605,-0.379629534331937,-3.2934157575212,0.0390519326893008,3.01511404765999,0.0633116178556587,-4.43504300771693,0.234556467095585,4.07606977236667,0.122045248063392,-0.55157376010153,-0.135422448059459,0.0915140527028526,-0.167497514040137,-1.93278148536787,-0.022170553373833,2.14393821579605,0.0177065237085114,-0.883115634212942,0.580374522930607,2.0314754086417,0.575803397261247,1.22866558524907,2.77906197690003,4.53257866614281,2.80834992156501,"Male","Oregon"
"3","Cardiovascular",-1.77966040957028,-0.643596194080666,0.531868941028975,-0.652408991201607,-0.803052929221649,0.051646642185657,0.941228527856072,0.0531101938059872,-0.31770929312744,0.577790455836183,1.56884091342151,0.60558415051394,-10.4254599453367,0.311235353232084,10.648573496908,0.529937082476673,-6.31414915145385,0.201286513246751,4.11797332663348,0.463668180193614,-0.142672375024,0.213363947818822,0.504646506552637,0.204169943095778,-1.93278148536787,-0.022170553373833,2.14393821579605,0.0177065237085114,-0.883115634212942,0.580374522930607,2.0314754086417,0.575803397261247,1.22866558524907,2.77906197690003,4.53257866614281,2.80834992156501,"Male","Oregon"
"4","Communicable",-0.277544080493879,0.0387223924080053,0.605875682571961,0.0748081801753317,-0.455960994874656,0.0392027335689089,0.361303223592155,0.0204373634440693,-0.153037151621059,0.202879741657043,0.72192466195082,0.218689480154551,-2.17037190952891,0.0251761292411456,2.01556759895612,-0.0192585162037657,-1.85964131185399,0.0730652883909804,2.28110443910581,0.118599814519676,-0.0770033487513419,0.0749358998289775,0.250678290510926,0.078962837754383,-1.93278148536787,-0.022170553373833,2.14393821579605,0.0177065237085114,-0.883115634212942,0.580374522930607,2.0314754086417,0.575803397261247,1.22866558524907,2.77906197690003,4.53257866614281,2.80834992156501,"Male","Oregon"
"5","Injuries",-0.548256509089645,0.533254716034982,2.06944427492273,0.590804521881936,-0.503220844266921,0.222024175319613,0.932633316456589,0.22430134719912,0.0617797655307293,0.75633559890443,1.46060603637771,0.765954948548884,-7.63917580222327,0.289727078569037,8.23281762437471,0.304002903354195,-2.86529498044826,0.298191972510364,5.55421895257294,0.911944689277918,0.0291357542192495,0.268811844783216,0.63466775748979,0.286845577523551,-1.93278148536787,-0.022170553373833,2.14393821579605,0.0177065237085114,-0.883115634212942,0.580374522930607,2.0314754086417,0.575803397261247,1.22866558524907,2.77906197690003,4.53257866614281,2.80834992156501,"Male","Oregon"
"6","Non-communicable",-0.325373856663154,0.260845609966836,0.949680820129983,0.277215056186288,-0.35168613081011,0.156175700158616,0.592364580943911,0.148615081522944,-0.33235705262445,0.222471985074571,0.735165676898638,0.215548866282299,-5.25547439993621,0.0701237273435381,4.26404893221086,-0.452309908644037,-2.83509416489042,0.139121904474686,3.95146965598022,-0.0110619630517481,-0.164565400807216,0.0800755099181035,0.285330091300258,0.0705434211321506,-1.93278148536787,-0.022170553373833,2.14393821579605,0.0177065237085114,-0.883115634212942,0.580374522930607,2.0314754086417,0.575803397261247,1.22866558524907,2.77906197690003,4.53257866614281,2.80834992156501,"Male","Oregon"
"7","All other causes",-0.739116487413299,0.0817613025931204,1.0473302591788,0.0954978352684469,-0.231124376546143,0.379315238764613,0.974442900381967,0.377635190864101,-0.255857842824506,0.571207862574931,1.32174384550111,0.557403305246424,-3.77059670872733,0.0225810969843773,3.68277445579609,1.45608274621654,-4.38279994057644,0.441712350656168,5.110822785555,0.514688431043442,-2.46098247601587,0.448494885669665,2.78907726446209,-1.93106037857443,-3.39677661310648,-1.14249619831543,0.862018402712919,-1.18412870537786,-0.722118821692604,0.576444260097416,1.81534998204538,0.569710323721427,-0.280961461848353,1.09673957672569,2.84047728703922,1.15695984286691,"Female","Oregon"
"8","Cancers",-0.162213932517816,0.302564936770064,0.890212818549698,0.318318294841359,-0.179425985430703,0.267681481651517,0.725240337856261,0.268827836989217,-1.03658776229372,-0.510563065190339,0.0866846048874254,-0.508831272023754,-3.53715700789102,-0.160060694214297,3.30084500249344,0.954910808605592,-3.22273422205206,0.300024207341259,4.43149264617532,-1.24344342019666,-5.77097522891288,-0.394948841458371,3.5106148293206,1.74897011822826,-3.39677661310648,-1.14249619831543,0.862018402712919,-1.18412870537786,-0.722118821692604,0.576444260097416,1.81534998204538,0.569710323721427,-0.280961461848353,1.09673957672569,2.84047728703922,1.15695984286691,"Female","Oregon"
"9","Cardiovascular",-3.6957425267385,-1.85861351138344,-0.398861646522675,-1.88877499676964,-1.10622251485687,-0.165067180024298,0.747916098050605,-0.164657561636233,0.035464308901458,0.827769370542044,1.96694389099009,0.871012291950236,-8.05038147980848,1.3094832710928,11.5647540938457,-2.59415167030233,-6.94243282133931,0.0479462732318825,7.12939254518765,4.58311986472805,-1.94789192351212,0.702509504196107,4.52814735983099,2.0399766421341,-3.39677661310648,-1.14249619831543,0.862018402712919,-1.18412870537786,-0.722118821692604,0.576444260097416,1.81534998204538,0.569710323721427,-0.280961461848353,1.09673957672569,2.84047728703922,1.15695984286691,"Female","Oregon"
"10","Communicable",-0.260838740584288,-0.011222798497458,0.263060479246474,-0.0122126561774137,-0.170357796334552,0.0153307724526816,0.167016317020676,0.0119786066556424,-0.330580457079534,-0.112283827022712,0.0871759230946494,-0.112362279130155,-0.968185389834926,0.0193547898305595,0.783642428470508,0.0337518831602862,-1.00959978795048,0.030280244943064,1.05616991786867,-0.263161091095597,-1.39456043373565,-0.0843462089226389,0.798064101408591,-0.246179176322805,-3.39677661310648,-1.14249619831543,0.862018402712919,-1.18412870537786,-0.722118821692604,0.576444260097416,1.81534998204538,0.569710323721427,-0.280961461848353,1.09673957672569,2.84047728703922,1.15695984286691,"Female","Oregon"
