"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.512927577535367,-0.207969125752602,0.0800778967426617,-0.210046440647667,-0.0273015479868655,0.206265081780906,0.431374300965405,0.209170104901131,0.639596952751701,0.852378451838459,1.10331216712689,0.861083761674056,-0.507530806811575,-0.144285152862924,0.0474519917161254,-0.164902548639374,-0.586485504627806,-0.192373103766486,0.0190822105646274,-0.21744955988171,0.22231523441577,0.292626033544145,0.370599044330225,0.293856420494178,0.854414966410063,1.46159040864343,2.01667334851795,1.44767066400325,-1.540444191139,-1.07917487059662,-0.615019700317627,-1.08851244967579,2.46464442414394,2.92855143630269,3.39668332848568,2.93569929837485,"Male","South Carolina"
"2","Cancers",-0.803828356060892,-0.649890967469197,-0.491198079179163,-0.646878896729997,-0.428588108524425,-0.253794391846696,-0.099010285528462,-0.258277105691609,0.20827759911543,0.415734561512672,0.614332767122457,0.414397204099936,-0.834013808780243,-0.44845074029035,-0.270710939108405,-0.473553581209234,0.0921450116984102,0.23828028035132,0.439539424280372,0.244695699057407,0.077919689392486,0.142708300382744,0.201413263990127,0.141060740246246,0.854414966410063,1.46159040864343,2.01667334851795,1.44767066400325,-1.540444191139,-1.07917487059662,-0.615019700317627,-1.08851244967579,2.46464442414394,2.92855143630269,3.39668332848568,2.93569929837485,"Male","South Carolina"
"3","Cardiovascular",-0.341708249449082,0.0516278478998007,0.405002493867235,0.0473157033224768,-0.306757254858379,-0.0554950634817545,0.223815432231649,-0.0497241291373434,-0.0613354262761526,0.188014363322885,0.44273034727053,0.190309921922533,-0.299206016435862,0.0379915114444452,0.236922962056504,0.0177315282326662,-0.297703490728593,0.0508819812858614,0.247379150059863,0.0280484546460054,-0.0230040361485793,0.064024136760147,0.14010601681877,0.0634503351066984,0.854414966410063,1.46159040864343,2.01667334851795,1.44767066400325,-1.540444191139,-1.07917487059662,-0.615019700317627,-1.08851244967579,2.46464442414394,2.92855143630269,3.39668332848568,2.93569929837485,"Male","South Carolina"
"4","Communicable",0.427807934334083,0.609758423389625,0.805377701389809,0.60937696959734,-0.829261034765736,-0.687708793319473,-0.549478302076968,-0.688058724710421,0.469822630923068,0.614380163893378,0.773666666726732,0.619255272734236,0.272465351098887,0.418981573062947,0.693369470101571,0.437829176950004,0.437313363737293,0.633131372284504,1.12826643802192,0.664447188287073,0.162517969828031,0.210840703251938,0.266618145639333,0.2117505862021,0.854414966410063,1.46159040864343,2.01667334851795,1.44767066400325,-1.540444191139,-1.07917487059662,-0.615019700317627,-1.08851244967579,2.46464442414394,2.92855143630269,3.39668332848568,2.93569929837485,"Male","South Carolina"
"5","Injuries",1.39840615531013,1.68854625234333,1.99681480540664,1.68914918134373,-0.383402211722373,-0.177434695995963,0.03632051765094,-0.172773408927335,0.604581408092944,0.847451948050802,1.05963579404891,0.84155057448097,0.865462810596139,1.15955072673475,1.8839713665792,1.21398287938183,-0.0460601784369419,0.159006265577077,0.346978557863881,0.157204936959022,0.212132189968853,0.289262203468558,0.359525338841575,0.287219865562212,0.854414966410063,1.46159040864343,2.01667334851795,1.44767066400325,-1.540444191139,-1.07917487059662,-0.615019700317627,-1.08851244967579,2.46464442414394,2.92855143630269,3.39668332848568,2.93569929837485,"Male","South Carolina"
"6","Non-communicable",-0.138681503376931,-0.044522382725051,0.0613971688141447,-0.0412458528826323,-0.222238376764116,-0.127047217437561,-0.0399996096327458,-0.128849186110211,-0.11116137286974,0.0102791244147797,0.132430234845044,0.00910256346311476,-0.115512425218123,-0.0303945435174187,0.0355983330004297,-0.0310874547158912,0.0403342656709779,0.116459768112912,0.233840809732427,0.123053280932203,-0.0406438679354112,0.00346841146601267,0.0431058259810558,0.00266205238856522,0.854414966410063,1.46159040864343,2.01667334851795,1.44767066400325,-1.540444191139,-1.07917487059662,-0.615019700317627,-1.08851244967579,2.46464442414394,2.92855143630269,3.39668332848568,2.93569929837485,"Male","South Carolina"
"7","All other causes",-0.360748461943621,-0.0116429759204026,0.2992093725156,-0.0180150989614336,0.236441363922547,0.469320782253202,0.732760968346347,0.472043131314312,0.190737602780327,0.42850395855799,0.679939145846536,0.431524726466048,-0.183176489101446,-0.00590872800472724,0.114949249648976,-0.0129173547051107,-11.7835820029215,1.32752462019774,15.1849388929473,4.25291558498151,0.0880067770395245,0.178628789759711,0.264003791423155,0.1778656978799,1.68838041942919,2.34018079174591,3.01054851308807,2.33661783704874,-0.259909120709194,0.256996786587203,0.814464442408748,0.26675720013003,1.93198846921633,2.40904690367585,2.86842780918634,2.41309233613518,"Female","South Carolina"
"8","Cancers",-0.27831149155872,-0.104488184980807,0.0622945885409376,-0.10600996199203,-0.272309103017709,-0.0935357934488949,0.0788469217760972,-0.0955437860578163,-0.10727704534541,0.0671787591818949,0.237379080325137,0.0667928583054693,-0.134653117941915,-0.044089870558694,0.0264164719096081,-0.0475900309537049,-5.55740908491291,-0.190148759063443,3.50580986639766,-1.63125923970741,-0.0479942195290376,0.0278770834200059,0.0949514855744492,0.0264670473046777,1.68838041942919,2.34018079174591,3.01054851308807,2.33661783704874,-0.259909120709194,0.256996786587203,0.814464442408748,0.26675720013003,1.93198846921633,2.40904690367585,2.86842780918634,2.41309233613518,"Female","South Carolina"
"9","Cardiovascular",0.805508172990537,1.25593759272917,1.78487829311728,1.26605004545342,-0.378738841766416,0.00211158489022489,0.397121488169387,0.00384253500902952,0.487326912639387,0.767126811230006,1.04145738350216,0.765361220644571,0.393752248901702,0.538457364408468,0.698662029108746,0.541869978131551,-5.1723969580066,0.206384680938172,5.35903966325427,-0.958824073856054,0.22723010188491,0.31628156161777,0.410477824850482,0.316756770194467,1.68838041942919,2.34018079174591,3.01054851308807,2.33661783704874,-0.259909120709194,0.256996786587203,0.814464442408748,0.26675720013003,1.93198846921633,2.40904690367585,2.86842780918634,2.41309233613518,"Female","South Carolina"
"10","Communicable",0.484788404650226,0.655830093722134,0.841218326112676,0.65927595473123,-0.334978333422037,-0.224994391548904,-0.119450073122526,-0.225887368055759,0.088741588232499,0.193126719612279,0.297839854378587,0.194090394210045,0.199488293104743,0.283666271460191,0.40327256472858,0.286931124502218,-6.74071919226433,-0.58858555636456,7.27670830255198,-2.2064098412063,0.0380069921011704,0.0800271116761416,0.125134611766371,0.0806429559672812,1.68838041942919,2.34018079174591,3.01054851308807,2.33661783704874,-0.259909120709194,0.256996786587203,0.814464442408748,0.26675720013003,1.93198846921633,2.40904690367585,2.86842780918634,2.41309233613518,"Female","South Carolina"
