"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.29599075781709,0.0237287759016868,0.3457949617643,0.0209050530135881,-0.331340470445579,-0.0903949981689049,0.130919735192171,-0.0955093869929628,0.735998058074087,0.949183578475257,1.19148782102451,0.952153153420579,-4.31559496170959,0.139397794815292,3.24447992216468,-57.6711994005087,-0.150503843930897,0.0837046854818736,0.265354731681469,0.0781797341363776,0.217297531669188,0.270784063037431,0.332008254760089,0.27154758432027,-0.326512592747303,0.267287475085068,0.847060458196648,0.258487521037421,-1.54091093492037,-1.10193279127759,-0.655251071351834,-1.1018700949073,3.03890752095643,3.5184372584443,3.97346699567573,3.51101826289175,"Male","Tennessee"
"2","Cancers",-0.717610402579407,-0.54905897795959,-0.373269694206984,-0.549457706773703,-0.2305232892595,-0.0429645225424522,0.122878399436688,-0.0473891945015198,0.2476297841458,0.436061368373705,0.652883226303116,0.440775004841086,-22.0622906057265,-1.32363255302987,14.8363731965733,-642.267231218179,-0.138129357561486,0.0402961791500972,0.213794052263644,0.0387469384731145,0.0728090139091928,0.124472304409855,0.179545956464444,0.125388393284833,-0.326512592747303,0.267287475085068,0.847060458196648,0.258487521037421,-1.54091093492037,-1.10193279127759,-0.655251071351834,-1.1018700949073,3.03890752095643,3.5184372584443,3.97346699567573,3.51101826289175,"Male","Tennessee"
"3","Cardiovascular",-0.602282186353773,-0.263650486060848,0.0734580889265792,-0.263013277398279,-0.148080379440146,0.121329831572299,0.379109562246193,0.12267451612218,0.280314090513025,0.530513971605304,0.775850706680643,0.525913964671405,-12.2420578744913,-0.502797302169707,7.75103666919794,-293.51339689559,-0.472696414877319,-0.111517006055423,0.106556201423089,-0.130267895208369,0.083836287918119,0.150403150689938,0.211030809596525,0.14932882721678,-0.326512592747303,0.267287475085068,0.847060458196648,0.258487521037421,-1.54091093492037,-1.10193279127759,-0.655251071351834,-1.1018700949073,3.03890752095643,3.5184372584443,3.97346699567573,3.51101826289175,"Male","Tennessee"
"4","Communicable",0.0466471925817521,0.201093242032517,0.367168115729266,0.201088985484643,-0.666036721796037,-0.534773102402496,-0.402040791570061,-0.53541196089349,0.267302854608413,0.41248479896064,0.566718413020676,0.412109176980819,-4.50661218075827,0.491634700712078,8.55227703924254,160.055911053924,0.326912124459721,0.484713272923238,0.801173249082328,0.507263098930098,0.0771525194585931,0.117886932703418,0.159514342151262,0.117484616815237,-0.326512592747303,0.267287475085068,0.847060458196648,0.258487521037421,-1.54091093492037,-1.10193279127759,-0.655251071351834,-1.1018700949073,3.03890752095643,3.5184372584443,3.97346699567573,3.51101826289175,"Male","Tennessee"
"5","Injuries",0.461412656648145,0.81022577035983,1.13653264904395,0.80797503305161,-0.770494098279599,-0.517270255390323,-0.28969986042918,-0.516311777576643,0.90553502565866,1.11943186829601,1.35231074235103,1.12385907498772,-19.7110872166288,2.04503090342002,27.353678264626,757.088399885882,0.284257184154688,0.467706710531419,0.743377944842119,0.479766437973686,0.26443953321261,0.319935303480821,0.382802176801863,0.320499549341424,-0.326512592747303,0.267287475085068,0.847060458196648,0.258487521037421,-1.54091093492037,-1.10193279127759,-0.655251071351834,-1.1018700949073,3.03890752095643,3.5184372584443,3.97346699567573,3.51101826289175,"Male","Tennessee"
"6","Non-communicable",-0.0646931955936552,0.0414049293498567,0.145071517135387,0.0409894336595618,-0.118570350055675,-0.0308384799629209,0.0640256111623349,-0.029922291064861,-0.072613870277129,0.0558111932980682,0.18374350646853,0.0562078879901395,-1.43884231363667,0.0937741216769863,1.93655760509984,77.3075165744715,-0.0653846367991035,0.028516052673189,0.113450035537651,0.0263116856950925,-0.0211365159034184,0.0158146308648974,0.0502546673097595,0.0157510290214552,-0.326512592747303,0.267287475085068,0.847060458196648,0.258487521037421,-1.54091093492037,-1.10193279127759,-0.655251071351834,-1.1018700949073,3.03890752095643,3.5184372584443,3.97346699567573,3.51101826289175,"Male","Tennessee"
"7","All other causes",0.133511633200472,0.453920675579589,0.786484437021326,0.45241055952608,-0.147492591540319,0.0770496065374848,0.309780717025711,0.0766827212559386,0.731270189556695,0.96890024027223,1.21107599226583,0.971069464394891,0.0919232025648674,0.270831985762991,0.449647928884336,0.269514540214389,-1.65175805032455,0.202320313129487,1.49763629953627,-0.0452500349336852,0.225458843204885,0.286330164783214,0.348544403123284,0.286469418291264,1.08189695052739,1.66931025059342,2.27792775855231,1.67054977004043,-0.0826032714691362,0.387381475280474,0.845403578514253,0.382790251039906,2.9259498851259,3.39043552439404,3.84011357070769,3.39158814643002,"Female","Tennessee"
"8","Cancers",-0.411400253597701,-0.224007616636906,-0.0384452956297614,-0.224481476070242,-0.180433750578493,-0.00301957788456447,0.167883505921023,-0.00561019160974149,0.071733788677014,0.253939414377105,0.441953137375002,0.254541364954944,-0.316522206325473,-0.13739749990359,-0.0190606243051644,-0.14218820863373,-1.83054084110614,0.0149892414560761,1.36993158029863,0.364900257693542,0.0219327091776405,0.0746398389099092,0.122795582297259,0.0746542053717261,1.08189695052739,1.66931025059342,2.27792775855231,1.67054977004043,-0.0826032714691362,0.387381475280474,0.845403578514253,0.382790251039906,2.9259498851259,3.39043552439404,3.84011357070769,3.39158814643002,"Female","Tennessee"
"9","Cardiovascular",0.315267595037327,0.737987575084558,1.13124189090537,0.727729909898397,0.0655637381872022,0.384614814160393,0.70875741674154,0.385741389778042,0.974731301980863,1.22785613244737,1.50860823029604,1.22858621375788,0.237429926566545,0.441971609150359,0.627101299964943,0.435345842839145,-2.39359438903577,0.946784348316164,5.62845188288554,2.19538794548251,0.303547067665373,0.362460788079312,0.425803070552571,0.362290177050914,1.08189695052739,1.66931025059342,2.27792775855231,1.67054977004043,-0.0826032714691362,0.387381475280474,0.845403578514253,0.382790251039906,2.9259498851259,3.39043552439404,3.84011357070769,3.39158814643002,"Female","Tennessee"
"10","Communicable",-0.00121908211486136,0.135612943319464,0.29279354493854,0.139418219312458,-0.172080398367705,-0.0777419244022355,0.01625858450066,-0.0780693097291627,0.0377074897554636,0.143378211406791,0.248138135885591,0.142631956568406,-0.000794662722194989,0.083282919701584,0.17382754530827,0.0837539384255024,-2.7456274009356,-0.177376852364314,1.30249842697117,-0.80381153592881,0.0111064425866517,0.0423470420615319,0.0726198249321282,0.0420665921327376,1.08189695052739,1.66931025059342,2.27792775855231,1.67054977004043,-0.0826032714691362,0.387381475280474,0.845403578514253,0.382790251039906,2.9259498851259,3.39043552439404,3.84011357070769,3.39158814643002,"Female","Tennessee"
"11","Injuries",0.244450395649452,0.390125927639737,0.594664573804588,0.396662528406709,-0.175614590582704,-0.053272077010893,0.0676664667060354,-0.0547243044190296,0.381844875577271,0.504417961613086,0.638848064244369,0.507293589166852,0.13818689683997,0.237717644217592,0.388640533965421,0.243719097017826,-1.83261063274072,-0.120343186455768,1.23538721330604,-0.989259092789156,0.113636076942048,0.149444271723279,0.188771315145509,0.149937074472581,1.08189695052739,1.66931025059342,2.27792775855231,1.67054977004043,-0.0826032714691362,0.387381475280474,0.845403578514253,0.382790251039906,2.9259498851259,3.39043552439404,3.84011357070769,3.39158814643002,"Female","Tennessee"
"12","Non-communicable",0.0649537822239155,0.178087303540023,0.289943570688466,0.178810028967026,-0.0535013488995278,0.0607900155998339,0.171007754803034,0.0587699457638597,0.132231140579406,0.286106850779516,0.441779422650017,0.287465557587044,0.0400153293487717,0.106626467376416,0.198692601441563,0.109854790136868,-0.719526112628795,0.139754514730081,1.25289772897695,0.278032460475594,0.040025002742278,0.0839368449968437,0.125140995220331,0.084582532680777,1.08189695052739,1.66931025059342,2.27792775855231,1.67054977004043,-0.0826032714691362,0.387381475280474,0.845403578514253,0.382790251039906,2.9259498851259,3.39043552439404,3.84011357070769,3.39158814643002,"Female","Tennessee"
