"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",0.103302412823989,0.395968196953548,0.703500322531813,0.397952655621501,0.00689192993808158,0.226701023590064,0.442797557475933,0.225632970139133,0.369495385370512,0.565746712806464,0.765892896244508,0.566045094680393,0.0563585324653913,0.195750546159395,0.332988518361133,0.196735341280667,-0.401113152068062,-0.161143605261698,-0.00392438856285034,-0.172331744054473,0.135919878276428,0.19530837155892,0.257806569738831,0.195049224397063,1.47523058436311,2.00211862178624,2.5242804786908,2.00172409284983,-1.77894927298824,-1.3849920772267,-0.990929288597115,-1.39016731930785,2.48758404088101,2.89731878073097,3.31187755075709,2.89850218019188,"Male","Virginia"
"2","Cancers",-0.622560924183312,-0.463589434545296,-0.29762956875461,-0.463539780279691,-0.382323117330915,-0.220489835025799,-0.0415184810355736,-0.217677595872748,0.334544638718872,0.516597272111582,0.694289955119476,0.515687884544439,-0.363889383810489,-0.232028157057041,-0.138908456901093,-0.236981413104113,0.0341129330414655,0.158156139422265,0.270182946073409,0.156669990788627,0.120810994935587,0.177497414993274,0.236648364778717,0.177985166945921,1.47523058436311,2.00211862178624,2.5242804786908,2.00172409284983,-1.77894927298824,-1.3849920772267,-0.990929288597115,-1.39016731930785,2.48758404088101,2.89731878073097,3.31187755075709,2.89850218019188,"Male","Virginia"
"3","Cardiovascular",0.120934291576431,0.393646307095257,0.661092453802691,0.389777847148848,-0.602189217380976,-0.389610136263543,-0.17559044451362,-0.390189246143184,0.0900194489334796,0.289535604122969,0.502762153560553,0.289374458555333,0.0688654137392203,0.197121974213786,0.315003230302929,0.193423881980126,0.148535327579284,0.277781735194743,0.424804439447244,0.280878628353459,0.0338185058703372,0.0999953031266381,0.166499372793565,0.0990342430508459,1.47523058436311,2.00211862178624,2.5242804786908,2.00172409284983,-1.77894927298824,-1.3849920772267,-0.990929288597115,-1.39016731930785,2.48758404088101,2.89731878073097,3.31187755075709,2.89850218019188,"Male","Virginia"
"4","Communicable",0.394696119611747,0.552554088248232,0.713987184805267,0.55468547674666,-0.756639151651419,-0.632032368969254,-0.516894831684498,-0.633999232994202,0.429018042046642,0.55550477011787,0.697186355885737,0.558064340362117,0.196484653483636,0.275718466386828,0.38929792885073,0.280736160461303,0.347060853697671,0.459619077863425,0.642223577383503,0.464567890746989,0.148162848028253,0.192997569439651,0.241765305667166,0.193080762928974,1.47523058436311,2.00211862178624,2.5242804786908,2.00172409284983,-1.77894927298824,-1.3849920772267,-0.990929288597115,-1.39016731930785,2.48758404088101,2.89731878073097,3.31187755075709,2.89850218019188,"Male","Virginia"
"5","Injuries",0.8379610297668,1.07465692945209,1.33942331577669,1.07866266076,-0.441037199369952,-0.250815259255253,-0.0793571861789585,-0.251300616866336,0.940289954219437,1.12117209535368,1.29711491833852,1.12165351144657,0.418840791440487,0.538875939600804,0.711334051943714,0.544332591205373,0.0640707588053879,0.178739750757476,0.312411657618245,0.18078049836584,0.32992359960008,0.388168558252114,0.452013935453655,0.388063275954132,1.47523058436311,2.00211862178624,2.5242804786908,2.00172409284983,-1.77894927298824,-1.3849920772267,-0.990929288597115,-1.39016731930785,2.48758404088101,2.89731878073097,3.31187755075709,2.89850218019188,"Male","Virginia"
"6","Non-communicable",-0.0485678035400253,0.0435995916483418,0.141559749820852,0.0441852328525069,-0.204113373972156,-0.12196883236931,-0.0468439284248132,-0.12263359757051,-0.258140944002477,-0.153042979041217,-0.040223259796074,-0.152323109396972,-0.027187940304449,0.0216843230770577,0.0715215144663907,0.0217534381766437,0.0345921959488394,0.0883389114056607,0.154856853933915,0.0894347357995574,-0.0951020356353054,-0.0528589263677038,-0.0125700241280912,-0.0532126732769354,1.47523058436311,2.00211862178624,2.5242804786908,2.00172409284983,-1.77894927298824,-1.3849920772267,-0.990929288597115,-1.39016731930785,2.48758404088101,2.89731878073097,3.31187755075709,2.89850218019188,"Male","Virginia"
"7","All other causes",0.19712665566354,0.495190575690012,0.795088903496273,0.495213954403935,-0.0400445082256341,0.167496902669392,0.401001139699567,0.173645002729138,0.231008394024023,0.444622452944362,0.662473759959949,0.447041860213002,0.0773139058475302,0.180518603932685,0.269841677724585,0.178219870305205,-16.4975364708878,-0.31309422983606,10.804165021625,0.199093367247106,0.116828566363801,0.209666419275263,0.297729624135573,0.209341991845483,2.21061342177934,2.762567432222,3.28091321831536,2.75943505929906,-0.514960041414426,-0.105618874213347,0.323398609219753,-0.102539526444899,1.730413155915,2.12776463351995,2.52804877076315,2.12754169219739,"Female","Virginia"
"8","Cancers",-0.16383895669725,0.00699516462613325,0.186216917571195,0.0065585259313086,-0.28664631172379,-0.121408414776168,0.034684252575958,-0.123412353799286,-0.0847985040729537,0.0762483621792557,0.246463751459469,0.0789281328621695,-0.0659056109902881,0.00246503230853723,0.0676931603517216,0.00153401511119525,-7.29750317271427,0.392891097582725,6.90425411052804,0.328080328416248,-0.0430290174723062,0.0353587132559692,0.105371635377963,0.0358981852996416,2.21061342177934,2.762567432222,3.28091321831536,2.75943505929906,-0.514960041414426,-0.105618874213347,0.323398609219753,-0.102539526444899,1.730413155915,2.12776463351995,2.52804877076315,2.12754169219739,"Female","Virginia"
"9","Cardiovascular",0.964164422944397,1.35317744617335,1.73506221011697,1.35400879621917,-0.278221644981885,0.00646795006126,0.282335289438633,0.00813281392854378,0.598667952127307,0.837652669937144,1.0700054826673,0.837171427751087,0.384651108552341,0.490893568665783,0.598726008383473,0.490889193328471,-6.13245035414633,0.323328640462428,6.27808412524492,0.154626256695973,0.305014801707731,0.392776171125829,0.486879239358073,0.394095556499733,2.21061342177934,2.762567432222,3.28091321831536,2.75943505929906,-0.514960041414426,-0.105618874213347,0.323398609219753,-0.102539526444899,1.730413155915,2.12776463351995,2.52804877076315,2.12754169219739,"Female","Virginia"
"10","Communicable",0.191215097226818,0.325062402544506,0.468429856897799,0.325223623943698,-0.249916914607206,-0.158871989123046,-0.0743116834570124,-0.159844357833235,0.0580543813010698,0.157104216543685,0.253928208335646,0.155671885127856,0.0715033390297246,0.11824258734886,0.172155522975726,0.118436016483909,-9.30099540531348,0.509492333775315,11.2428972109435,0.265489644174659,0.0283500891080138,0.0732479099063091,0.121121636145359,0.0733167512086046,2.21061342177934,2.762567432222,3.28091321831536,2.75943505929906,-0.514960041414426,-0.105618874213347,0.323398609219753,-0.102539526444899,1.730413155915,2.12776463351995,2.52804877076315,2.12754169219739,"Female","Virginia"
