"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.583799188532007,-0.0313828210009391,0.646756551092388,-0.0123351850643508,-0.0795075138741672,0.289194986858368,0.709661215063261,0.294078216177377,0.408536718284368,0.786965320218751,1.14594218027201,0.783828819411131,-5.30210835506169,0.137811259094303,3.28274709417683,0.00428292446103405,-9.54684149624682,-0.242228653461113,10.8828151889588,-0.392555502795972,0.162071758964091,0.285849782284583,0.422048891774825,0.287864118911041,-1.73128210151591,-0.500809866765734,0.86268689111859,-0.495060417593576,-1.05707624628335,-0.185264064377319,0.704446962412727,-0.193369440459979,1.88416194106065,2.72879971406305,3.64364893897513,2.75209161799076,"Male","Washington"
"2","Cancers",-0.747990015864728,-0.378501295054793,0.0101619226768614,-0.376485390391532,-0.497025798186269,-0.148211928785677,0.183399627798393,-0.153349163385112,-0.15831800060734,0.208899696146748,0.588366800543114,0.209711170899264,-8.12999753134539,0.411376742712469,6.46312341693041,0.691553553831855,-5.6687676813996,0.218193734511608,4.68296957868455,0.123378578322965,-0.0742114814857896,0.0760379727466734,0.206315540812293,0.0738791143453491,-1.73128210151591,-0.500809866765734,0.86268689111859,-0.495060417593576,-1.05707624628335,-0.185264064377319,0.704446962412727,-0.193369440459979,1.88416194106065,2.72879971406305,3.64364893897513,2.75209161799076,"Male","Washington"
"3","Cardiovascular",-1.65597597429634,-0.86856010223091,-0.0366919415224535,-0.88031988288526,-0.572693111677482,-0.0459114516847849,0.481831779757329,-0.0424473985770864,-0.224327669031043,0.253231346839324,0.747226333478576,0.255269201245642,-12.8765683987193,1.09912601316387,14.2404553033378,2.48530624442186,-4.67366818632226,0.325552823595379,6.71409377751233,0.455156264500579,-0.0951076444667116,0.0912048916025754,0.237203785530379,0.0864669822003501,-1.73128210151591,-0.500809866765734,0.86268689111859,-0.495060417593576,-1.05707624628335,-0.185264064377319,0.704446962412727,-0.193369440459979,1.88416194106065,2.72879971406305,3.64364893897513,2.75209161799076,"Male","Washington"
"4","Communicable",-0.383450365823698,-0.00842585229802606,0.413268646181854,-0.00350322757123226,-0.25101648170503,0.0686130489405904,0.364032015548411,0.063692370175176,-0.136509168702191,0.155410987998813,0.472854386134967,0.161155450515028,-2.3806524931353,0.0552147079227351,2.98235107079823,-0.466441167798859,-4.47638929391265,0.0276512366298945,5.53605202101362,0.00465540072176364,-0.0558274077673037,0.0559058731139698,0.164503559143477,0.0572468988760506,-1.73128210151591,-0.500809866765734,0.86268689111859,-0.495060417593576,-1.05707624628335,-0.185264064377319,0.704446962412727,-0.193369440459979,1.88416194106065,2.72879971406305,3.64364893897513,2.75209161799076,"Male","Washington"
"5","Injuries",0.165071445070768,0.802813793281819,1.54245033756392,0.81119101649448,-0.667365321730597,-0.255057658771836,0.161023870161553,-0.255961431179232,0.794875641528509,1.15056817049799,1.51153288848882,1.15000041235738,-20.5988287205462,-0.697451646775141,22.6241631987531,-1.33703991206018,-7.98859539524582,0.41527093387444,9.48645960483888,0.81567193015659,0.283934803025143,0.416670001776008,0.601469051249318,0.425831316884613,-1.73128210151591,-0.500809866765734,0.86268689111859,-0.495060417593576,-1.05707624628335,-0.185264064377319,0.704446962412727,-0.193369440459979,1.88416194106065,2.72879971406305,3.64364893897513,2.75209161799076,"Male","Washington"
"6","Non-communicable",-0.297947782900138,-0.0381330653381713,0.278605394283144,-0.0336077481756802,-0.352774295523431,-0.0944994053927466,0.141293747867993,-0.0993820336711007,-0.109299486412441,0.192830957143579,0.476802881971682,0.19212656356231,-2.33679317495114,0.0624462920566588,2.01908513079043,-0.377661642855709,-4.20427224241922,0.14695282875643,3.17547093257863,-0.00630667090592615,-0.0434369251863465,0.0719799096655572,0.170752955329499,0.0687115687825966,-1.73128210151591,-0.500809866765734,0.86268689111859,-0.495060417593576,-1.05707624628335,-0.185264064377319,0.704446962412727,-0.193369440459979,1.88416194106065,2.72879971406305,3.64364893897513,2.75209161799076,"Male","Washington"
"7","All other causes",0.0348216045033509,0.688635428816341,1.46825400768181,0.704518944133038,-0.225454761617969,0.203145859683201,0.67858500190292,0.203780596426894,0.686222487190238,1.16217916587803,1.6094077486063,1.16622800625212,-12.5094010996635,0.29580109952659,15.5996273155691,2.2899519031415,-4.08024904878948,0.305620864061837,7.10984660267681,-68.4909916705783,0.287292925496622,0.454503594993464,0.681541490161752,0.46481337655216,-1.70134366034695,0.012465321936999,1.61133234644069,0.00878091237748597,-0.86074456002549,0.212028174850158,1.28924793948772,0.190234087161696,1.54950207735468,2.56663995172985,3.59105670849132,2.57230259519476,"Female","Washington"
"8","Cancers",-0.150705903534419,0.263375757954615,0.68794320458874,0.274164038246242,-0.205146918180743,0.1315850377026,0.510751100738719,0.141606106621905,-0.505475470765828,-0.153298424992696,0.241933003594246,-0.142854657536077,-5.82362009161699,0.0317934055444681,6.10121047623843,0.647053665986061,-2.75492017187246,0.210564885399037,5.65555291260358,7.24538814273268,-0.2655578437361,-0.0583409981524324,0.0852041703501488,-0.0645087535459368,-1.70134366034695,0.012465321936999,1.61133234644069,0.00878091237748597,-0.86074456002549,0.212028174850158,1.28924793948772,0.190234087161696,1.54950207735468,2.56663995172985,3.59105670849132,2.57230259519476,"Female","Washington"
"9","Cardiovascular",-2.49567858554507,-1.36668154060321,-0.0640315074579953,-1.35418696722803,-1.28862930873034,-0.541351067348368,0.15077169981515,-0.555018207648413,0.406061794048971,0.987693306666282,1.63163354088181,0.990373678521667,-30.9032515472533,0.158391993034007,25.4598715454184,-5.2981574055018,-26.3188148857214,-0.274715060168151,10.3234603185471,44.3505002617688,0.189423428456913,0.384613602369796,0.604914782534643,0.386321963078748,-1.70134366034695,0.012465321936999,1.61133234644069,0.00878091237748597,-0.86074456002549,0.212028174850158,1.28924793948772,0.190234087161696,1.54950207735468,2.56663995172985,3.59105670849132,2.57230259519476,"Female","Washington"
"10","Communicable",-0.233339284511061,-0.0294580951218434,0.230260137162063,-0.0228362610474834,-0.14916171395187,0.0468410309034358,0.212964143570582,0.0426193957046702,-0.322359725313221,-0.101781484541507,0.137347515700185,-0.100466848837108,-1.74220421804802,0.0287891197476762,1.84005147196004,0.0320492741884316,-1.44703805212833,0.0697067298951119,2.58628901451281,-3.71798209248533,-0.150440626663535,-0.0390586178432438,0.0474323173687324,-0.0435824664492735,-1.70134366034695,0.012465321936999,1.61133234644069,0.00878091237748597,-0.86074456002549,0.212028174850158,1.28924793948772,0.190234087161696,1.54950207735468,2.56663995172985,3.59105670849132,2.57230259519476,"Female","Washington"
