"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.459856518669543,0.317389029716023,1.20167548576961,0.326363884358841,-0.448235388221374,0.155018405687796,0.716047025620463,0.148672363599112,-0.0696002239630801,0.698682436828559,1.37515489515654,0.692073771775991,-4.42889761677634,0.449080582085948,6.79696364698399,0.43632653815215,-4.31553016414706,0.353049745484865,9.62956051017016,0.446726783128816,-0.0476643422027544,0.305754157379937,0.566555951221029,0.292655491173495,-0.824137982582408,0.495568480073055,1.92959443417923,0.511374593341248,-0.860280890632639,0.2209156292676,1.25391574286417,0.218848856686076,1.10936793430375,2.30076774179774,3.60042714100624,2.32012153759009,"Male","West Virginia"
"2","Cancers",-0.369993473165685,-0.0688332121796799,0.227288720599036,-0.0691731299190493,-0.527926306984927,-0.186487409125959,0.109346932764526,-0.191739992412958,-0.472063318752213,-0.0816093548540378,0.371579961140001,-0.0785146596017877,-2.1804648005439,-0.030133111984002,3.1836533718475,0.122477659842579,-6.44152595612385,-0.121574005258505,4.66387578932967,-0.504890779259899,-0.3285456984852,-0.0368146918464948,0.149630168277117,-0.0493486176664541,-0.824137982582408,0.495568480073055,1.92959443417923,0.511374593341248,-0.860280890632639,0.2209156292676,1.25391574286417,0.218848856686076,1.10936793430375,2.30076774179774,3.60042714100624,2.32012153759009,"Male","West Virginia"
"3","Cardiovascular",-0.35857163546991,0.240435350744036,0.889223341552275,0.249677381924207,-0.418333317247815,0.166866408142225,0.74431110123549,0.165230384645201,-0.393260074598695,0.214807301543987,0.830414552903786,0.205656855392045,-4.65532539139276,0.314511727330927,5.37046994228287,0.370295804343153,-6.14222054535151,0.352734370907665,5.00286314042985,1.1500516779537,-0.235529734277799,0.0950114704325854,0.344691352093238,0.0795685974308265,-0.824137982582408,0.495568480073055,1.92959443417923,0.511374593341248,-0.860280890632639,0.2209156292676,1.25391574286417,0.218848856686076,1.10936793430375,2.30076774179774,3.60042714100624,2.32012153759009,"Male","West Virginia"
"4","Communicable",-0.330491632561402,0.0253083770895519,0.687606059344282,0.0589305439705118,-0.503279410883044,-0.103519591997773,0.149881905682219,-0.123668305725048,-0.0785435726415869,0.22362141182808,0.606313189731433,0.241080055040542,-3.53649612631,0.0792888920257558,3.57985809576899,0.0500158257930734,-4.36015204192642,-0.0337766950948604,3.32706728251743,-0.737142020430063,-0.0411436646817287,0.0998704525745873,0.291127447668075,0.106468764066632,-0.824137982582408,0.495568480073055,1.92959443417923,0.511374593341248,-0.860280890632639,0.2209156292676,1.25391574286417,0.218848856686076,1.10936793430375,2.30076774179774,3.60042714100624,2.32012153759009,"Male","West Virginia"
"5","Injuries",-0.677783078601374,0.0552817443354664,0.913686839044777,0.0602972099782749,-0.243639713488432,0.217641711900556,0.733847136399928,0.227432905610738,0.393977476291301,0.967484025519379,1.57461685061814,0.968155310552124,-4.53285990151503,0.219968997800624,4.42334110074024,0.0808221613295107,-4.34855455703983,0.356518463136223,8.22750834068113,0.742063658254067,0.187381310292998,0.415366066051322,0.80357089774471,0.439916837268245,-0.824137982582408,0.495568480073055,1.92959443417923,0.511374593341248,-0.860280890632639,0.2209156292676,1.25391574286417,0.218848856686076,1.10936793430375,2.30076774179774,3.60042714100624,2.32012153759009,"Male","West Virginia"
"6","Non-communicable",-0.359953644272118,-0.114434879239556,0.110042555804265,-0.114721296971537,-0.252095021193594,-0.0104495496539874,0.28080088995747,-0.00707849903096881,-0.0785324884000297,0.29150554341478,0.690441210148854,0.291670204431172,-2.75219304130598,-0.0630334148795733,2.41349538795136,-0.0599379894604657,-2.20812187896954,0.0192714148598392,3.08634874212734,-0.0968093196466242,-0.0506602783529684,0.125112842075134,0.33651500593263,0.130738927727255,-0.824137982582408,0.495568480073055,1.92959443417923,0.511374593341248,-0.860280890632639,0.2209156292676,1.25391574286417,0.218848856686076,1.10936793430375,2.30076774179774,3.60042714100624,2.32012153759009,"Male","West Virginia"
"7","All other causes",-0.743053901717388,0.131059325383136,1.12630655460587,0.157331285182356,-0.0623645791428501,0.558156851472399,1.19157731841014,0.558678444860633,0.0351111431130961,0.833496868857215,1.50640134729946,0.818268812346888,-2.30780632795576,0.179193036053405,2.28949869996196,-0.441946828793919,-0.120434718032693,0.47933886620829,1.60185149276151,0.545326963380296,0.0270256831696294,0.422161692224417,0.849196597314316,0.427183331239159,-0.285273194211992,1.0141240935114,2.31949563125578,1.01903391683416,0.170384918485277,1.13661185035833,2.09868026755998,1.13922095630672,0.82890142791454,1.95110339346635,3.22661705630952,1.96906955051617,"Female","West Virginia"
"8","Cancers",-0.294202652200811,-0.025508100058846,0.306740363316951,-0.0130577020619238,-0.235788552570644,0.0616659121301908,0.336639161154216,0.0598297651110652,-0.538472928605286,-0.1446885264245,0.278838234545322,-0.142102557666745,-0.933332578721586,-0.0189941314066441,0.778096662474518,0.10959528117763,-0.460793741017744,0.0546282930651804,0.426206058217353,0.0370657596869078,-0.413320073793326,-0.0737819909016209,0.122141155537928,-0.096688036782345,-0.285273194211992,1.0141240935114,2.31949563125578,1.01903391683416,0.170384918485277,1.13661185035833,2.09868026755998,1.13922095630672,0.82890142791454,1.95110339346635,3.22661705630952,1.96906955051617,"Female","West Virginia"
"9","Cardiovascular",0.00216644395165222,0.790797790536603,1.59018624096765,0.784731240493659,-0.482024703997169,0.186180354653856,0.822098601465755,0.177951890717844,-0.108835925546198,0.544236333089249,1.25000292924581,0.556227315805461,-1.83671465770273,0.715789504362025,4.34667634012624,1.15151650265084,-1.37323370277036,0.168398160992681,0.635469123613702,0.0611481854363551,-0.0689624501168933,0.282556836164733,0.641097467105194,0.281617372762008,-0.285273194211992,1.0141240935114,2.31949563125578,1.01903391683416,0.170384918485277,1.13661185035833,2.09868026755998,1.13922095630672,0.82890142791454,1.95110339346635,3.22661705630952,1.96906955051617,"Female","West Virginia"
"10","Communicable",-0.359613177079928,-0.169723826711544,0.181161894581754,-0.151005369141491,-0.104390616674123,0.0697265097268629,0.207818364899769,0.0630300829252265,-0.198481955871395,0.025942602419691,0.215608306745672,0.0241762488802809,-1.60165067467148,-0.135104340230742,1.24114358594778,-0.282781804644589,-0.153302978564954,0.0612016790044316,0.359343138306468,0.0675011926286162,-0.134997902727521,0.0135315012966465,0.119141701575256,0.00867891827644461,-0.285273194211992,1.0141240935114,2.31949563125578,1.01903391683416,0.170384918485277,1.13661185035833,2.09868026755998,1.13922095630672,0.82890142791454,1.95110339346635,3.22661705630952,1.96906955051617,"Female","West Virginia"
