"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.513402574141503,-0.0942528859186846,0.410936125385909,-0.0879849127866245,-0.420960247181004,-0.125590149914361,0.160905654761797,-0.123312019627552,-0.0847963360381003,0.252467720653929,0.591048855563553,0.248934379359778,-0.796971344346055,0.0993865341366808,0.986100716564668,0.10323923592056,-0.0809840212131103,0.0520304879768203,0.175237317292236,0.0513690900607435,-0.871235564732643,0.374541308513727,1.62888579568376,0.0927687607001264,-1.95635388343816,-0.983781487611607,0.00338925672164404,-0.99935557539594,-2.9593543939833,-2.29199393717491,-1.65242250392614,-2.29682157368463,-0.0304294948286008,0.668529796701639,1.37357184327203,0.667344323478439,"Male","Wisconsin"
"2","Cancers",-0.81568962143469,-0.449288387571863,-0.136385180435647,-0.455229995370037,-0.344051112417842,-0.0624919805882989,0.226982342792505,-0.0596088894036373,-0.422226368546914,-0.095953640088359,0.23109763336772,-0.0981518488500805,-0.378163858161017,0.433370112769936,1.98871592800892,0.419922288759389,-0.109013749315942,0.0257692358674759,0.144717211492174,0.0236790667952447,-2.28485399205693,-0.120660581117552,1.5052267950845,-0.0691162122023133,-1.95635388343816,-0.983781487611607,0.00338925672164404,-0.99935557539594,-2.9593543939833,-2.29199393717491,-1.65242250392614,-2.29682157368463,-0.0304294948286008,0.668529796701639,1.37357184327203,0.667344323478439,"Male","Wisconsin"
"3","Cardiovascular",-1.59863002423941,-1.09978050862704,-0.478488081393655,-1.08752136702828,-0.958111210905781,-0.60810745577745,-0.251738893382032,-0.610794477846859,-0.941527408193773,-0.611191555195532,-0.269865346291425,-0.606992984574484,-0.855659300249902,1.06232522623753,4.78909049383138,1.27785344994116,0.116052673831372,0.265802822261306,0.409664544559686,0.265741720078336,-8.27632188436131,-0.853799233745474,3.47798809207246,-0.509216926033872,-1.95635388343816,-0.983781487611607,0.00338925672164404,-0.99935557539594,-2.9593543939833,-2.29199393717491,-1.65242250392614,-2.29682157368463,-0.0304294948286008,0.668529796701639,1.37357184327203,0.667344323478439,"Male","Wisconsin"
"4","Communicable",0.13766093178655,0.467932274034179,0.899158031378022,0.483876571075755,-0.407572536582798,-0.172666575759356,0.0545604721932074,-0.172535481232161,-0.0692053762903771,0.180393147925363,0.447927892535964,0.183125512967623,-3.76873070245684,-0.446340147626153,0.995537384576926,-0.571977821460823,-0.0262609545852482,0.0759480952284229,0.175845426711593,0.0745621051958483,-0.428497364375455,0.264518352144637,2.01853986951166,0.364094385657457,-1.95635388343816,-0.983781487611607,0.00338925672164404,-0.99935557539594,-2.9593543939833,-2.29199393717491,-1.65242250392614,-2.29682157368463,-0.0304294948286008,0.668529796701639,1.37357184327203,0.667344323478439,"Male","Wisconsin"
"5","Injuries",-0.211043324128712,0.245322314283815,0.748169572170364,0.250456503976917,-1.57632730353597,-1.21540194621177,-0.86549803077255,-1.21744729484113,0.687163320863177,1.07440129131951,1.46100646342532,1.07956733779375,-2.50670725503516,-0.223574293722105,0.615632267138369,-0.319713215705368,0.39079862868347,0.528620071127528,0.72479102519554,0.535568883860963,-3.87108730218622,1.53437971494049,9.85037385264842,1.14922758380932,-1.95635388343816,-0.983781487611607,0.00338925672164404,-0.99935557539594,-2.9593543939833,-2.29199393717491,-1.65242250392614,-2.29682157368463,-0.0304294948286008,0.668529796701639,1.37357184327203,0.667344323478439,"Male","Wisconsin"
"6","Non-communicable",-0.294541875132144,-0.109039566050137,0.107346302209577,-0.102952375263671,-0.279227500052752,-0.116718496476664,0.0590442904632457,-0.11312341073329,-0.339561781336983,-0.139958177268444,0.0693752452420337,-0.139138073218144,-0.3392043966737,0.103144487087715,0.595307074999758,0.0906760625450846,-0.028100556892727,0.0505664952699895,0.124463298378885,0.0490791340088648,-2.02665511008066,-0.196029923526969,0.829912077934006,-0.0277575919307232,-1.95635388343816,-0.983781487611607,0.00338925672164404,-0.99935557539594,-2.9593543939833,-2.29199393717491,-1.65242250392614,-2.29682157368463,-0.0304294948286008,0.668529796701639,1.37357184327203,0.667344323478439,"Male","Wisconsin"
"7","All other causes",-0.54574807450869,-0.0892037104806022,0.448152459950345,-0.0783178413311134,-0.476738333037209,-0.123886258315592,0.203557255995595,-0.123924480077131,-0.451599675049509,-0.0284557574547967,0.353281350697441,-0.0391547953008569,-1.20952181482763,0.0814075932431812,0.646523919165857,-0.0652695365204281,-4.48303862866288,0.183415006865358,8.28372224935097,0.313991293797757,-2.15836943606001,0.0689325439903508,1.26857994171363,0.013771290137232,-2.28605081208312,-1.14887222953262,-0.0594437652341802,-1.14980851613378,-0.736220316078318,-0.00749511804768987,0.737332040548292,-0.0045583946426257,-1.37880618080228,-0.634145787406582,0.0895806716302772,-0.639046152617861,"Female","Wisconsin"
"8","Cancers",-0.468015376555316,-0.123442956520238,0.253344930033136,-0.121908269815713,-0.410050018786096,-0.119046826442728,0.155152162295406,-0.121663251941514,-0.744834173689339,-0.424949556088153,-0.112760135717377,-0.430304151713513,-0.418701825988841,0.109121231283499,0.623390772249531,0.115224929243806,-5.50397057811125,0.155668066772894,8.1146262951438,0.360041031438823,-1.67115341151626,0.651298166348245,4.44187416314731,1.34817471218804,-2.28605081208312,-1.14887222953262,-0.0594437652341802,-1.14980851613378,-0.736220316078318,-0.00749511804768987,0.737332040548292,-0.0045583946426257,-1.37880618080228,-0.634145787406582,0.0895806716302772,-0.639046152617861,"Female","Wisconsin"
"9","Cardiovascular",-1.50937403622148,-0.712574872453895,0.0950503967301063,-0.714523017698855,-0.372052837130737,0.116314291400295,0.65045686267303,0.127568647349912,-0.650264287505435,-0.224858507136499,0.217536498733026,-0.217354677481458,-0.276638257591586,0.611466676021852,1.63738204000941,0.669040913329385,-8.04116366765142,0.501573086126956,7.5863073807154,0.4117421127457,-1.4106437310106,0.334785183246949,1.62976810102124,0.1460470098533,-2.28605081208312,-1.14887222953262,-0.0594437652341802,-1.14980851613378,-0.736220316078318,-0.00749511804768987,0.737332040548292,-0.0045583946426257,-1.37880618080228,-0.634145787406582,0.0895806716302772,-0.639046152617861,"Female","Wisconsin"
"10","Communicable",-0.117696203265952,0.0617281048014549,0.283151133386387,0.0675311729054455,-0.0949084495242794,0.0524092351599539,0.185218572192783,0.0496574946259293,-0.235139392005154,-0.0636443502920386,0.129000658434166,-0.0599622579994763,-0.618753848096666,-0.0506354281343141,0.152358750967895,-0.104554929620877,-2.20677204145591,0.0382243408887671,2.96211694670411,0.0913909056198455,-0.830865681688507,0.0963713717138181,0.743260733356784,0.0570675191695433,-2.28605081208312,-1.14887222953262,-0.0594437652341802,-1.14980851613378,-0.736220316078318,-0.00749511804768987,0.737332040548292,-0.0045583946426257,-1.37880618080228,-0.634145787406582,0.0895806716302772,-0.639046152617861,"Female","Wisconsin"
