"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",0,1,0,0,"All other causes","White","Male","Alabama",1969,"East South Central","South","AL",183.317616275909,190.436486356039,198.175028080976,190.54957425318
"2",0,1,0,0,"Cancers","White","Male","Alabama",1969,"East South Central","South","AL",225.987420039176,232.918093442446,240.015578651932,232.968141416486
"3",0,1,0,0,"Cardiovascular","White","Male","Alabama",1969,"East South Central","South","AL",899.572747791435,919.910888015391,940.655490233177,919.824681131184
"4",0,1,0,0,"Communicable","White","Male","Alabama",1969,"East South Central","South","AL",60.4675218325883,65.4074941001425,70.9807788057941,65.484396507446
"5",0,1,0,0,"Injuries","White","Male","Alabama",1969,"East South Central","South","AL",143.235224849837,148.255061353993,153.175080734615,148.267373000695
"6",0,1,0,0,"Non-communicable","White","Male","Alabama",1969,"East South Central","South","AL",88.0529808295937,92.2881798723106,96.5753644744564,92.2758374751578
"7",0,1,0,1,"All other causes","White","Female","Alabama",1969,"East South Central","South","AL",111.917736393516,116.732898715206,121.491543010467,116.637402658981
"8",0,1,0,1,"Cancers","White","Female","Alabama",1969,"East South Central","South","AL",135.557961308049,139.557490981296,143.973541874515,139.549887095728
"9",0,1,0,1,"Cardiovascular","White","Female","Alabama",1969,"East South Central","South","AL",552.792844046103,565.487597571657,580.768320811077,565.795343491934
"10",0,1,0,1,"Communicable","White","Female","Alabama",1969,"East South Central","South","AL",36.7178170455949,39.9673616555629,43.4604139268415,40.0018452955453
"11",0,1,0,1,"Injuries","White","Female","Alabama",1969,"East South Central","South","AL",49.2062267493887,51.7590933158602,54.5418589411094,51.7989039074224
"12",0,1,0,1,"Non-communicable","White","Female","Alabama",1969,"East South Central","South","AL",41.4066492325781,43.7086891456534,46.3353099537878,43.7384195967646
"13",0,1,1,0,"All other causes","Black","Male","Alabama",1969,"East South Central","South","AL",340.112429887478,355.854630199362,372.899071108474,356.054006442134
"14",0,1,1,0,"Cancers","Black","Male","Alabama",1969,"East South Central","South","AL",229.408732458949,240.681943347162,252.19613741854,240.748138926956
"15",0,1,1,0,"Cardiovascular","Black","Male","Alabama",1969,"East South Central","South","AL",856.766056101514,884.16729130201,912.598515804299,884.405959874891
"16",0,1,1,0,"Communicable","Black","Male","Alabama",1969,"East South Central","South","AL",101.281106167079,109.965342569648,119.264300950585,110.100321054756
"17",0,1,1,0,"Injuries","Black","Male","Alabama",1969,"East South Central","South","AL",239.662814008549,251.93725714531,264.390853562727,251.916057611576
"18",0,1,1,0,"Non-communicable","Black","Male","Alabama",1969,"East South Central","South","AL",87.2651080249309,93.4829185159349,100.26743023235,93.5455634094547
"19",0,1,1,1,"All other causes","Black","Female","Alabama",1969,"East South Central","South","AL",234.700650789027,246.092931007503,256.653363277646,245.781678240407
"20",0,1,1,1,"Cancers","Black","Female","Alabama",1969,"East South Central","South","AL",154.7084071579,161.281873562557,168.168178554239,161.37946902657
"21",0,1,1,1,"Cardiovascular","Black","Female","Alabama",1969,"East South Central","South","AL",685.611409034526,709.295112117062,733.238514718514,709.289071801947
"22",0,1,1,1,"Communicable","Black","Female","Alabama",1969,"East South Central","South","AL",45.6812697155503,50.4959683379681,55.0621115903707,50.4907558554765
"23",0,1,1,1,"Injuries","Black","Female","Alabama",1969,"East South Central","South","AL",61.0568010886105,65.6362012014216,70.3285481572745,65.6811764218642
"24",0,1,1,1,"Non-communicable","Black","Female","Alabama",1969,"East South Central","South","AL",71.2654115048731,76.3827313997871,82.0255121441138,76.4629823844483
"25",0,2,0,0,"All other causes","White","Male","Alabama",1970,"East South Central","South","AL",181.079267895592,186.636596708394,193.193442588411,186.681554245312
"26",0,2,0,0,"Cancers","White","Male","Alabama",1970,"East South Central","South","AL",227.637889104713,233.687070524696,240.439710987046,233.73453286961
"27",0,2,0,0,"Cardiovascular","White","Male","Alabama",1970,"East South Central","South","AL",896.486675502155,914.713853418371,934.038550851358,914.616978108935
"28",0,2,0,0,"Communicable","White","Male","Alabama",1970,"East South Central","South","AL",62.8746064606433,67.4125999190571,72.4438518392841,67.4747681481105
"29",0,2,0,0,"Injuries","White","Male","Alabama",1970,"East South Central","South","AL",143.690312855865,147.809051173148,152.540503670939,147.898387928234
"30",0,2,0,0,"Non-communicable","White","Male","Alabama",1970,"East South Central","South","AL",88.7352511069534,92.4628306448498,96.5004483161298,92.5592689980076
"31",0,2,0,1,"All other causes","White","Female","Alabama",1970,"East South Central","South","AL",110.541998365188,114.695889875501,118.715869818639,114.604261819341
"32",0,2,0,1,"Cancers","White","Female","Alabama",1970,"East South Central","South","AL",135.318866897484,139.078931617725,142.834959166113,139.10977076168
"33",0,2,0,1,"Cardiovascular","White","Female","Alabama",1970,"East South Central","South","AL",550.288690506612,562.558722640184,574.927261845728,562.568888775152
"34",0,2,0,1,"Communicable","White","Female","Alabama",1970,"East South Central","South","AL",35.1675005763979,37.6466725665347,40.3840018215749,37.7152262402008
"35",0,2,0,1,"Injuries","White","Female","Alabama",1970,"East South Central","South","AL",48.9189473615303,51.1591018550937,53.6899041274618,51.1738166714684
"36",0,2,0,1,"Non-communicable","White","Female","Alabama",1970,"East South Central","South","AL",40.8654278312968,43.0695069779529,45.2105851945313,43.0727134624133
"37",0,2,1,0,"All other causes","Black","Male","Alabama",1970,"East South Central","South","AL",328.897811975665,342.202405287165,356.120256575589,342.270931081483
"38",0,2,1,0,"Cancers","Black","Male","Alabama",1970,"East South Central","South","AL",232.098134137784,241.73235986812,251.261190339392,241.684947160671
"39",0,2,1,0,"Cardiovascular","Black","Male","Alabama",1970,"East South Central","South","AL",845.07466441006,869.348207704506,894.702066861938,869.268291348523
"40",0,2,1,0,"Communicable","Black","Male","Alabama",1970,"East South Central","South","AL",97.0702650704952,104.963226689312,113.05045519968,105.023161575613
"41",0,2,1,0,"Injuries","Black","Male","Alabama",1970,"East South Central","South","AL",240.28375886407,251.566819215529,262.263063172262,251.433114777605
"42",0,2,1,0,"Non-communicable","Black","Male","Alabama",1970,"East South Central","South","AL",87.8519335407987,93.657634959408,99.5439716598021,93.6429222782686
"43",0,2,1,1,"All other causes","Black","Female","Alabama",1970,"East South Central","South","AL",229.949950580086,238.319300138455,248.533645116626,238.723638729698
"44",0,2,1,1,"Cancers","Black","Female","Alabama",1970,"East South Central","South","AL",154.976676002447,161.174335219456,167.437399462086,161.133049200855
"45",0,2,1,1,"Cardiovascular","Black","Female","Alabama",1970,"East South Central","South","AL",674.445120549728,694.465220498796,716.514351563624,694.411364657599
"46",0,2,1,1,"Communicable","Black","Female","Alabama",1970,"East South Central","South","AL",46.0237820671506,49.969729621233,54.1808643909735,49.9946727690614
"47",0,2,1,1,"Injuries","Black","Female","Alabama",1970,"East South Central","South","AL",60.6590606649517,64.5415574572619,68.7689431260779,64.632894123602
"48",0,2,1,1,"Non-communicable","Black","Female","Alabama",1970,"East South Central","South","AL",73.1365621817168,78.1245698488175,83.0478671890659,78.1004114814954
"49",0,3,0,0,"All other causes","White","Male","Alabama",1971,"East South Central","South","AL",176.521776051543,182.577316291577,188.859717688497,182.590199201739
"50",0,3,0,0,"Cancers","White","Male","Alabama",1971,"East South Central","South","AL",230.40795160195,236.528045119598,242.238263010472,236.455412732063
"51",0,3,0,0,"Cardiovascular","White","Male","Alabama",1971,"East South Central","South","AL",897.322291891115,915.514121807583,935.081342124756,915.48371097848
"52",0,3,0,0,"Communicable","White","Male","Alabama",1971,"East South Central","South","AL",60.3840401036575,64.6877798433883,69.3722561118424,64.6988115417679
"53",0,3,0,0,"Injuries","White","Male","Alabama",1971,"East South Central","South","AL",143.89804944152,147.851632539598,152.250259503243,147.931576368536
"54",0,3,0,0,"Non-communicable","White","Male","Alabama",1971,"East South Central","South","AL",89.6166436446772,93.4055756152967,97.2690860426777,93.3878763498675
"55",0,3,0,1,"All other causes","White","Female","Alabama",1971,"East South Central","South","AL",108.042286694215,112.11492179745,116.085571576643,112.115967580638
"56",0,3,0,1,"Cancers","White","Female","Alabama",1971,"East South Central","South","AL",136.136603738965,139.554172298892,143.053927201678,139.548343286152
"57",0,3,0,1,"Cardiovascular","White","Female","Alabama",1971,"East South Central","South","AL",532.871659790727,545.361470679329,556.672743451614,545.339962768976
"58",0,3,0,1,"Communicable","White","Female","Alabama",1971,"East South Central","South","AL",33.8040936182341,36.2206492812673,38.6982975755305,36.2155392187372
"59",0,3,0,1,"Injuries","White","Female","Alabama",1971,"East South Central","South","AL",48.5564189496972,50.4411104742418,52.5748535720658,50.4725768566777
"60",0,3,0,1,"Non-communicable","White","Female","Alabama",1971,"East South Central","South","AL",40.565052238022,42.5807076479118,44.5560124578064,42.5705959790494
"61",0,3,1,0,"All other causes","Black","Male","Alabama",1971,"East South Central","South","AL",326.037135301213,339.637769903537,352.466632037101,339.731042379883
"62",0,3,1,0,"Cancers","Black","Male","Alabama",1971,"East South Central","South","AL",237.141950516525,247.122984578547,256.962817170776,247.255947724152
"63",0,3,1,0,"Cardiovascular","Black","Male","Alabama",1971,"East South Central","South","AL",836.525477016889,859.124009184514,880.529319786546,858.864748025726
"64",0,3,1,0,"Communicable","Black","Male","Alabama",1971,"East South Central","South","AL",86.8886813765126,93.3253802407189,100.2586250555,93.4578578398579
"65",0,3,1,0,"Injuries","Black","Male","Alabama",1971,"East South Central","South","AL",241.603546267886,252.309250609969,263.280022130345,252.259832659634
"66",0,3,1,0,"Non-communicable","Black","Male","Alabama",1971,"East South Central","South","AL",89.3157146011055,94.8457673093956,100.261076893999,94.75467521841
"67",0,3,1,1,"All other causes","Black","Female","Alabama",1971,"East South Central","South","AL",220.304604063005,228.792430146302,238.399016628774,228.85949857345
"68",0,3,1,1,"Cancers","Black","Female","Alabama",1971,"East South Central","South","AL",155.103004971189,161.078894056754,167.124221893009,161.039388801277
"69",0,3,1,1,"Cardiovascular","Black","Female","Alabama",1971,"East South Central","South","AL",637.165827540402,655.235250795556,675.327350212122,655.39094068027
"70",0,3,1,1,"Communicable","Black","Female","Alabama",1971,"East South Central","South","AL",44.2133475338146,47.7804964388916,51.7602395806142,47.8682889119026
"71",0,3,1,1,"Injuries","Black","Female","Alabama",1971,"East South Central","South","AL",60.1688199856793,63.8796252274846,67.3629906472102,63.8263278700565
"72",0,3,1,1,"Non-communicable","Black","Female","Alabama",1971,"East South Central","South","AL",74.3626671522459,78.7007580906714,83.1672465525321,78.648682355138
"73",0,4,0,0,"All other causes","White","Male","Alabama",1972,"East South Central","South","AL",175.329005510485,180.958439915959,187.168980065641,181.053762053519
"74",0,4,0,0,"Cancers","White","Male","Alabama",1972,"East South Central","South","AL",234.825453165854,239.985158272877,246.070893522695,240.07260711908
"75",0,4,0,0,"Cardiovascular","White","Male","Alabama",1972,"East South Central","South","AL",885.869539371443,905.087130823405,922.548781075123,905.03583177176
"76",0,4,0,0,"Communicable","White","Male","Alabama",1972,"East South Central","South","AL",61.1169336978597,65.5094448698678,69.9564408471602,65.5978868013787
"77",0,4,0,0,"Injuries","White","Male","Alabama",1972,"East South Central","South","AL",142.341759498142,146.134232116972,150.32953062549,146.199132558458
"78",0,4,0,0,"Non-communicable","White","Male","Alabama",1972,"East South Central","South","AL",91.9418727834858,95.4440366749124,99.0794898674896,95.4812171631031
"79",0,4,0,1,"All other causes","White","Female","Alabama",1972,"East South Central","South","AL",107.646929655566,111.130805137058,115.000851199553,111.198328709148
"80",0,4,0,1,"Cancers","White","Female","Alabama",1972,"East South Central","South","AL",137.3540565604,140.515220415164,143.937284738045,140.532286475613
"81",0,4,0,1,"Cardiovascular","White","Female","Alabama",1972,"East South Central","South","AL",523.66464941908,535.588683736296,546.279657573014,535.409717964051
"82",0,4,0,1,"Communicable","White","Female","Alabama",1972,"East South Central","South","AL",32.749572470369,34.9906801918341,37.5918769742935,35.0703881301141
"83",0,4,0,1,"Injuries","White","Female","Alabama",1972,"East South Central","South","AL",47.9462386331898,49.8231766597746,51.6616804533836,49.7957633556077
"84",0,4,0,1,"Non-communicable","White","Female","Alabama",1972,"East South Central","South","AL",40.8995925686139,42.9105602236232,45.0399756419937,42.9365191784836
"85",0,4,1,0,"All other causes","Black","Male","Alabama",1972,"East South Central","South","AL",332.060611840862,345.747538073818,357.648840506448,345.618202078643
"86",0,4,1,0,"Cancers","Black","Male","Alabama",1972,"East South Central","South","AL",241.929800362666,252.208559576477,262.036222757266,252.034894119149
"87",0,4,1,0,"Cardiovascular","Black","Male","Alabama",1972,"East South Central","South","AL",834.217898722701,856.985530992603,879.490920903277,856.741200613546
"88",0,4,1,0,"Communicable","Black","Male","Alabama",1972,"East South Central","South","AL",83.3664943944765,89.6239911300751,96.1036865297234,89.5832755949444
"89",0,4,1,0,"Injuries","Black","Male","Alabama",1972,"East South Central","South","AL",237.210474681879,246.842888643988,257.318513123238,246.91407461812
"90",0,4,1,0,"Non-communicable","Black","Male","Alabama",1972,"East South Central","South","AL",91.6843428380787,97.0158672111386,102.426681288986,97.0204470598164
"91",0,4,1,1,"All other causes","Black","Female","Alabama",1972,"East South Central","South","AL",220.988300194983,229.621333920398,238.264229914984,229.578678282136
"92",0,4,1,1,"Cancers","Black","Female","Alabama",1972,"East South Central","South","AL",155.175068876556,160.453712297694,166.587364659148,160.54328915463
"93",0,4,1,1,"Cardiovascular","Black","Female","Alabama",1972,"East South Central","South","AL",616.239335165519,634.36857576973,653.021420081526,634.617690604086
