"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",4,1,0,0,"All other causes","White","Male","California",1969,"Pacific","West","CA",119.184295231854,121.707612543753,124.492401948917,121.712814747247
"2",4,1,0,0,"Cancers","White","Male","California",1969,"Pacific","West","CA",239.449413582473,242.864216008394,246.511642516296,242.838259111484
"3",4,1,0,0,"Cardiovascular","White","Male","California",1969,"Pacific","West","CA",834.796146242193,842.570922798355,850.859736086638,842.790703131353
"4",4,1,0,0,"Communicable","White","Male","California",1969,"Pacific","West","CA",57.51556578403,59.7117546550749,61.8947948977501,59.6966314996789
"5",4,1,0,0,"Injuries","White","Male","California",1969,"Pacific","West","CA",126.400285419933,128.684032370657,131.174561054379,128.722392504076
"6",4,1,0,0,"Non-communicable","White","Male","California",1969,"Pacific","West","CA",111.251035572651,113.473580810259,115.818455796051,113.497958871047
"7",4,1,0,1,"All other causes","White","Female","California",1969,"Pacific","West","CA",85.3869114322761,87.2656381412041,89.0105575839993,87.2473250407799
"8",4,1,0,1,"Cancers","White","Female","California",1969,"Pacific","West","CA",159.573944183936,161.858913899244,164.336980557282,161.892065371052
"9",4,1,0,1,"Cardiovascular","White","Female","California",1969,"Pacific","West","CA",544.891601318478,550.500387611845,556.284711966335,550.52954177517
"10",4,1,0,1,"Communicable","White","Female","California",1969,"Pacific","West","CA",34.1082597690477,35.4029140530056,36.7536891013224,35.397228612987
"11",4,1,0,1,"Injuries","White","Female","California",1969,"Pacific","West","CA",59.9043705613846,61.4294673509104,62.884137570872,61.419725921221
"12",4,1,0,1,"Non-communicable","White","Female","California",1969,"Pacific","West","CA",51.7472872519309,53.0735111901462,54.420345409187,53.0688301072964
"13",4,1,1,0,"All other causes","Black","Male","California",1969,"Pacific","West","CA",160.890732350429,169.910031422081,179.513916087803,170.036790702754
"14",4,1,1,0,"Cancers","Black","Male","California",1969,"Pacific","West","CA",290.497661634587,304.903247990964,318.727926257242,304.670368779184
"15",4,1,1,0,"Cardiovascular","Black","Male","California",1969,"Pacific","West","CA",741.938981099646,771.209699343423,799.949225446516,771.008814885874
"16",4,1,1,0,"Communicable","Black","Male","California",1969,"Pacific","West","CA",67.7159320925095,75.0873201500471,83.9678358433415,75.2066317286413
"17",4,1,1,0,"Injuries","Black","Male","California",1969,"Pacific","West","CA",192.649321750674,202.551670345135,212.710333384868,202.630327383298
"18",4,1,1,0,"Non-communicable","Black","Male","California",1969,"Pacific","West","CA",121.680573425343,129.654205310287,137.486932294349,129.673885377979
"19",4,1,1,1,"All other causes","Black","Female","California",1969,"Pacific","West","CA",118.551284672334,124.389346101511,131.339567451305,124.615103834777
"20",4,1,1,1,"Cancers","Black","Female","California",1969,"Pacific","West","CA",171.148183304484,178.672794472809,185.910072620308,178.482344579785
"21",4,1,1,1,"Cardiovascular","Black","Female","California",1969,"Pacific","West","CA",588.90739605025,613.516547042605,636.460747843901,613.606230154796
"22",4,1,1,1,"Communicable","Black","Female","California",1969,"Pacific","West","CA",38.4718106292156,43.8040385839471,49.1505854604121,43.7820313453328
"23",4,1,1,1,"Injuries","Black","Female","California",1969,"Pacific","West","CA",58.720182444849,62.9902727160086,67.5460966263857,63.0126330711785
"24",4,1,1,1,"Non-communicable","Black","Female","California",1969,"Pacific","West","CA",78.7857663297916,84.0372443515909,89.238077021144,83.9703793290384
"25",4,2,0,0,"All other causes","White","Male","California",1970,"Pacific","West","CA",113.463936322144,115.916760736843,118.15730984587,115.875327313473
