"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",5,1,0,0,"All other causes","White","Male","Colorado",1969,"Mountain","West","CO",147.004013481681,153.064213359873,159.620358334489,153.187123359868
"2",5,1,0,0,"Cancers","White","Male","Colorado",1969,"Mountain","West","CO",193.591019123682,200.511409690062,207.584847084271,200.419407151586
"3",5,1,0,0,"Cardiovascular","White","Male","Colorado",1969,"Mountain","West","CO",748.17727136474,768.33912369549,790.608492014323,768.910818465832
"4",5,1,0,0,"Communicable","White","Male","Colorado",1969,"Mountain","West","CO",69.3076372746003,75.5364619541895,82.2301542362161,75.6260833093051
"5",5,1,0,0,"Injuries","White","Male","Colorado",1969,"Mountain","West","CO",126.696489584663,131.780023320368,136.934403431867,131.757438478958
"6",5,1,0,0,"Non-communicable","White","Male","Colorado",1969,"Mountain","West","CO",108.051436068481,113.064030014413,118.871776721293,113.109017209894
"7",5,1,0,1,"All other causes","White","Female","Colorado",1969,"Mountain","West","CO",102.218937283278,107.104754523077,111.88907520511,107.079959759982
"8",5,1,0,1,"Cancers","White","Female","Colorado",1969,"Mountain","West","CO",134.791472808372,139.662844912482,144.476008509685,139.687592768824
"9",5,1,0,1,"Cardiovascular","White","Female","Colorado",1969,"Mountain","West","CO",501.258133731747,516.587013327929,531.429797199667,516.483740564786
"10",5,1,0,1,"Communicable","White","Female","Colorado",1969,"Mountain","West","CO",43.6908470200704,47.5113867050102,51.6156963210222,47.5633134428641
"11",5,1,0,1,"Injuries","White","Female","Colorado",1969,"Mountain","West","CO",51.689759462199,54.4339873407887,57.4265973501273,54.4722661958698
"12",5,1,0,1,"Non-communicable","White","Female","Colorado",1969,"Mountain","West","CO",47.0227695918986,49.8386456369313,52.9641919349824,49.8823091088353
"13",5,1,1,0,"All other causes","Black","Male","Colorado",1969,"Mountain","West","CO",170.846100819039,211.786236637104,254.873916159796,212.282132465909
"14",5,1,1,0,"Cancers","Black","Male","Colorado",1969,"Mountain","West","CO",257.158855812494,318.148116534952,388.899078642805,319.777218936355
"15",5,1,1,0,"Cardiovascular","Black","Male","Colorado",1969,"Mountain","West","CO",655.709279439204,737.837030042344,827.76125036245,739.415896394861
"16",5,1,1,0,"Communicable","Black","Male","Colorado",1969,"Mountain","West","CO",78.9367462660071,110.393173750991,154.259884461733,112.399278474794
"17",5,1,1,0,"Injuries","Black","Male","Colorado",1969,"Mountain","West","CO",131.352286289834,156.451318433818,185.831815463832,157.164477837017
"18",5,1,1,0,"Non-communicable","Black","Male","Colorado",1969,"Mountain","West","CO",114.438292232327,147.682345492443,201.161630141562,150.46972335917
"19",5,1,1,1,"All other causes","Black","Female","Colorado",1969,"Mountain","West","CO",124.183677818796,147.263256604924,177.774797323629,148.220167341948
"20",5,1,1,1,"Cancers","Black","Female","Colorado",1969,"Mountain","West","CO",140.744833201543,173.673957337348,214.284200048814,175.020455585454
"21",5,1,1,1,"Cardiovascular","Black","Female","Colorado",1969,"Mountain","West","CO",523.53486625695,594.337321134771,679.067378242257,597.305394076403
"22",5,1,1,1,"Communicable","Black","Female","Colorado",1969,"Mountain","West","CO",38.9208055429998,51.142951507466,69.5669577725743,52.0943316830789
