"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",7,1,0,0,"All other causes","White","Male","Delaware",1969,"South Atlantic","South","DE",112.906571040438,122.961660275221,134.186449567718,123.252520673193
"2",7,1,0,0,"Cancers","White","Male","Delaware",1969,"South Atlantic","South","DE",251.22633526658,266.872499662153,283.712977145332,267.280513372154
"3",7,1,0,0,"Cardiovascular","White","Male","Delaware",1969,"South Atlantic","South","DE",927.399111425775,969.94693901509,1018.54436868377,971.362053750347
"4",7,1,0,0,"Communicable","White","Male","Delaware",1969,"South Atlantic","South","DE",44.0838234662179,54.0920539318901,65.9843153316252,54.3623477706799
"5",7,1,0,0,"Injuries","White","Male","Delaware",1969,"South Atlantic","South","DE",89.2648891863959,96.8450388075322,106.941185364253,97.2739675380298
"6",7,1,0,0,"Non-communicable","White","Male","Delaware",1969,"South Atlantic","South","DE",111.46257519068,121.004131554208,131.146278043884,121.167620575713
"7",7,1,0,1,"All other causes","White","Female","Delaware",1969,"South Atlantic","South","DE",72.4897965612441,78.9252179279707,86.012483601836,78.9955876878097
"8",7,1,0,1,"Cancers","White","Female","Delaware",1969,"South Atlantic","South","DE",158.375375386931,167.311478141339,176.636373389564,167.480113267921
"9",7,1,0,1,"Cardiovascular","White","Female","Delaware",1969,"South Atlantic","South","DE",575.900121066996,604.089657485986,635.595157580987,604.976065327668
"10",7,1,0,1,"Communicable","White","Female","Delaware",1969,"South Atlantic","South","DE",23.1015120903728,27.3756277498082,32.4957850299704,27.5452884991672
"11",7,1,0,1,"Injuries","White","Female","Delaware",1969,"South Atlantic","South","DE",29.6236727712561,33.8212463050809,38.052666586142,33.9160576810059
"12",7,1,0,1,"Non-communicable","White","Female","Delaware",1969,"South Atlantic","South","DE",53.16581097587,58.2749196820281,63.8425616996011,58.3169878251332
"13",7,1,1,0,"All other causes","Black","Male","Delaware",1969,"South Atlantic","South","DE",178.189476814749,210.868261018594,254.487458555616,212.104240916602
"14",7,1,1,0,"Cancers","Black","Male","Delaware",1969,"South Atlantic","South","DE",350.26795326379,402.534291651818,466.696846738414,403.628407354942
"15",7,1,1,0,"Cardiovascular","Black","Male","Delaware",1969,"South Atlantic","South","DE",958.107905263482,1050.6811914101,1151.76408172138,1050.90182671722
"16",7,1,1,0,"Communicable","Black","Male","Delaware",1969,"South Atlantic","South","DE",107.824913963403,150.273112567804,217.3296352263,153.85471671047
"17",7,1,1,0,"Injuries","Black","Male","Delaware",1969,"South Atlantic","South","DE",137.410317660498,169.822922266175,207.48922706046,170.574399640989
"18",7,1,1,0,"Non-communicable","Black","Male","Delaware",1969,"South Atlantic","South","DE",131.778825340686,159.833461447817,190.501959710634,159.592231410886
"19",7,1,1,1,"All other causes","Black","Female","Delaware",1969,"South Atlantic","South","DE",128.086628656698,153.629712114865,179.8356280101,153.060331876674
"20",7,1,1,1,"Cancers","Black","Female","Delaware",1969,"South Atlantic","South","DE",184.623440531135,214.703994336532,248.880148624328,214.90739662218
"21",7,1,1,1,"Cardiovascular","Black","Female","Delaware",1969,"South Atlantic","South","DE",701.476305255019,781.656177768848,868.35231438968,781.793188836368
"22",7,1,1,1,"Communicable","Black","Female","Delaware",1969,"South Atlantic","South","DE",44.1389458558387,58.1331564443119,83.0743242176126,59.3816997260593
"23",7,1,1,1,"Injuries","Black","Female","Delaware",1969,"South Atlantic","South","DE",40.3239384392916,50.6897804707604,63.9040293018797,51.0286629884163
