"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",9,1,0,0,"All other causes","White","Male","Florida",1969,"South Atlantic","South","FL",143.080412585013,147.229474177802,151.329489434871,147.259167809272
"2",9,1,0,0,"Cancers","White","Male","Florida",1969,"South Atlantic","South","FL",233.694794388907,238.130853299612,242.848392754512,238.126831044793
"3",9,1,0,0,"Cardiovascular","White","Male","Florida",1969,"South Atlantic","South","FL",758.937025684952,769.880516938291,780.519797526615,769.982842670051
"4",9,1,0,0,"Communicable","White","Male","Florida",1969,"South Atlantic","South","FL",53.0704559560972,56.209998200292,59.5403722598421,56.2235907807387
"5",9,1,0,0,"Injuries","White","Male","Florida",1969,"South Atlantic","South","FL",124.381485977356,128.101881205157,131.840127793081,128.090683717696
"6",9,1,0,0,"Non-communicable","White","Male","Florida",1969,"South Atlantic","South","FL",91.4496438994319,94.1497120770404,96.7877335762734,94.1250798594867
"7",9,1,0,1,"All other causes","White","Female","Florida",1969,"South Atlantic","South","FL",94.1317277960236,96.9501739961616,99.9428071273236,96.9842436424738
"8",9,1,0,1,"Cancers","White","Female","Florida",1969,"South Atlantic","South","FL",145.215963501356,148.164633257051,151.197207924181,148.22759120011
"9",9,1,0,1,"Cardiovascular","White","Female","Florida",1969,"South Atlantic","South","FL",484.390407035128,492.402323620088,500.465794105142,492.333599028303
"10",9,1,0,1,"Communicable","White","Female","Florida",1969,"South Atlantic","South","FL",32.8799604398517,34.8841722542034,37.0820826602501,34.8910801188732
"11",9,1,0,1,"Injuries","White","Female","Florida",1969,"South Atlantic","South","FL",50.7943802175481,52.7248052934145,54.7237910511958,52.7401177826089
"12",9,1,0,1,"Non-communicable","White","Female","Florida",1969,"South Atlantic","South","FL",42.6632520298797,44.4066174874549,46.0838061946961,44.3974663594408
"13",9,1,1,0,"All other causes","Black","Male","Florida",1969,"South Atlantic","South","FL",310.184307409345,324.209951982461,339.740863938908,324.559619408063
"14",9,1,1,0,"Cancers","Black","Male","Florida",1969,"South Atlantic","South","FL",284.869300378534,298.218767707225,312.458959510321,298.404597407648
"15",9,1,1,0,"Cardiovascular","Black","Male","Florida",1969,"South Atlantic","South","FL",799.858928108726,829.966097302768,860.384032888378,829.899958173997
"16",9,1,1,0,"Communicable","Black","Male","Florida",1969,"South Atlantic","South","FL",124.214070944841,135.661350361556,147.405965408695,135.703632508588
"17",9,1,1,0,"Injuries","Black","Male","Florida",1969,"South Atlantic","South","FL",261.270627121419,274.217108172237,288.20268983033,274.567664462416
"18",9,1,1,0,"Non-communicable","Black","Male","Florida",1969,"South Atlantic","South","FL",108.849923298922,116.453386624244,124.451940336985,116.436567826729
"19",9,1,1,1,"All other causes","Black","Female","Florida",1969,"South Atlantic","South","FL",201.844596729503,210.965556451108,220.808366138326,210.958235304481
"20",9,1,1,1,"Cancers","Black","Female","Florida",1969,"South Atlantic","South","FL",149.425063642977,157.391103749306,165.276090046879,157.353628984981
"21",9,1,1,1,"Cardiovascular","Black","Female","Florida",1969,"South Atlantic","South","FL",633.686560708715,659.589197807356,686.412921072144,659.649123528272
"22",9,1,1,1,"Communicable","Black","Female","Florida",1969,"South Atlantic","South","FL",63.2161300278515,69.5085447175517,76.5247879890929,69.5585972114404
"23",9,1,1,1,"Injuries","Black","Female","Florida",1969,"South Atlantic","South","FL",68.866733525474,73.7438081835593,79.2387771163152,73.7558913768304
"24",9,1,1,1,"Non-communicable","Black","Female","Florida",1969,"South Atlantic","South","FL",92.931640924666,99.3483081532179,105.622043676262,99.3789827700556
"25",9,2,0,0,"All other causes","White","Male","Florida",1970,"South Atlantic","South","FL",140.321353267256,143.832318949026,147.351410064265,143.821494925218
"26",9,2,0,0,"Cancers","White","Male","Florida",1970,"South Atlantic","South","FL",234.708657639475,238.542308323408,242.448551488746,238.56278385769
"27",9,2,0,0,"Cardiovascular","White","Male","Florida",1970,"South Atlantic","South","FL",725.048979201844,734.628227895231,744.493006116329,734.827101753644
"28",9,2,0,0,"Communicable","White","Male","Florida",1970,"South Atlantic","South","FL",47.0819541925501,49.7159118707392,52.3687634591256,49.6853280037417
"29",9,2,0,0,"Injuries","White","Male","Florida",1970,"South Atlantic","South","FL",121.868327750239,124.71527728803,127.833418791114,124.760433537064
"30",9,2,0,0,"Non-communicable","White","Male","Florida",1970,"South Atlantic","South","FL",91.6136766194852,93.694697342807,96.0336010960103,93.7375148921247
"31",9,2,0,1,"All other causes","White","Female","Florida",1970,"South Atlantic","South","FL",92.4613018211093,94.9816610522923,97.4522065668203,94.9586141418025
"32",9,2,0,1,"Cancers","White","Female","Florida",1970,"South Atlantic","South","FL",145.50932920513,148.072263795978,150.610664690732,148.100676882219
"33",9,2,0,1,"Cardiovascular","White","Female","Florida",1970,"South Atlantic","South","FL",458.533161260585,465.581194916633,472.530869121589,465.613294503079
"34",9,2,0,1,"Communicable","White","Female","Florida",1970,"South Atlantic","South","FL",30.0796144041891,31.665443946503,33.4377390866881,31.676638983557
"35",9,2,0,1,"Injuries","White","Female","Florida",1970,"South Atlantic","South","FL",50.2121587143318,51.8477487190741,53.6517727958656,51.8723025395616
"36",9,2,0,1,"Non-communicable","White","Female","Florida",1970,"South Atlantic","South","FL",42.7557209288227,44.1980893941087,45.6496232443394,44.2151293800653
"37",9,2,1,0,"All other causes","Black","Male","Florida",1970,"South Atlantic","South","FL",301.357854343727,312.659325834171,326.035751129711,312.928939582428
"38",9,2,1,0,"Cancers","Black","Male","Florida",1970,"South Atlantic","South","FL",291.095201696072,302.650356023423,315.59755115719,302.982329391345
