"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",10,1,0,0,"All other causes","White","Male","Georgia",1969,"South Atlantic","South","GA",154.481351268753,160.623107820776,166.690079529953,160.577416490053
"2",10,1,0,0,"Cancers","White","Male","Georgia",1969,"South Atlantic","South","GA",225.39629130779,232.596788535469,239.446955110458,232.516907013593
"3",10,1,0,0,"Cardiovascular","White","Male","Georgia",1969,"South Atlantic","South","GA",962.95867086904,985.133811474634,1005.2973440877,985.23760364263
"4",10,1,0,0,"Communicable","White","Male","Georgia",1969,"South Atlantic","South","GA",73.8460382216527,78.9820834250948,85.019123900182,79.1110157916269
"5",10,1,0,0,"Injuries","White","Male","Georgia",1969,"South Atlantic","South","GA",148.801819712447,153.564266805847,158.242146923485,153.527689632545
"6",10,1,0,0,"Non-communicable","White","Male","Georgia",1969,"South Atlantic","South","GA",104.22710686116,108.890783279339,113.702901534323,108.763710364142
"7",10,1,0,1,"All other causes","White","Female","Georgia",1969,"South Atlantic","South","GA",99.5772826820443,103.368824284895,107.483377463271,103.369607930508
"8",10,1,0,1,"Cancers","White","Female","Georgia",1969,"South Atlantic","South","GA",133.627145283199,137.507145961322,141.510823963594,137.501963368399
"9",10,1,0,1,"Cardiovascular","White","Female","Georgia",1969,"South Atlantic","South","GA",561.807260007535,574.39266716115,587.63385704322,574.418391874792
"10",10,1,0,1,"Communicable","White","Female","Georgia",1969,"South Atlantic","South","GA",44.2665289684215,47.3851508945308,50.7000307304149,47.4376026171501
"11",10,1,0,1,"Injuries","White","Female","Georgia",1969,"South Atlantic","South","GA",50.5291957730786,52.9034203205183,55.2756407800824,52.905644817549
"12",10,1,0,1,"Non-communicable","White","Female","Georgia",1969,"South Atlantic","South","GA",42.157492067685,44.5339937149487,47.1606928628455,44.5780820915006
"13",10,1,1,0,"All other causes","Black","Male","Georgia",1969,"South Atlantic","South","GA",246.33327878891,257.531969077965,269.33381831988,257.657105621992
"14",10,1,1,0,"Cancers","Black","Male","Georgia",1969,"South Atlantic","South","GA",237.17815515283,248.80893220982,260.568879382385,248.712867553922
"15",10,1,1,0,"Cardiovascular","Black","Male","Georgia",1969,"South Atlantic","South","GA",971.430437009896,1002.15828658291,1031.14382908326,1001.74235921031
"16",10,1,1,0,"Communicable","Black","Male","Georgia",1969,"South Atlantic","South","GA",108.14635209028,117.498739593878,126.545642983205,117.433118463207
"17",10,1,1,0,"Injuries","Black","Male","Georgia",1969,"South Atlantic","South","GA",253.738599428425,266.236884300197,278.641272987369,266.136802711715
"18",10,1,1,0,"Non-communicable","Black","Male","Georgia",1969,"South Atlantic","South","GA",92.6926859016753,99.2230306200975,105.965424168686,99.2727075016664
"19",10,1,1,1,"All other causes","Black","Female","Georgia",1969,"South Atlantic","South","GA",165.000374616601,172.813999932005,180.631234633543,172.818508106136
"20",10,1,1,1,"Cancers","Black","Female","Georgia",1969,"South Atlantic","South","GA",143.527737676223,151.101275664896,158.251929927633,151.000516582242
"21",10,1,1,1,"Cardiovascular","Black","Female","Georgia",1969,"South Atlantic","South","GA",699.972978121025,720.905028486395,746.250465881008,721.514122445167
"22",10,1,1,1,"Communicable","Black","Female","Georgia",1969,"South Atlantic","South","GA",65.4671595346335,70.9427388756703,76.6318125652631,71.0079893484763
"23",10,1,1,1,"Injuries","Black","Female","Georgia",1969,"South Atlantic","South","GA",62.8219055616192,66.9258727979151,71.4983019204189,67.0279459197616
"24",10,1,1,1,"Non-communicable","Black","Female","Georgia",1969,"South Atlantic","South","GA",81.0396734879538,86.5204030517402,92.4838952438904,86.4734399666764
"25",10,2,0,0,"All other causes","White","Male","Georgia",1970,"South Atlantic","South","GA",153.690143460389,158.92201077781,164.510531655889,159.00521797029
"26",10,2,0,0,"Cancers","White","Male","Georgia",1970,"South Atlantic","South","GA",229.420960797825,235.325023984955,241.698512463884,235.442085651162
"27",10,2,0,0,"Cardiovascular","White","Male","Georgia",1970,"South Atlantic","South","GA",941.938476277105,961.748583214258,982.829407166177,961.739553190958
"28",10,2,0,0,"Communicable","White","Male","Georgia",1970,"South Atlantic","South","GA",72.7187961668966,77.6729493518919,83.1777773272799,77.8061994871139
"29",10,2,0,0,"Injuries","White","Male","Georgia",1970,"South Atlantic","South","GA",148.408145255679,152.696553928169,157.368890721057,152.79180682102
