"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",16,1,0,0,"All other causes","White","Male","Kansas",1969,"West North Central","Midwest","KS",126.61059225081,131.788536426705,137.741325859737,131.891966597246
"2",16,1,0,0,"Cancers","White","Male","Kansas",1969,"West North Central","Midwest","KS",214.620016014164,221.142211241921,228.157302079436,221.298180022791
"3",16,1,0,0,"Cardiovascular","White","Male","Kansas",1969,"West North Central","Midwest","KS",811.545390318261,830.491084865109,847.529777981079,830.413627330687
"4",16,1,0,0,"Communicable","White","Male","Kansas",1969,"West North Central","Midwest","KS",52.5153436109672,57.2837060288226,62.3826378558615,57.3681108750866
"5",16,1,0,0,"Injuries","White","Male","Kansas",1969,"West North Central","Midwest","KS",111.902831511719,116.988794522101,121.862155632193,116.949268673563
"6",16,1,0,0,"Non-communicable","White","Male","Kansas",1969,"West North Central","Midwest","KS",95.9200080914364,100.169256281822,104.902878156227,100.334272726436
"7",16,1,0,1,"All other causes","White","Female","Kansas",1969,"West North Central","Midwest","KS",89.8381626491094,93.9401626297753,98.1843392508691,93.9739576517607
"8",16,1,0,1,"Cancers","White","Female","Kansas",1969,"West North Central","Midwest","KS",141.853449746527,146.102092377171,151.064413687148,146.222750120678
"9",16,1,0,1,"Cardiovascular","White","Female","Kansas",1969,"West North Central","Midwest","KS",513.926185497603,526.229852844452,538.829560275659,526.132568276613
"10",16,1,0,1,"Communicable","White","Female","Kansas",1969,"West North Central","Midwest","KS",35.1307548944573,37.8751380913796,40.9693440893479,37.860890961669
"11",16,1,0,1,"Injuries","White","Female","Kansas",1969,"West North Central","Midwest","KS",44.3321464811395,46.8377489476443,49.7767187807446,46.8611761444889
"12",16,1,0,1,"Non-communicable","White","Female","Kansas",1969,"West North Central","Midwest","KS",41.1478821647275,43.659370829459,46.5274034536187,43.7006633251615
"13",16,1,1,0,"All other causes","Black","Male","Kansas",1969,"West North Central","Midwest","KS",181.348192328793,204.097542389999,230.208877976357,204.74196875274
"14",16,1,1,0,"Cancers","Black","Male","Kansas",1969,"West North Central","Midwest","KS",281.622157064342,312.466261161427,344.364864656242,312.286165955578
"15",16,1,1,0,"Cardiovascular","Black","Male","Kansas",1969,"West North Central","Midwest","KS",815.868519180544,881.666613451032,957.674775523737,883.78002953532
"16",16,1,1,0,"Communicable","Black","Male","Kansas",1969,"West North Central","Midwest","KS",71.767972710141,93.6809989142509,126.984703806012,95.10909782165
"17",16,1,1,0,"Injuries","Black","Male","Kansas",1969,"West North Central","Midwest","KS",161.018830618976,187.714098572711,217.770701171339,188.310152870549
"18",16,1,1,0,"Non-communicable","Black","Male","Kansas",1969,"West North Central","Midwest","KS",101.535176507552,127.606098731043,155.692368200046,127.707278052028
"19",16,1,1,1,"All other causes","Black","Female","Kansas",1969,"West North Central","Midwest","KS",130.687720515241,148.132719754807,165.743175062047,148.180978210136
"20",16,1,1,1,"Cancers","Black","Female","Kansas",1969,"West North Central","Midwest","KS",159.792372738646,181.940661463006,200.839272185366,181.339523029605
"21",16,1,1,1,"Cardiovascular","Black","Female","Kansas",1969,"West North Central","Midwest","KS",599.303508490088,649.142833286844,709.899242550182,650.657021941611
"22",16,1,1,1,"Communicable","Black","Female","Kansas",1969,"West North Central","Midwest","KS",42.4112878106875,55.9801101967892,74.5155925150655,56.3889723117952
"23",16,1,1,1,"Injuries","Black","Female","Kansas",1969,"West North Central","Midwest","KS",48.2025019374275,59.895398797745,80.9741949867662,60.9815246839226
"24",16,1,1,1,"Non-communicable","Black","Female","Kansas",1969,"West North Central","Midwest","KS",77.0891715259123,96.550765327074,116.61323012863,96.4975200927924
"25",16,2,0,0,"All other causes","White","Male","Kansas",1970,"West North Central","Midwest","KS",125.368060024169,129.671602196938,134.381195179745,129.690549720489
"26",16,2,0,0,"Cancers","White","Male","Kansas",1970,"West North Central","Midwest","KS",216.474510921942,221.988263874489,227.744377452895,222.038814911249
"27",16,2,0,0,"Cardiovascular","White","Male","Kansas",1970,"West North Central","Midwest","KS",782.981120263004,800.821118551148,817.486563241809,800.830459424669
"28",16,2,0,0,"Communicable","White","Male","Kansas",1970,"West North Central","Midwest","KS",49.0318215908465,52.8664745319087,56.8380568982714,52.8497925555546
"29",16,2,0,0,"Injuries","White","Male","Kansas",1970,"West North Central","Midwest","KS",110.382794182119,114.545967109197,118.797866077286,114.558894075589
"30",16,2,0,0,"Non-communicable","White","Male","Kansas",1970,"West North Central","Midwest","KS",95.4141338797193,99.1421869135125,103.349397268418,99.2391412270903
"31",16,2,0,1,"All other causes","White","Female","Kansas",1970,"West North Central","Midwest","KS",89.4824908328472,92.9265319591118,96.6067852071083,92.9344051789526
"32",16,2,0,1,"Cancers","White","Female","Kansas",1970,"West North Central","Midwest","KS",142.01246326624,145.792696439336,149.771691111713,145.791238417708
"33",16,2,0,1,"Cardiovascular","White","Female","Kansas",1970,"West North Central","Midwest","KS",488.152599636904,499.171165128018,509.983156460156,499.072653418368
"34",16,2,0,1,"Communicable","White","Female","Kansas",1970,"West North Central","Midwest","KS",31.7952278968099,33.9519644242388,36.458718738586,33.98957483542
"35",16,2,0,1,"Injuries","White","Female","Kansas",1970,"West North Central","Midwest","KS",44.0196577284085,46.0946207966176,48.6116994939818,46.1067328770923
"36",16,2,0,1,"Non-communicable","White","Female","Kansas",1970,"West North Central","Midwest","KS",41.1302721960164,43.3395854890598,45.7887984101813,43.3674420032952
"37",16,2,1,0,"All other causes","Black","Male","Kansas",1970,"West North Central","Midwest","KS",181.896819450533,203.38741939356,229.754229121646,203.893041253242
"38",16,2,1,0,"Cancers","Black","Male","Kansas",1970,"West North Central","Midwest","KS",283.383942104553,312.444792169758,340.657984815828,311.909397074606
"39",16,2,1,0,"Cardiovascular","Black","Male","Kansas",1970,"West North Central","Midwest","KS",783.147829879938,841.446203127132,898.718963308677,842.059271484473
"40",16,2,1,0,"Communicable","Black","Male","Kansas",1970,"West North Central","Midwest","KS",70.97278578516,90.3145089238513,119.271423392183,91.9234602725699
"41",16,2,1,0,"Injuries","Black","Male","Kansas",1970,"West North Central","Midwest","KS",161.468103637787,186.822156124893,214.482059340482,186.961477792046
