"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",18,1,0,0,"All other causes","White","Male","Louisiana",1969,"West South Central","South","LA",138.856278983013,145.137249078201,151.112854788171,145.018463852449
"2",18,1,0,0,"Cancers","White","Male","Louisiana",1969,"West South Central","South","LA",258.507403934464,267.354113814212,275.183885420217,267.272334796219
"3",18,1,0,0,"Cardiovascular","White","Male","Louisiana",1969,"West South Central","South","LA",946.350403593243,969.463427351563,992.059834719107,969.265265063448
"4",18,1,0,0,"Communicable","White","Male","Louisiana",1969,"West South Central","South","LA",55.9908646605964,61.2083017725187,67.0403434086132,61.1988747467043
"5",18,1,0,0,"Injuries","White","Male","Louisiana",1969,"West South Central","South","LA",135.505686702611,140.695232309819,145.951779482907,140.794180578473
"6",18,1,0,0,"Non-communicable","White","Male","Louisiana",1969,"West South Central","South","LA",101.743900622066,106.657076215305,112.112023359941,106.797523059839
"7",18,1,0,1,"All other causes","White","Female","Louisiana",1969,"West South Central","South","LA",98.7380499007085,103.19567788539,108.166035170743,103.179793253758
"8",18,1,0,1,"Cancers","White","Female","Louisiana",1969,"West South Central","South","LA",148.617726585777,153.28062615277,158.105327208955,153.321799267683
"9",18,1,0,1,"Cardiovascular","White","Female","Louisiana",1969,"West South Central","South","LA",581.853744932894,597.089129211516,612.413996917697,597.102201297246
"10",18,1,0,1,"Communicable","White","Female","Louisiana",1969,"West South Central","South","LA",35.1395957619065,37.9131730467564,40.9079895427603,37.9776971619276
"11",18,1,0,1,"Injuries","White","Female","Louisiana",1969,"West South Central","South","LA",46.3779728411954,48.9498600364397,51.8060052896467,48.9969847459552
"12",18,1,0,1,"Non-communicable","White","Female","Louisiana",1969,"West South Central","South","LA",53.1564913354133,56.0856384288745,59.0101238921112,56.0552290991929
"13",18,1,1,0,"All other causes","Black","Male","Louisiana",1969,"West South Central","South","LA",190.852725795543,200.02196571286,209.584818238257,200.040211753215
"14",18,1,1,0,"Cancers","Black","Male","Louisiana",1969,"West South Central","South","LA",278.757848416765,291.375547612139,304.074820046391,291.385492111071
"15",18,1,1,0,"Cardiovascular","Black","Male","Louisiana",1969,"West South Central","South","LA",971.464603000333,999.858699200212,1029.94260151484,1000.49486919551
"16",18,1,1,0,"Communicable","Black","Male","Louisiana",1969,"West South Central","South","LA",87.8208445931655,95.0148344433877,103.140501395353,95.2544512058926
"17",18,1,1,0,"Injuries","Black","Male","Louisiana",1969,"West South Central","South","LA",214.617402137834,225.573658359769,237.053555620807,225.632184865614
"18",18,1,1,0,"Non-communicable","Black","Male","Louisiana",1969,"West South Central","South","LA",104.818225122196,111.374958308259,118.161283537406,111.386549078179
"19",18,1,1,1,"All other causes","Black","Female","Louisiana",1969,"West South Central","South","LA",138.331959147258,145.582627019161,152.589308982327,145.536994576563
"20",18,1,1,1,"Cancers","Black","Female","Louisiana",1969,"West South Central","South","LA",172.313928497306,179.188626596624,187.295963469184,179.367705935627
"21",18,1,1,1,"Cardiovascular","Black","Female","Louisiana",1969,"West South Central","South","LA",764.502869958646,788.138427114266,812.877407344085,788.416358468154
"22",18,1,1,1,"Communicable","Black","Female","Louisiana",1969,"West South Central","South","LA",49.423299807997,54.211678426325,59.1595573772275,54.2651399452123
"23",18,1,1,1,"Injuries","Black","Female","Louisiana",1969,"West South Central","South","LA",53.9448990326803,57.8309901839528,62.0869224186614,57.918622963435
"24",18,1,1,1,"Non-communicable","Black","Female","Louisiana",1969,"West South Central","South","LA",96.891501293878,103.534274675278,110.316388812439,103.559249353348
"25",18,2,0,0,"All other causes","White","Male","Louisiana",1970,"West South Central","South","LA",137.393438943967,142.78343373464,148.272435090968,142.7755155792
"26",18,2,0,0,"Cancers","White","Male","Louisiana",1970,"West South Central","South","LA",260.003336704849,266.877200178743,273.551957056882,266.918451329818
"27",18,2,0,0,"Cardiovascular","White","Male","Louisiana",1970,"West South Central","South","LA",927.315388366315,948.589182711088,969.459527960186,948.557721004667
"28",18,2,0,0,"Communicable","White","Male","Louisiana",1970,"West South Central","South","LA",57.6811306606884,62.5106672797744,67.201176912449,62.4513158899076
"29",18,2,0,0,"Injuries","White","Male","Louisiana",1970,"West South Central","South","LA",133.491815325883,137.634637977215,142.040293629762,137.661363184196
"30",18,2,0,0,"Non-communicable","White","Male","Louisiana",1970,"West South Central","South","LA",102.529375734759,106.833504098953,111.212510359089,106.80756782051
"31",18,2,0,1,"All other causes","White","Female","Louisiana",1970,"West South Central","South","LA",97.7883214165209,101.597227361669,105.641346195313,101.568249034429
"32",18,2,0,1,"Cancers","White","Female","Louisiana",1970,"West South Central","South","LA",149.509210164596,153.641978489434,158.084338648154,153.728581422322
"33",18,2,0,1,"Cardiovascular","White","Female","Louisiana",1970,"West South Central","South","LA",566.706134456926,580.308560290521,594.037825468947,580.127805768579
"34",18,2,0,1,"Communicable","White","Female","Louisiana",1970,"West South Central","South","LA",33.3671626479755,35.6475054891645,38.2552268533868,35.6950384951137
"35",18,2,0,1,"Injuries","White","Female","Louisiana",1970,"West South Central","South","LA",45.4579340718305,47.5242224801463,49.9745339988433,47.5917681578489
"36",18,2,0,1,"Non-communicable","White","Female","Louisiana",1970,"West South Central","South","LA",53.9555227278716,56.2388386442742,58.9576556784279,56.2897824475189
"37",18,2,1,0,"All other causes","Black","Male","Louisiana",1970,"West South Central","South","LA",189.830449753594,197.512184247819,205.580981968082,197.499017666609
"38",18,2,1,0,"Cancers","Black","Male","Louisiana",1970,"West South Central","South","LA",277.910933434024,288.818343458444,299.351355466196,288.811473281835
"39",18,2,1,0,"Cardiovascular","Black","Male","Louisiana",1970,"West South Central","South","LA",948.820530460534,975.168084816928,999.864614421968,975.0577657442
"40",18,2,1,0,"Communicable","Black","Male","Louisiana",1970,"West South Central","South","LA",84.2710288274633,90.52261376871,96.9143986484641,90.4165297594952
"41",18,2,1,0,"Injuries","Black","Male","Louisiana",1970,"West South Central","South","LA",219.320776535834,228.808211936352,238.280981580105,228.830065621373
"42",18,2,1,0,"Non-communicable","Black","Male","Louisiana",1970,"West South Central","South","LA",106.31211630839,112.841359732932,118.676883829863,112.721494550892
