"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",21,1,0,0,"All other causes","White","Male","Massachusetts",1969,"New England","Northeast","MA",133.04167216009,137.183020493218,142.354034433259,137.268102099253
"2",21,1,0,0,"Cancers","White","Male","Massachusetts",1969,"New England","Northeast","MA",261.862328693818,267.730776504494,273.906885654864,267.645576335725
"3",21,1,0,0,"Cardiovascular","White","Male","Massachusetts",1969,"New England","Northeast","MA",860.27296860111,873.780393473297,887.835005945272,874.069309217242
"4",21,1,0,0,"Communicable","White","Male","Massachusetts",1969,"New England","Northeast","MA",91.0852508267733,95.7258164662289,100.565038290677,95.7634894858639
"5",21,1,0,0,"Injuries","White","Male","Massachusetts",1969,"New England","Northeast","MA",85.7066134527228,89.0884772500882,92.3501175644755,89.0647123336276
"6",21,1,0,0,"Non-communicable","White","Male","Massachusetts",1969,"New England","Northeast","MA",105.114420540383,108.884765033525,112.493317319704,108.872055765232
"7",21,1,0,1,"All other causes","White","Female","Massachusetts",1969,"New England","Northeast","MA",92.7474070422207,95.7815895351141,98.6846247623321,95.7348776052322
"8",21,1,0,1,"Cancers","White","Female","Massachusetts",1969,"New England","Northeast","MA",169.168271108011,172.635208632319,176.049826587126,172.641670530942
"9",21,1,0,1,"Cardiovascular","White","Female","Massachusetts",1969,"New England","Northeast","MA",561.792136460662,570.888086538543,580.157582004329,571.021451122443
"10",21,1,0,1,"Communicable","White","Female","Massachusetts",1969,"New England","Northeast","MA",47.8895890306494,50.4217948162841,53.1009088803892,50.40765308094
"11",21,1,0,1,"Injuries","White","Female","Massachusetts",1969,"New England","Northeast","MA",40.4801881064263,42.5410223760041,44.532029887705,42.5241443104944
"12",21,1,0,1,"Non-communicable","White","Female","Massachusetts",1969,"New England","Northeast","MA",49.9581006810624,51.8481567929471,53.9006067635408,51.8673737954486
"13",21,1,1,0,"All other causes","Black","Male","Massachusetts",1969,"New England","Northeast","MA",179.315492640073,205.695884329251,237.645114435447,206.259203902671
"14",21,1,1,0,"Cancers","Black","Male","Massachusetts",1969,"New England","Northeast","MA",299.385287446653,331.066864719232,362.774281224125,331.188083274276
"15",21,1,1,0,"Cardiovascular","Black","Male","Massachusetts",1969,"New England","Northeast","MA",769.917129819186,837.66090061163,915.812857595117,839.125701610971
"16",21,1,1,0,"Communicable","Black","Male","Massachusetts",1969,"New England","Northeast","MA",101.162719140133,132.309294407419,172.971658869757,133.986083170559
"17",21,1,1,0,"Injuries","Black","Male","Massachusetts",1969,"New England","Northeast","MA",168.841967359113,193.557779334476,220.511124453539,193.809586426909
"18",21,1,1,0,"Non-communicable","Black","Male","Massachusetts",1969,"New England","Northeast","MA",132.238585678964,157.425754042222,190.486385114664,158.630794782636
"19",21,1,1,1,"All other causes","Black","Female","Massachusetts",1969,"New England","Northeast","MA",125.014744510205,140.517842287437,160.419603012551,141.172142042759
"20",21,1,1,1,"Cancers","Black","Female","Massachusetts",1969,"New England","Northeast","MA",163.769653001363,179.983388090921,198.291903694425,179.997514904261
"21",21,1,1,1,"Cardiovascular","Black","Female","Massachusetts",1969,"New England","Northeast","MA",527.854777853068,575.113358273307,625.677986214118,575.891342171182
"22",21,1,1,1,"Communicable","Black","Female","Massachusetts",1969,"New England","Northeast","MA",63.5989020423395,84.5172875901648,110.920338119902,85.2355553587111
"23",21,1,1,1,"Injuries","Black","Female","Massachusetts",1969,"New England","Northeast","MA",41.9632850694636,55.3410850109472,71.9261982674604,55.8277047831511
"24",21,1,1,1,"Non-communicable","Black","Female","Massachusetts",1969,"New England","Northeast","MA",64.4582996039165,80.5284612892508,100.160498595723,81.1758794391577
"25",21,2,0,0,"All other causes","White","Male","Massachusetts",1970,"New England","Northeast","MA",129.760698398469,133.580729442778,137.898234265086,133.595025441658
"26",21,2,0,0,"Cancers","White","Male","Massachusetts",1970,"New England","Northeast","MA",265.629956753336,270.357284843665,275.192805609215,270.279173474077
"27",21,2,0,0,"Cardiovascular","White","Male","Massachusetts",1970,"New England","Northeast","MA",853.08583749272,864.775480843066,878.847470951127,865.135401094965
"28",21,2,0,0,"Communicable","White","Male","Massachusetts",1970,"New England","Northeast","MA",88.036008127485,92.3994582560859,96.8930751584348,92.4282132427116
"29",21,2,0,0,"Injuries","White","Male","Massachusetts",1970,"New England","Northeast","MA",85.4509972156028,88.3358960948031,91.367627659149,88.3582976928746
"30",21,2,0,0,"Non-communicable","White","Male","Massachusetts",1970,"New England","Northeast","MA",107.496825410858,110.776061362537,114.139460274898,110.772766182328
"31",21,2,0,1,"All other causes","White","Female","Massachusetts",1970,"New England","Northeast","MA",90.1518038831393,92.8154293419637,95.4835436462293,92.8235316714011
"32",21,2,0,1,"Cancers","White","Female","Massachusetts",1970,"New England","Northeast","MA",168.03341078741,171.282878335582,174.14700428356,171.220361211934
"33",21,2,0,1,"Cardiovascular","White","Female","Massachusetts",1970,"New England","Northeast","MA",537.118629599859,545.536913743338,553.396610849225,545.525717012321
"34",21,2,0,1,"Communicable","White","Female","Massachusetts",1970,"New England","Northeast","MA",46.9293417625549,49.2528314986458,51.5660990154725,49.259469654473
"35",21,2,0,1,"Injuries","White","Female","Massachusetts",1970,"New England","Northeast","MA",39.7644953221417,41.5180884011149,43.201337099863,41.5212277769671
