"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",22,1,0,0,"All other causes","White","Male","Michigan",1969,"East North Central","Midwest","MI",124.961827203548,128.435196883803,132.334526600855,128.453286693856
"2",22,1,0,0,"Cancers","White","Male","Michigan",1969,"East North Central","Midwest","MI",248.854127328323,254.165870844758,259.381232024789,254.093757566627
"3",22,1,0,0,"Cardiovascular","White","Male","Michigan",1969,"East North Central","Midwest","MI",901.479018358347,914.959563861716,927.891196671011,914.904384136544
"4",22,1,0,0,"Communicable","White","Male","Michigan",1969,"East North Central","Midwest","MI",55.9684633514008,59.2607674160626,63.00645871263,59.2954298542395
"5",22,1,0,0,"Injuries","White","Male","Michigan",1969,"East North Central","Midwest","MI",109.179226002015,112.161271984588,115.211842737866,112.173408163487
"6",22,1,0,0,"Non-communicable","White","Male","Michigan",1969,"East North Central","Midwest","MI",122.716096793919,126.204065143198,129.629993195652,126.191732765699
"7",22,1,0,1,"All other causes","White","Female","Michigan",1969,"East North Central","Midwest","MI",88.0768097973001,90.6913667583041,93.4339330939434,90.6733910463991
"8",22,1,0,1,"Cancers","White","Female","Michigan",1969,"East North Central","Midwest","MI",159.072394463972,162.116134986992,165.638747568962,162.133889226628
"9",22,1,0,1,"Cardiovascular","White","Female","Michigan",1969,"East North Central","Midwest","MI",591.67798838562,600.551446024611,609.828169688143,600.740108009153
"10",22,1,0,1,"Communicable","White","Female","Michigan",1969,"East North Central","Midwest","MI",34.2002234761631,36.0317772517784,38.0358498754261,36.0537309677149
"11",22,1,0,1,"Injuries","White","Female","Michigan",1969,"East North Central","Midwest","MI",45.0356694875648,46.7585711999866,48.5320589131934,46.7954506570697
"12",22,1,0,1,"Non-communicable","White","Female","Michigan",1969,"East North Central","Midwest","MI",60.9528678663334,63.0778700511829,65.2569465053089,63.1049293955661
"13",22,1,1,0,"All other causes","Black","Male","Michigan",1969,"East North Central","Midwest","MI",194.629217352015,207.174845267417,218.833795180125,207.191158246716
"14",22,1,1,0,"Cancers","Black","Male","Michigan",1969,"East North Central","Midwest","MI",300.773130577459,314.100888108159,329.068901987401,314.195278691056
"15",22,1,1,0,"Cardiovascular","Black","Male","Michigan",1969,"East North Central","Midwest","MI",809.34054858203,842.825888078907,878.753936556736,843.212826760943
"16",22,1,1,0,"Communicable","Black","Male","Michigan",1969,"East North Central","Midwest","MI",97.0748315432516,107.946034618719,120.34671766563,108.025609097973
"17",22,1,1,0,"Injuries","Black","Male","Michigan",1969,"East North Central","Midwest","MI",209.164649646959,219.915802698968,230.745058669104,219.891019500024
"18",22,1,1,0,"Non-communicable","Black","Male","Michigan",1969,"East North Central","Midwest","MI",149.945738994463,159.369986059205,171.033538177398,159.674268221028
"19",22,1,1,1,"All other causes","Black","Female","Michigan",1969,"East North Central","Midwest","MI",136.173040474695,143.324372243164,151.487550119168,143.544249168108
"20",22,1,1,1,"Cancers","Black","Female","Michigan",1969,"East North Central","Midwest","MI",173.563333484286,181.983469353643,190.690781711327,181.950496845468
"21",22,1,1,1,"Cardiovascular","Black","Female","Michigan",1969,"East North Central","Midwest","MI",632.825903515901,657.951371196852,686.961685381987,658.448284444655
"22",22,1,1,1,"Communicable","Black","Female","Michigan",1969,"East North Central","Midwest","MI",49.0550676199776,54.8359103115575,61.0486031922069,54.9116291986359
"23",22,1,1,1,"Injuries","Black","Female","Michigan",1969,"East North Central","Midwest","MI",51.1903300225762,55.2925090831295,59.8061160689066,55.3283022131243
"24",22,1,1,1,"Non-communicable","Black","Female","Michigan",1969,"East North Central","Midwest","MI",99.6627569830101,106.566595500074,114.416784375099,106.672951756828
"25",22,2,0,0,"All other causes","White","Male","Michigan",1970,"East North Central","Midwest","MI",123.158304771347,126.313261826947,129.63081904695,126.326055677915
"26",22,2,0,0,"Cancers","White","Male","Michigan",1970,"East North Central","Midwest","MI",250.105170706398,254.464718593191,258.834040765586,254.495935694289
"27",22,2,0,0,"Cardiovascular","White","Male","Michigan",1970,"East North Central","Midwest","MI",894.707981711651,906.760518928509,918.557383862247,906.69747939163
"28",22,2,0,0,"Communicable","White","Male","Michigan",1970,"East North Central","Midwest","MI",51.4098478853871,54.1622560232084,57.1222072570643,54.1970629991561
"29",22,2,0,0,"Injuries","White","Male","Michigan",1970,"East North Central","Midwest","MI",106.648166401079,109.045725255642,111.490057601508,109.023485975462
"30",22,2,0,0,"Non-communicable","White","Male","Michigan",1970,"East North Central","Midwest","MI",122.26681289814,125.103935251155,127.993777328053,125.127813048445
"31",22,2,0,1,"All other causes","White","Female","Michigan",1970,"East North Central","Midwest","MI",88.6721116608659,90.8526027990428,93.1314126724853,90.8215770753483
"32",22,2,0,1,"Cancers","White","Female","Michigan",1970,"East North Central","Midwest","MI",160.388361414922,163.097430954104,166.054624414661,163.101600748934
"33",22,2,0,1,"Cardiovascular","White","Female","Michigan",1970,"East North Central","Midwest","MI",568.270482052119,575.9108495694,583.975351409561,575.968249269347
"34",22,2,0,1,"Communicable","White","Female","Michigan",1970,"East North Central","Midwest","MI",30.4053169429857,31.8737116189826,33.454092058837,31.8725624792393
"35",22,2,0,1,"Injuries","White","Female","Michigan",1970,"East North Central","Midwest","MI",44.7240644995664,46.1695478044864,47.777457843702,46.1778603758786
"36",22,2,0,1,"Non-communicable","White","Female","Michigan",1970,"East North Central","Midwest","MI",60.5535691884379,62.3643758231567,64.1758791716196,62.3986822088824
"37",22,2,1,0,"All other causes","Black","Male","Michigan",1970,"East North Central","Midwest","MI",194.423040910231,205.13104136774,216.478863093781,205.10379699951
"38",22,2,1,0,"Cancers","Black","Male","Michigan",1970,"East North Central","Midwest","MI",304.98110355664,316.461158695459,329.173142658398,316.67914729608
"39",22,2,1,0,"Cardiovascular","Black","Male","Michigan",1970,"East North Central","Midwest","MI",801.824718589219,827.644782208498,858.053586985269,827.740743431047
"40",22,2,1,0,"Communicable","Black","Male","Michigan",1970,"East North Central","Midwest","MI",96.0752624987672,105.794875232765,116.039750901611,105.695584144831
"41",22,2,1,0,"Injuries","Black","Male","Michigan",1970,"East North Central","Midwest","MI",213.804175334061,223.894549391706,232.512772134089,223.708634737187
"42",22,2,1,0,"Non-communicable","Black","Male","Michigan",1970,"East North Central","Midwest","MI",151.153036301287,160.317618960216,169.926913300413,160.412286364776
"43",22,2,1,1,"All other causes","Black","Female","Michigan",1970,"East North Central","Midwest","MI",136.964185159434,143.317793333451,150.393195494302,143.455005243328
"44",22,2,1,1,"Cancers","Black","Female","Michigan",1970,"East North Central","Midwest","MI",173.831295933877,181.149641356263,188.763380897758,181.158484638377
"45",22,2,1,1,"Cardiovascular","Black","Female","Michigan",1970,"East North Central","Midwest","MI",622.315382719644,645.568154779357,668.734924499686,645.268504332293
"46",22,2,1,1,"Communicable","Black","Female","Michigan",1970,"East North Central","Midwest","MI",47.5742233023556,52.828060906071,58.2775472499632,52.8580813273351
"47",22,2,1,1,"Injuries","Black","Female","Michigan",1970,"East North Central","Midwest","MI",51.6013601713652,55.3929468968734,59.4399017944777,55.40592470579
"48",22,2,1,1,"Non-communicable","Black","Female","Michigan",1970,"East North Central","Midwest","MI",100.255856907549,106.352918663126,112.812857858477,106.405635750207
"49",22,3,0,0,"All other causes","White","Male","Michigan",1971,"East North Central","Midwest","MI",118.719341700369,121.767185076342,124.796030073963,121.784002911306
"50",22,3,0,0,"Cancers","White","Male","Michigan",1971,"East North Central","Midwest","MI",250.638218798743,254.842547686444,259.128978497432,254.797270994586
"51",22,3,0,0,"Cardiovascular","White","Male","Michigan",1971,"East North Central","Midwest","MI",909.677683618163,921.211561998224,933.042950720646,921.420614837692
"52",22,3,0,0,"Communicable","White","Male","Michigan",1971,"East North Central","Midwest","MI",50.5521157461471,53.2334462275386,55.9191632103418,53.2273279751571
"53",22,3,0,0,"Injuries","White","Male","Michigan",1971,"East North Central","Midwest","MI",105.164377124035,107.377421185338,109.836320077726,107.418036023205
"54",22,3,0,0,"Non-communicable","White","Male","Michigan",1971,"East North Central","Midwest","MI",121.269272262448,123.879110555563,126.955088830652,123.941268674088
"55",22,3,0,1,"All other causes","White","Female","Michigan",1971,"East North Central","Midwest","MI",84.6906080116987,86.7699084165613,88.9212594476707,86.7902806968932
"56",22,3,0,1,"Cancers","White","Female","Michigan",1971,"East North Central","Midwest","MI",160.636356315935,163.257243413237,166.118773130544,163.271520544061
"57",22,3,0,1,"Cardiovascular","White","Female","Michigan",1971,"East North Central","Midwest","MI",556.752992915076,564.858641081822,572.624294135694,564.871927031277
"58",22,3,0,1,"Communicable","White","Female","Michigan",1971,"East North Central","Midwest","MI",29.0768349571262,30.4617578715341,32.0349930757026,30.4688396134434
"59",22,3,0,1,"Injuries","White","Female","Michigan",1971,"East North Central","Midwest","MI",44.3793965225851,45.6757268836757,47.1190744834929,45.6827882524253
"60",22,3,0,1,"Non-communicable","White","Female","Michigan",1971,"East North Central","Midwest","MI",61.2007222822189,63.052123087427,64.8938478415277,63.0182871209994
"61",22,3,1,0,"All other causes","Black","Male","Michigan",1971,"East North Central","Midwest","MI",194.318759568753,203.751243456157,214.075265438852,203.894175164891
"62",22,3,1,0,"Cancers","Black","Male","Michigan",1971,"East North Central","Midwest","MI",305.683391190546,317.180425238874,329.045361680419,317.328691811403
"63",22,3,1,0,"Cardiovascular","Black","Male","Michigan",1971,"East North Central","Midwest","MI",795.67461668645,820.071350043732,848.433827831291,821.020206604549
"64",22,3,1,0,"Communicable","Black","Male","Michigan",1971,"East North Central","Midwest","MI",94.3548544740172,102.726273528168,112.544625977735,102.914879316164
