"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",23,1,0,0,"All other causes","White","Male","Minnesota",1969,"West North Central","Midwest","MN",119.888827865267,124.015523870723,128.481990223287,123.982151346806
"2",23,1,0,0,"Cancers","White","Male","Minnesota",1969,"West North Central","Midwest","MN",220.234537177956,225.57343282099,231.59972407681,225.654253277559
"3",23,1,0,0,"Cardiovascular","White","Male","Minnesota",1969,"West North Central","Midwest","MN",805.561338177422,820.23131433588,834.479703787643,820.201753431645
"4",23,1,0,0,"Communicable","White","Male","Minnesota",1969,"West North Central","Midwest","MN",58.8779507278022,63.5368682880147,68.2450905832466,63.5271883886686
"5",23,1,0,0,"Injuries","White","Male","Minnesota",1969,"West North Central","Midwest","MN",104.924677891372,108.57523819475,112.426803933961,108.596228689131
"6",23,1,0,0,"Non-communicable","White","Male","Minnesota",1969,"West North Central","Midwest","MN",77.3331951676888,80.4742679065659,83.816497709187,80.5306740646284
"7",23,1,0,1,"All other causes","White","Female","Minnesota",1969,"West North Central","Midwest","MN",82.8024468973201,85.8587010897792,89.1185155122001,85.876330878065
"8",23,1,0,1,"Cancers","White","Female","Minnesota",1969,"West North Central","Midwest","MN",153.146828267751,156.962350722815,160.793496102436,156.948425188437
"9",23,1,0,1,"Cardiovascular","White","Female","Minnesota",1969,"West North Central","Midwest","MN",499.17575215635,510.462803455424,521.201322471614,510.310717540208
"10",23,1,0,1,"Communicable","White","Female","Minnesota",1969,"West North Central","Midwest","MN",33.8929809468995,36.3628825519513,38.9489143807036,36.3696395588437
"11",23,1,0,1,"Injuries","White","Female","Minnesota",1969,"West North Central","Midwest","MN",41.9623097551179,44.040851245065,46.3100550326265,44.0328812490335
"12",23,1,0,1,"Non-communicable","White","Female","Minnesota",1969,"West North Central","Midwest","MN",38.2766846504013,40.5305309994356,42.7024349367597,40.5360661291669
"13",23,1,1,0,"All other causes","Black","Male","Minnesota",1969,"West North Central","Midwest","MN",209.060247848964,261.406522002809,328.358898825276,263.948613693756
"14",23,1,1,0,"Cancers","Black","Male","Minnesota",1969,"West North Central","Midwest","MN",255.877959662804,318.518023984981,396.716186916331,321.178077318363
