"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",25,1,0,0,"All other causes","White","Male","Missouri",1969,"West North Central","Midwest","MO",177.578950679046,183.046102942665,188.723481774962,183.142424384169
"2",25,1,0,0,"Cancers","White","Male","Missouri",1969,"West North Central","Midwest","MO",234.471789113267,240.273991194063,246.037321660982,240.303266919315
"3",25,1,0,0,"Cardiovascular","White","Male","Missouri",1969,"West North Central","Midwest","MO",865.465632597155,880.752225778712,894.922065340227,880.717291616251
"4",25,1,0,0,"Communicable","White","Male","Missouri",1969,"West North Central","Midwest","MO",68.4834866208046,72.7427603568322,77.0779461555734,72.7078277713014
"5",25,1,0,0,"Injuries","White","Male","Missouri",1969,"West North Central","Midwest","MO",119.32691271832,123.058041052805,126.874777904312,123.032809462491
"6",25,1,0,0,"Non-communicable","White","Male","Missouri",1969,"West North Central","Midwest","MO",91.4225244349545,94.6249013696211,97.9873008336058,94.6075862768176
"7",25,1,0,1,"All other causes","White","Female","Missouri",1969,"West North Central","Midwest","MO",110.059847396683,113.469085774981,116.971220346659,113.506770052495
"8",25,1,0,1,"Cancers","White","Female","Missouri",1969,"West North Central","Midwest","MO",152.845591625124,156.115441834224,159.774194543897,156.087578632195
"9",25,1,0,1,"Cardiovascular","White","Female","Missouri",1969,"West North Central","Midwest","MO",568.971158908298,578.476341324843,588.055070489034,578.427964811307
"10",25,1,0,1,"Communicable","White","Female","Missouri",1969,"West North Central","Midwest","MO",39.897847375862,42.3927240731038,44.9614705365937,42.3563703780775
"11",25,1,0,1,"Injuries","White","Female","Missouri",1969,"West North Central","Midwest","MO",46.8279550965869,48.8236765865058,50.7166821182194,48.8155342326051
"12",25,1,0,1,"Non-communicable","White","Female","Missouri",1969,"West North Central","Midwest","MO",44.8911248314191,46.9984361612964,49.0180179557474,47.0016865546846
"13",25,1,1,0,"All other causes","Black","Male","Missouri",1969,"West North Central","Midwest","MO",320.421296894737,340.990695484976,360.701457517126,341.039775408813
"14",25,1,1,0,"Cancers","Black","Male","Missouri",1969,"West North Central","Midwest","MO",298.041353822164,316.64244844683,335.908530598753,316.355495823571
"15",25,1,1,0,"Cardiovascular","Black","Male","Missouri",1969,"West North Central","Midwest","MO",815.740376939296,850.890545638413,885.512773471813,851.107719394244
"16",25,1,1,0,"Communicable","Black","Male","Missouri",1969,"West North Central","Midwest","MO",93.5956424402707,105.272192064998,119.628816531941,105.704088116602
"17",25,1,1,0,"Injuries","Black","Male","Missouri",1969,"West North Central","Midwest","MO",234.05646043179,249.659343976286,266.618993151711,249.879544711847
"18",25,1,1,0,"Non-communicable","Black","Male","Missouri",1969,"West North Central","Midwest","MO",125.462910365527,135.667484555574,146.1094810986,135.688715929795
"19",25,1,1,1,"All other causes","Black","Female","Missouri",1969,"West North Central","Midwest","MO",212.16998539138,225.942413861155,241.676294157667,226.256667067803
"20",25,1,1,1,"Cancers","Black","Female","Missouri",1969,"West North Central","Midwest","MO",179.014028494713,188.932662201661,199.024221885721,189.032102860602
"21",25,1,1,1,"Cardiovascular","Black","Female","Missouri",1969,"West North Central","Midwest","MO",653.46717829949,687.205749509264,722.275454307341,687.199362299991
"22",25,1,1,1,"Communicable","Black","Female","Missouri",1969,"West North Central","Midwest","MO",47.2168938580749,54.0844446680376,61.0361733186916,54.1402796205452
"23",25,1,1,1,"Injuries","Black","Female","Missouri",1969,"West North Central","Midwest","MO",54.5113742521544,60.520792779051,68.4550123779415,60.7544651773762
"24",25,1,1,1,"Non-communicable","Black","Female","Missouri",1969,"West North Central","Midwest","MO",86.3691206935997,93.4536860979202,101.458039756792,93.5414843293074
"25",25,2,0,0,"All other causes","White","Male","Missouri",1970,"West North Central","Midwest","MO",174.094212181688,178.479110224816,183.374476798129,178.566223091634
"26",25,2,0,0,"Cancers","White","Male","Missouri",1970,"West North Central","Midwest","MO",237.216326161943,242.138672739368,247.012466872274,242.102569621418
"27",25,2,0,0,"Cardiovascular","White","Male","Missouri",1970,"West North Central","Midwest","MO",858.618750446604,871.848238278059,885.40869805716,871.836259571209
"28",25,2,0,0,"Communicable","White","Male","Missouri",1970,"West North Central","Midwest","MO",60.7062650968122,64.3942707109653,68.2455359392892,64.4024148515597
"29",25,2,0,0,"Injuries","White","Male","Missouri",1970,"West North Central","Midwest","MO",118.211522054594,121.399518929763,124.608793956695,121.403274380441
"30",25,2,0,0,"Non-communicable","White","Male","Missouri",1970,"West North Central","Midwest","MO",92.5842715557334,95.5236645108698,98.5442096747555,95.5696783612693
"31",25,2,0,1,"All other causes","White","Female","Missouri",1970,"West North Central","Midwest","MO",106.716239464905,109.475442410564,112.448349065024,109.500578942003
"32",25,2,0,1,"Cancers","White","Female","Missouri",1970,"West North Central","Midwest","MO",152.905750678511,156.003747137079,159.172687188278,156.024985964553
"33",25,2,0,1,"Cardiovascular","White","Female","Missouri",1970,"West North Central","Midwest","MO",548.166492232206,557.109541456281,565.946884483145,557.01351372656
"34",25,2,0,1,"Communicable","White","Female","Missouri",1970,"West North Central","Midwest","MO",37.2882131033848,39.2607454731127,41.1491118149439,39.2271641797703
"35",25,2,0,1,"Injuries","White","Female","Missouri",1970,"West North Central","Midwest","MO",46.8733007053598,48.6668046576543,50.3634766338853,48.662797117578
"36",25,2,0,1,"Non-communicable","White","Female","Missouri",1970,"West North Central","Midwest","MO",45.2055256006611,46.8819636368031,48.7649265267032,46.9281209063227
"37",25,2,1,0,"All other causes","Black","Male","Missouri",1970,"West North Central","Midwest","MO",313.962952580363,330.643255171642,349.256161616294,331.245703742663
"38",25,2,1,0,"Cancers","Black","Male","Missouri",1970,"West North Central","Midwest","MO",298.374127766471,314.942769342129,330.394947035312,314.452520718192
"39",25,2,1,0,"Cardiovascular","Black","Male","Missouri",1970,"West North Central","Midwest","MO",816.483001632183,845.282723863632,875.341621308668,845.21058013094
"40",25,2,1,0,"Communicable","Black","Male","Missouri",1970,"West North Central","Midwest","MO",87.8279360859403,98.3141407958246,108.793734798131,98.2224078200097
"41",25,2,1,0,"Injuries","Black","Male","Missouri",1970,"West North Central","Midwest","MO",229.797418955981,244.467873536795,258.145436445925,244.452449908058
"42",25,2,1,0,"Non-communicable","Black","Male","Missouri",1970,"West North Central","Midwest","MO",126.713009927922,135.56229051538,144.678516741139,135.55825877192
"43",25,2,1,1,"All other causes","Black","Female","Missouri",1970,"West North Central","Midwest","MO",207.24906932248,218.445286043284,231.809962279839,218.827622279753
"44",25,2,1,1,"Cancers","Black","Female","Missouri",1970,"West North Central","Midwest","MO",180.508310095939,189.363627219406,198.629753739201,189.432608073292
"45",25,2,1,1,"Cardiovascular","Black","Female","Missouri",1970,"West North Central","Midwest","MO",629.273734648795,657.806705224848,685.949056427982,657.825167598373
"46",25,2,1,1,"Communicable","Black","Female","Missouri",1970,"West North Central","Midwest","MO",46.0494046339325,51.7658369992681,58.3825638972747,51.9252001843285
"47",25,2,1,1,"Injuries","Black","Female","Missouri",1970,"West North Central","Midwest","MO",53.8934995115872,59.7401375524574,67.0461394906318,59.9492959448715
"48",25,2,1,1,"Non-communicable","Black","Female","Missouri",1970,"West North Central","Midwest","MO",85.8847726667767,92.3703387255148,99.4542088607291,92.3747998146159
"49",25,3,0,0,"All other causes","White","Male","Missouri",1971,"West North Central","Midwest","MO",169.139096974577,173.540151181428,178.24369461235,173.599365251125
"50",25,3,0,0,"Cancers","White","Male","Missouri",1971,"West North Central","Midwest","MO",238.745331103094,243.164693356584,248.030048749477,243.225717298664
"51",25,3,0,0,"Cardiovascular","White","Male","Missouri",1971,"West North Central","Midwest","MO",846.892410955084,859.51160771819,873.120379233045,859.565508304162
"52",25,3,0,0,"Communicable","White","Male","Missouri",1971,"West North Central","Midwest","MO",55.2228309647416,58.4622635061306,61.8928563889203,58.488591932622
"53",25,3,0,0,"Injuries","White","Male","Missouri",1971,"West North Central","Midwest","MO",114.852584886701,117.737655180648,120.638038910776,117.744396949835
"54",25,3,0,0,"Non-communicable","White","Male","Missouri",1971,"West North Central","Midwest","MO",93.5760402187205,96.4056267461711,99.1473199573512,96.3906751705435
"55",25,3,0,1,"All other causes","White","Female","Missouri",1971,"West North Central","Midwest","MO",104.853862125863,107.761213905629,110.609056194175,107.755727807086
"56",25,3,0,1,"Cancers","White","Female","Missouri",1971,"West North Central","Midwest","MO",153.089667524473,156.043656674986,158.820156557065,155.997247217617
"57",25,3,0,1,"Cardiovascular","White","Female","Missouri",1971,"West North Central","Midwest","MO",545.115696222029,552.858169097095,561.798647705585,553.001350167613
"58",25,3,0,1,"Communicable","White","Female","Missouri",1971,"West North Central","Midwest","MO",33.8968708404862,35.6700374381436,37.5495674863714,35.6932754147799
"59",25,3,0,1,"Injuries","White","Female","Missouri",1971,"West North Central","Midwest","MO",46.2324751450935,47.8118942298716,49.4587235484432,47.8147200094443
"60",25,3,0,1,"Non-communicable","White","Female","Missouri",1971,"West North Central","Midwest","MO",44.9126406468641,46.5476425793369,48.2147348822426,46.5769386892954
"61",25,3,1,0,"All other causes","Black","Male","Missouri",1971,"West North Central","Midwest","MO",298.291391366376,313.144411715267,329.493977430758,313.55282100567
"62",25,3,1,0,"Cancers","Black","Male","Missouri",1971,"West North Central","Midwest","MO",305.790227556662,320.751345366475,336.81738899103,320.959425233225
"63",25,3,1,0,"Cardiovascular","Black","Male","Missouri",1971,"West North Central","Midwest","MO",812.267272468607,839.779322468657,869.828112031384,840.034646367402
"64",25,3,1,0,"Communicable","Black","Male","Missouri",1971,"West North Central","Midwest","MO",83.8538065376753,93.8866421982659,104.162235103046,93.9092730073664
"65",25,3,1,0,"Injuries","Black","Male","Missouri",1971,"West North Central","Midwest","MO",224.32925571878,237.818427222803,251.263044649284,237.805235360318
"66",25,3,1,0,"Non-communicable","Black","Male","Missouri",1971,"West North Central","Midwest","MO",126.282224088646,135.128061644017,143.490296952045,135.082520890779
"67",25,3,1,1,"All other causes","Black","Female","Missouri",1971,"West North Central","Midwest","MO",194.65211617444,204.501306138391,215.518062388082,204.587671254244
"68",25,3,1,1,"Cancers","Black","Female","Missouri",1971,"West North Central","Midwest","MO",181.502537278461,190.215956135545,199.911688369285,190.409495004471
"69",25,3,1,1,"Cardiovascular","Black","Female","Missouri",1971,"West North Central","Midwest","MO",607.15122414595,631.855425014971,656.519529669707,631.853017211588
"70",25,3,1,1,"Communicable","Black","Female","Missouri",1971,"West North Central","Midwest","MO",43.7700657971865,49.1144404359181,55.6903891346342,49.3156756573321
"71",25,3,1,1,"Injuries","Black","Female","Missouri",1971,"West North Central","Midwest","MO",52.9794348592268,58.9051513273079,65.1861346951633,59.0100651797273
"72",25,3,1,1,"Non-communicable","Black","Female","Missouri",1971,"West North Central","Midwest","MO",84.3928379416315,90.604445356777,96.9504278615058,90.660843736167
"73",25,4,0,0,"All other causes","White","Male","Missouri",1972,"West North Central","Midwest","MO",163.853761229449,168.061014511239,172.740725724721,168.095044573337
"74",25,4,0,0,"Cancers","White","Male","Missouri",1972,"West North Central","Midwest","MO",242.588643712425,247.187334038424,252.037368903625,247.185424003094
"75",25,4,0,0,"Cardiovascular","White","Male","Missouri",1972,"West North Central","Midwest","MO",867.235524343308,880.985745238058,893.873234664436,880.896573865181
"76",25,4,0,0,"Communicable","White","Male","Missouri",1972,"West North Central","Midwest","MO",58.5834202069585,61.944146981912,65.551630715245,61.9658183566752
"77",25,4,0,0,"Injuries","White","Male","Missouri",1972,"West North Central","Midwest","MO",113.279134032408,116.301148911856,119.207393557757,116.282845731231
"78",25,4,0,0,"Non-communicable","White","Male","Missouri",1972,"West North Central","Midwest","MO",95.6081547013961,98.2373545044162,101.48016286224,98.309802212249
"79",25,4,0,1,"All other causes","White","Female","Missouri",1972,"West North Central","Midwest","MO",101.414388573907,104.139800793344,107.045501555576,104.164410075436
"80",25,4,0,1,"Cancers","White","Female","Missouri",1972,"West North Central","Midwest","MO",152.984098750778,155.90507899852,158.64820785264,155.876512181983
"81",25,4,0,1,"Cardiovascular","White","Female","Missouri",1972,"West North Central","Midwest","MO",540.334492701422,548.401182071928,556.915473900703,548.409594423158
"82",25,4,0,1,"Communicable","White","Female","Missouri",1972,"West North Central","Midwest","MO",33.5581373238339,35.2590451085468,37.0845806241085,35.2799749913919
"83",25,4,0,1,"Injuries","White","Female","Missouri",1972,"West North Central","Midwest","MO",44.9120448858434,46.5241769103452,48.026769643329,46.4983609519941
"84",25,4,0,1,"Non-communicable","White","Female","Missouri",1972,"West North Central","Midwest","MO",44.3387416562715,45.9537796330126,47.652497974167,45.9524293681533
"85",25,4,1,0,"All other causes","Black","Male","Missouri",1972,"West North Central","Midwest","MO",286.04749164015,300.885905709319,316.890137454058,301.151999374974
"86",25,4,1,0,"Cancers","Black","Male","Missouri",1972,"West North Central","Midwest","MO",316.477251902996,332.565285107596,349.822357729397,332.491538289204
"87",25,4,1,0,"Cardiovascular","Black","Male","Missouri",1972,"West North Central","Midwest","MO",814.727073160403,843.660601320287,874.015397753726,844.086028257069
"88",25,4,1,0,"Communicable","Black","Male","Missouri",1972,"West North Central","Midwest","MO",80.4521368926882,89.2600058949089,99.2149205663609,89.3659284397183
"89",25,4,1,0,"Injuries","Black","Male","Missouri",1972,"West North Central","Midwest","MO",219.690979336147,231.911945770094,244.656654696351,232.007105683961
"90",25,4,1,0,"Non-communicable","Black","Male","Missouri",1972,"West North Central","Midwest","MO",125.575757829527,133.596815255174,141.437860401732,133.478433141667
"91",25,4,1,1,"All other causes","Black","Female","Missouri",1972,"West North Central","Midwest","MO",183.144613609552,193.362405294755,203.418919429777,193.287152387724
"92",25,4,1,1,"Cancers","Black","Female","Missouri",1972,"West North Central","Midwest","MO",182.677763243561,190.715279328194,199.972730212662,190.910098664516
"93",25,4,1,1,"Cardiovascular","Black","Female","Missouri",1972,"West North Central","Midwest","MO",606.087040008145,630.802869069966,654.677759698778,630.398287752775
"94",25,4,1,1,"Communicable","Black","Female","Missouri",1972,"West North Central","Midwest","MO",43.028920007903,47.684734912189,53.4386933155855,47.8436543143848
"95",25,4,1,1,"Injuries","Black","Female","Missouri",1972,"West North Central","Midwest","MO",52.0140565199327,57.3801883262385,63.1624448807365,57.5434241622778
"96",25,4,1,1,"Non-communicable","Black","Female","Missouri",1972,"West North Central","Midwest","MO",83.3205344042039,88.9795127359961,95.2374761790382,88.9544786223358
"97",25,5,0,0,"All other causes","White","Male","Missouri",1973,"West North Central","Midwest","MO",162.105892547034,166.207979839034,170.724111016659,166.347250448494
"98",25,5,0,0,"Cancers","White","Male","Missouri",1973,"West North Central","Midwest","MO",242.744483960488,247.474776839929,252.249806447118,247.445296877521
"99",25,5,0,0,"Cardiovascular","White","Male","Missouri",1973,"West North Central","Midwest","MO",847.703068189827,861.08180057169,874.705620824407,861.113035006946
"100",25,5,0,0,"Communicable","White","Male","Missouri",1973,"West North Central","Midwest","MO",56.7867682976742,60.3289391369576,63.6521328432043,60.2991433258482
"101",25,5,0,0,"Injuries","White","Male","Missouri",1973,"West North Central","Midwest","MO",112.417756309303,115.262028870645,118.168220120309,115.271962285654
"102",25,5,0,0,"Non-communicable","White","Male","Missouri",1973,"West North Central","Midwest","MO",96.8807345935932,99.8560786486415,102.788233769923,99.8494909685603
"103",25,5,0,1,"All other causes","White","Female","Missouri",1973,"West North Central","Midwest","MO",98.8773683877147,101.594943721821,104.321977438098,101.619373858024
