"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",30,1,0,0,"All other causes","White","Male","New Jersey",1969,"Mid-Atlantic","Northeast","NJ",113.358083371564,117.345912061572,120.970306909224,117.284086024476
"2",30,1,0,0,"Cancers","White","Male","New Jersey",1969,"Mid-Atlantic","Northeast","NJ",265.997087813028,271.254514178523,277.408436804789,271.356861899819
"3",30,1,0,0,"Cardiovascular","White","Male","New Jersey",1969,"Mid-Atlantic","Northeast","NJ",921.599827968809,935.469958529361,950.645538895531,935.633784784432
"4",30,1,0,0,"Communicable","White","Male","New Jersey",1969,"Mid-Atlantic","Northeast","NJ",56.6119746709761,59.8527815260609,63.2724873085005,59.928422520845
"5",30,1,0,0,"Injuries","White","Male","New Jersey",1969,"Mid-Atlantic","Northeast","NJ",75.6889773585072,78.6013273444666,81.449019850682,78.6355924312421
"6",30,1,0,0,"Non-communicable","White","Male","New Jersey",1969,"Mid-Atlantic","Northeast","NJ",97.3495953498795,100.779872860415,104.137192500083,100.809848324262
"7",30,1,0,1,"All other causes","White","Female","New Jersey",1969,"Mid-Atlantic","Northeast","NJ",80.1487714865501,82.3580894789022,84.7878262850947,82.3652987136107
"8",30,1,0,1,"Cancers","White","Female","New Jersey",1969,"Mid-Atlantic","Northeast","NJ",175.482632485517,178.97770547611,182.729311502727,179.060057029228
"9",30,1,0,1,"Cardiovascular","White","Female","New Jersey",1969,"Mid-Atlantic","Northeast","NJ",626.067758730346,635.817547146887,646.187698532562,635.968972110157
"10",30,1,0,1,"Communicable","White","Female","New Jersey",1969,"Mid-Atlantic","Northeast","NJ",33.9857124883269,36.1092947559151,38.3466134305801,36.1628178201398
"11",30,1,0,1,"Injuries","White","Female","New Jersey",1969,"Mid-Atlantic","Northeast","NJ",35.0275415728974,36.7357257689042,38.5769996641173,36.7207540479689
"12",30,1,0,1,"Non-communicable","White","Female","New Jersey",1969,"Mid-Atlantic","Northeast","NJ",52.159274838401,54.1930950276577,56.2384591818485,54.2083426164606
