"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",33,1,0,0,"All other causes","White","Male","North Carolina",1969,"South Atlantic","South","NC",152.425285863527,158.126533096906,163.487469215753,158.088405702456
"2",33,1,0,0,"Cancers","White","Male","North Carolina",1969,"South Atlantic","South","NC",212.343022271328,219.08531103731,225.541546213479,219.105731287363
"3",33,1,0,0,"Cardiovascular","White","Male","North Carolina",1969,"South Atlantic","South","NC",943.345779571671,962.581030138771,981.083655791149,962.437842543996
"4",33,1,0,0,"Communicable","White","Male","North Carolina",1969,"South Atlantic","South","NC",71.6972972948806,77.2804217440262,82.7083688785283,77.2396366698059
"5",33,1,0,0,"Injuries","White","Male","North Carolina",1969,"South Atlantic","South","NC",133.115532425998,137.204666091527,141.490802604196,137.185181471536
"6",33,1,0,0,"Non-communicable","White","Male","North Carolina",1969,"South Atlantic","South","NC",91.8356624200286,95.6957587458613,99.49438363424,95.6766147209208
"7",33,1,0,1,"All other causes","White","Female","North Carolina",1969,"South Atlantic","South","NC",100.016758524469,103.839671985313,107.964530070362,103.895887382914
"8",33,1,0,1,"Cancers","White","Female","North Carolina",1969,"South Atlantic","South","NC",131.141655510677,134.982186062776,138.584909344518,134.972331521523
"9",33,1,0,1,"Cardiovascular","White","Female","North Carolina",1969,"South Atlantic","South","NC",576.401794516805,588.832816481872,601.865505245906,588.804956398803
"10",33,1,0,1,"Communicable","White","Female","North Carolina",1969,"South Atlantic","South","NC",42.4641060199199,45.3385070173715,48.4609312907891,45.4085337652456
"11",33,1,0,1,"Injuries","White","Female","North Carolina",1969,"South Atlantic","South","NC",45.7705037000983,47.7680850477656,50.1571444189247,47.8296332648071
"12",33,1,0,1,"Non-communicable","White","Female","North Carolina",1969,"South Atlantic","South","NC",42.6333397607827,44.9613767316834,47.4348822599003,44.9746681052417
"13",33,1,1,0,"All other causes","Black","Male","North Carolina",1969,"South Atlantic","South","NC",259.01853575914,270.711103652962,283.140784563659,270.731369148861
"14",33,1,1,0,"Cancers","Black","Male","North Carolina",1969,"South Atlantic","South","NC",239.750184335268,252.606968037941,264.36061673503,252.728880946917
"15",33,1,1,0,"Cardiovascular","Black","Male","North Carolina",1969,"South Atlantic","South","NC",1013.0539674773,1044.47872489304,1080.78000667268,1045.09365758454
"16",33,1,1,0,"Communicable","Black","Male","North Carolina",1969,"South Atlantic","South","NC",104.323442980928,113.429099829659,123.09613486401,113.492995568924
"17",33,1,1,0,"Injuries","Black","Male","North Carolina",1969,"South Atlantic","South","NC",236.642520308131,248.043989118868,259.993207638555,248.193812118753
"18",33,1,1,0,"Non-communicable","Black","Male","North Carolina",1969,"South Atlantic","South","NC",107.918611932356,115.518561758497,124.16726166581,115.793250986674
"19",33,1,1,1,"All other causes","Black","Female","North Carolina",1969,"South Atlantic","South","NC",178.130274885363,187.759350429641,197.008383807529,187.562659854068
"20",33,1,1,1,"Cancers","Black","Female","North Carolina",1969,"South Atlantic","South","NC",152.428655128443,158.931307676489,165.921204773006,158.984270785831
"21",33,1,1,1,"Cardiovascular","Black","Female","North Carolina",1969,"South Atlantic","South","NC",707.035592597448,730.573436927567,758.442290210736,730.860721315875
"22",33,1,1,1,"Communicable","Black","Female","North Carolina",1969,"South Atlantic","South","NC",56.3076630707835,61.5700507341747,67.3433508341162,61.6434837640548
"23",33,1,1,1,"Injuries","Black","Female","North Carolina",1969,"South Atlantic","South","NC",60.1359193249569,64.3023813812467,68.9119188921164,64.2385179339838
"24",33,1,1,1,"Non-communicable","Black","Female","North Carolina",1969,"South Atlantic","South","NC",85.1674187738857,91.0874112370583,97.2596234708284,91.0689483952512
"25",33,2,0,0,"All other causes","White","Male","North Carolina",1970,"South Atlantic","South","NC",148.956531250079,153.383534530155,158.406229899726,153.398532430005
"26",33,2,0,0,"Cancers","White","Male","North Carolina",1970,"South Atlantic","South","NC",215.05611251185,220.823234100108,226.468947384827,220.842052486363
"27",33,2,0,0,"Cardiovascular","White","Male","North Carolina",1970,"South Atlantic","South","NC",915.560594983886,933.539728426567,950.385671796917,933.259017059428
"28",33,2,0,0,"Communicable","White","Male","North Carolina",1970,"South Atlantic","South","NC",68.3554549777173,72.7844594104442,77.7724377659511,72.8712120213582
"29",33,2,0,0,"Injuries","White","Male","North Carolina",1970,"South Atlantic","South","NC",132.43972358252,136.217703740187,139.67600866242,136.141818100928
"30",33,2,0,0,"Non-communicable","White","Male","North Carolina",1970,"South Atlantic","South","NC",94.6244613648388,97.7410515178111,101.171092035071,97.7733851966526
"31",33,2,0,1,"All other causes","White","Female","North Carolina",1970,"South Atlantic","South","NC",99.2720740184921,102.211363785899,105.650365050508,102.265270243533
"32",33,2,0,1,"Cancers","White","Female","North Carolina",1970,"South Atlantic","South","NC",132.649450863236,135.735260202033,138.877727084194,135.719267339371
"33",33,2,0,1,"Cardiovascular","White","Female","North Carolina",1970,"South Atlantic","South","NC",550.468421860879,561.746624200438,572.672379294687,561.697287415696
"34",33,2,0,1,"Communicable","White","Female","North Carolina",1970,"South Atlantic","South","NC",40.6145414400951,43.1512197226232,45.8873620139221,43.1630594674334
"35",33,2,0,1,"Injuries","White","Female","North Carolina",1970,"South Atlantic","South","NC",45.5650319308097,47.4076124518686,49.1632784566675,47.4014228253887
"36",33,2,0,1,"Non-communicable","White","Female","North Carolina",1970,"South Atlantic","South","NC",42.1085397984058,44.1415518204264,46.3497958455469,44.1451426145119
"37",33,2,1,0,"All other causes","Black","Male","North Carolina",1970,"South Atlantic","South","NC",256.880020817236,268.000916075494,278.193982797304,267.816083630703
"38",33,2,1,0,"Cancers","Black","Male","North Carolina",1970,"South Atlantic","South","NC",245.631762527909,256.679377662849,267.521796450298,256.565519712738
"39",33,2,1,0,"Cardiovascular","Black","Male","North Carolina",1970,"South Atlantic","South","NC",997.082108481952,1024.66242171154,1053.61998047739,1025.0590077791
"40",33,2,1,0,"Communicable","Black","Male","North Carolina",1970,"South Atlantic","South","NC",99.5858139946044,107.43218162691,115.831451696921,107.407555577624
"41",33,2,1,0,"Injuries","Black","Male","North Carolina",1970,"South Atlantic","South","NC",238.468762666051,248.08742072212,258.36908225081,248.141517762596
"42",33,2,1,0,"Non-communicable","Black","Male","North Carolina",1970,"South Atlantic","South","NC",107.835772152923,114.632019351405,122.046750942809,114.750703543675
"43",33,2,1,1,"All other causes","Black","Female","North Carolina",1970,"South Atlantic","South","NC",172.75681511738,180.348940345438,187.840648295923,180.202205518516
"44",33,2,1,1,"Cancers","Black","Female","North Carolina",1970,"South Atlantic","South","NC",153.289683243588,159.014210232401,165.66431972011,159.127734330756
"45",33,2,1,1,"Cardiovascular","Black","Female","North Carolina",1970,"South Atlantic","South","NC",691.262144509401,713.700162473332,736.526994428183,713.74935716252
"46",33,2,1,1,"Communicable","Black","Female","North Carolina",1970,"South Atlantic","South","NC",52.4941611898363,56.6396769923165,61.3914088873186,56.7581812717319
"47",33,2,1,1,"Injuries","Black","Female","North Carolina",1970,"South Atlantic","South","NC",59.8631058405859,63.4008657949972,67.3963149089709,63.5132584538479
"48",33,2,1,1,"Non-communicable","Black","Female","North Carolina",1970,"South Atlantic","South","NC",84.9000628403998,90.3398526750566,95.6948405550237,90.3516583689048
"49",33,3,0,0,"All other causes","White","Male","North Carolina",1971,"South Atlantic","South","NC",142.745169171151,147.262560012266,151.96724553072,147.220943970769
"50",33,3,0,0,"Cancers","White","Male","North Carolina",1971,"South Atlantic","South","NC",216.838566748889,222.363226153355,227.772929658576,222.37244844318
"51",33,3,0,0,"Cardiovascular","White","Male","North Carolina",1971,"South Atlantic","South","NC",910.258985937628,927.728434744552,944.655577323893,927.793261832666
