"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",35,1,0,0,"All other causes","White","Male","Ohio",1969,"East North Central","Midwest","OH",130.336718237796,133.834569922137,137.415357358069,133.804223896133
"2",35,1,0,0,"Cancers","White","Male","Ohio",1969,"East North Central","Midwest","OH",252.08049855873,257.144575853489,262.102703982469,257.104975824649
"3",35,1,0,0,"Cardiovascular","White","Male","Ohio",1969,"East North Central","Midwest","OH",941.217338629757,952.608905697744,965.380788207446,952.613709416104
"4",35,1,0,0,"Communicable","White","Male","Ohio",1969,"East North Central","Midwest","OH",60.3847439587095,63.2971395492983,66.4142418882392,63.3291633293792
"5",35,1,0,0,"Injuries","White","Male","Ohio",1969,"East North Central","Midwest","OH",108.648585032682,111.352876736146,114.309834378242,111.372557431058
"6",35,1,0,0,"Non-communicable","White","Male","Ohio",1969,"East North Central","Midwest","OH",104.756336391473,107.414092329561,110.298356560358,107.46922015589
"7",35,1,0,1,"All other causes","White","Female","Ohio",1969,"East North Central","Midwest","OH",91.5006431149086,93.8014722615388,96.1132886729277,93.784285914726
"8",35,1,0,1,"Cancers","White","Female","Ohio",1969,"East North Central","Midwest","OH",165.34146134939,168.293124946266,171.204129920803,168.304433741249
"9",35,1,0,1,"Cardiovascular","White","Female","Ohio",1969,"East North Central","Midwest","OH",615.949016710495,623.228880853566,631.097600626992,623.268764525673
"10",35,1,0,1,"Communicable","White","Female","Ohio",1969,"East North Central","Midwest","OH",36.8058051533312,38.5152840900325,40.2411076714182,38.5277822310698
"11",35,1,0,1,"Injuries","White","Female","Ohio",1969,"East North Central","Midwest","OH",48.1485292645928,49.9794232948475,51.7647810283801,50.0049825644169
"12",35,1,0,1,"Non-communicable","White","Female","Ohio",1969,"East North Central","Midwest","OH",55.6579000275202,57.3855043419801,59.1728310988708,57.3855939122692
"13",35,1,1,0,"All other causes","Black","Male","Ohio",1969,"East North Central","Midwest","OH",218.354711193464,229.043121838673,240.755292845181,229.188841106686
"14",35,1,1,0,"Cancers","Black","Male","Ohio",1969,"East North Central","Midwest","OH",323.641558390804,339.196705133806,356.199404527949,339.45380033066
"15",35,1,1,0,"Cardiovascular","Black","Male","Ohio",1969,"East North Central","Midwest","OH",843.895117800605,873.614621532138,906.181495976737,874.049402828076
"16",35,1,1,0,"Communicable","Black","Male","Ohio",1969,"East North Central","Midwest","OH",92.9541657948639,103.513058361726,114.978887179825,103.554254206013
