"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",36,1,0,0,"All other causes","White","Male","Oklahoma",1969,"West South Central","South","OK",152.504386641427,158.314950379427,164.586246016091,158.264772779998
"2",36,1,0,0,"Cancers","White","Male","Oklahoma",1969,"West South Central","South","OK",227.234884912858,233.620222350416,239.923644063586,233.652441764166
"3",36,1,0,0,"Cardiovascular","White","Male","Oklahoma",1969,"West South Central","South","OK",860.537345607027,877.700633092774,896.016613722719,878.152804170108
"4",36,1,0,0,"Communicable","White","Male","Oklahoma",1969,"West South Central","South","OK",55.0613622060998,59.4506552803454,64.4642174641487,59.5264910570438
"5",36,1,0,0,"Injuries","White","Male","Oklahoma",1969,"West South Central","South","OK",121.320862602968,125.641546097784,130.489816242272,125.735170570902
"6",36,1,0,0,"Non-communicable","White","Male","Oklahoma",1969,"West South Central","South","OK",96.583905749074,100.641662172764,105.247166520435,100.736875041471
"7",36,1,0,1,"All other causes","White","Female","Oklahoma",1969,"West South Central","South","OK",102.3164223404,106.918999900015,111.8055068199,107.013926172063
"8",36,1,0,1,"Cancers","White","Female","Oklahoma",1969,"West South Central","South","OK",145.967222187253,150.021095031759,154.367067731399,150.056243634641
"9",36,1,0,1,"Cardiovascular","White","Female","Oklahoma",1969,"West South Central","South","OK",519.014914338442,531.195652441191,543.774955580147,531.367456837558
"10",36,1,0,1,"Communicable","White","Female","Oklahoma",1969,"West South Central","South","OK",34.4826028010132,37.1510539430002,40.0156449004583,37.1689489980562
"11",36,1,0,1,"Injuries","White","Female","Oklahoma",1969,"West South Central","South","OK",46.3991818585964,48.9870858546085,51.5794966198165,48.9605321782401
"12",36,1,0,1,"Non-communicable","White","Female","Oklahoma",1969,"West South Central","South","OK",44.033817956447,46.3241898328736,48.9769846931859,46.3532441595393
"13",36,1,1,0,"All other causes","Black","Male","Oklahoma",1969,"West South Central","South","OK",209.913577202257,230.341265500158,255.916332990924,230.737044041001
"14",36,1,1,0,"Cancers","Black","Male","Oklahoma",1969,"West South Central","South","OK",259.325821464642,279.770064768696,301.563950309808,279.801738218334
"15",36,1,1,0,"Cardiovascular","Black","Male","Oklahoma",1969,"West South Central","South","OK",793.825980735629,846.363923563693,891.588936539877,845.788245063474
"16",36,1,1,0,"Communicable","Black","Male","Oklahoma",1969,"West South Central","South","OK",61.7872578979627,77.585148921381,97.0254312755444,77.982050349127
"17",36,1,1,0,"Injuries","Black","Male","Oklahoma",1969,"West South Central","South","OK",194.773899016416,217.654543823999,245.853385876801,218.243496101239
"18",36,1,1,0,"Non-communicable","Black","Male","Oklahoma",1969,"West South Central","South","OK",104.584992959125,120.165955269318,140.441593628466,120.845911029079
"19",36,1,1,1,"All other causes","Black","Female","Oklahoma",1969,"West South Central","South","OK",128.875016884218,141.35155076598,155.811696418826,141.616143023401
"20",36,1,1,1,"Cancers","Black","Female","Oklahoma",1969,"West South Central","South","OK",160.031580577482,171.232858149087,182.734698212031,171.31247964737
