"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",42,1,0,0,"All other causes","White","Male","Tennessee",1969,"East South Central","South","TN",135.512662890951,140.367589901119,145.624760690757,140.436444349816
"2",42,1,0,0,"Cancers","White","Male","Tennessee",1969,"East South Central","South","TN",217.116820608541,223.369417742021,229.31196788876,223.368071796535
"3",42,1,0,0,"Cardiovascular","White","Male","Tennessee",1969,"East South Central","South","TN",928.05748539848,947.590547459295,966.38982651058,947.680863115799
"4",42,1,0,0,"Communicable","White","Male","Tennessee",1969,"East South Central","South","TN",70.2680177486733,75.1169541162956,80.4882158058833,75.2784686173301
"5",42,1,0,0,"Injuries","White","Male","Tennessee",1969,"East South Central","South","TN",134.190983911979,138.824467141115,143.008255968952,138.749989794043
"6",42,1,0,0,"Non-communicable","White","Male","Tennessee",1969,"East South Central","South","TN",86.7610948139975,90.4851264053445,94.5250693395676,90.4738943205864
"7",42,1,0,1,"All other causes","White","Female","Tennessee",1969,"East South Central","South","TN",93.6474254942104,97.4019283887859,101.383602149035,97.4356987873969
"8",42,1,0,1,"Cancers","White","Female","Tennessee",1969,"East South Central","South","TN",139.848542950045,143.850927865146,148.01638607947,143.909065390171
"9",42,1,0,1,"Cardiovascular","White","Female","Tennessee",1969,"East South Central","South","TN",590.083393462945,601.882060025103,614.010438392712,601.94601592043
"10",42,1,0,1,"Communicable","White","Female","Tennessee",1969,"East South Central","South","TN",42.7337134658411,45.7030735613223,48.8227009214576,45.7253556912303
"11",42,1,0,1,"Injuries","White","Female","Tennessee",1969,"East South Central","South","TN",46.108298316921,48.1759798137129,50.455083264557,48.1953572320351
"12",42,1,0,1,"Non-communicable","White","Female","Tennessee",1969,"East South Central","South","TN",37.9105747639139,40.1221234097904,42.142744387679,40.0800620363805
"13",42,1,1,0,"All other causes","Black","Male","Tennessee",1969,"East South Central","South","TN",197.223885047639,208.416146685436,219.742829552255,208.518778818693
"14",42,1,1,0,"Cancers","Black","Male","Tennessee",1969,"East South Central","South","TN",270.415837469293,285.60609983482,300.249110318605,285.565112203047
