"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",43,1,0,0,"All other causes","White","Male","Texas",1969,"West South Central","South","TX",155.921208725899,160.081456526919,164.205635701888,160.128602543978
"2",43,1,0,0,"Cancers","White","Male","Texas",1969,"West South Central","South","TX",230.365346434291,234.832857134119,239.394914569766,234.797882694886
"3",43,1,0,0,"Cardiovascular","White","Male","Texas",1969,"West South Central","South","TX",825.607103760025,836.96503765894,848.417617352171,836.824758251236
"4",43,1,0,0,"Communicable","White","Male","Texas",1969,"West South Central","South","TX",73.4608859165249,76.832150148569,80.6101907911067,76.8624594069109
"5",43,1,0,0,"Injuries","White","Male","Texas",1969,"West South Central","South","TX",132.077633575741,135.100933369476,138.188207213028,135.08037340295
"6",43,1,0,0,"Non-communicable","White","Male","Texas",1969,"West South Central","South","TX",98.6054225200298,101.65797429268,104.794439420828,101.695745721278
"7",43,1,0,1,"All other causes","White","Female","Texas",1969,"West South Central","South","TX",107.865143722765,110.46881360906,113.243224421512,110.508802874228
"8",43,1,0,1,"Cancers","White","Female","Texas",1969,"West South Central","South","TX",143.621638026059,146.547310389827,149.393235589203,146.552353066001
"9",43,1,0,1,"Cardiovascular","White","Female","Texas",1969,"West South Central","South","TX",516.843992483669,523.794205615665,531.142293183906,523.826004453953
"10",43,1,0,1,"Communicable","White","Female","Texas",1969,"West South Central","South","TX",45.4358026498484,47.4685815747704,49.6811779726898,47.4623449821768
"11",43,1,0,1,"Injuries","White","Female","Texas",1969,"West South Central","South","TX",51.5455030745104,53.2477422125649,54.9138187480536,53.2223496982065
"12",43,1,0,1,"Non-communicable","White","Female","Texas",1969,"West South Central","South","TX",48.5322836264463,50.2614277724924,51.9363753980884,50.2682475910523
"13",43,1,1,0,"All other causes","Black","Male","Texas",1969,"West South Central","South","TX",223.607674246312,232.569877017033,242.109463141775,232.737307710067
"14",43,1,1,0,"Cancers","Black","Male","Texas",1969,"West South Central","South","TX",257.690510302821,268.101563389483,279.484911552625,268.256712392122
"15",43,1,1,0,"Cardiovascular","Black","Male","Texas",1969,"West South Central","South","TX",796.794830131932,819.194190572687,841.947405934573,819.097276211194
"16",43,1,1,0,"Communicable","Black","Male","Texas",1969,"West South Central","South","TX",92.9201449586806,99.744047388206,108.517153682864,100.000831458911
"17",43,1,1,0,"Injuries","Black","Male","Texas",1969,"West South Central","South","TX",230.971413483829,241.81220094309,252.887145266055,241.87352674844
"18",43,1,1,0,"Non-communicable","Black","Male","Texas",1969,"West South Central","South","TX",95.3260138600527,101.061743008093,107.374514332129,101.276110105475
"19",43,1,1,1,"All other causes","Black","Female","Texas",1969,"West South Central","South","TX",160.068563437715,166.859670306577,173.922763455401,166.925651426891
"20",43,1,1,1,"Cancers","Black","Female","Texas",1969,"West South Central","South","TX",159.540434602099,166.154354603335,173.138874644533,166.236847383923
"21",43,1,1,1,"Cardiovascular","Black","Female","Texas",1969,"West South Central","South","TX",619.330279223568,639.106406331363,658.641456192519,638.832738854654
"22",43,1,1,1,"Communicable","Black","Female","Texas",1969,"West South Central","South","TX",47.6443736799034,51.7860141918896,56.2176863959029,51.8294924626234
"23",43,1,1,1,"Injuries","Black","Female","Texas",1969,"West South Central","South","TX",58.7715004884908,62.5710480414981,66.7607828419764,62.6194191061927
"24",43,1,1,1,"Non-communicable","Black","Female","Texas",1969,"West South Central","South","TX",73.2144081472236,78.0883080090795,83.3274023227093,78.0905176677425
"25",43,2,0,0,"All other causes","White","Male","Texas",1970,"West South Central","South","TX",153.039746247232,156.828029477795,160.43530410496,156.809858979679
"26",43,2,0,0,"Cancers","White","Male","Texas",1970,"West South Central","South","TX",231.358024338211,235.311195945849,239.211584218112,235.306529498941
"27",43,2,0,0,"Cardiovascular","White","Male","Texas",1970,"West South Central","South","TX",798.640158194339,808.660316863541,818.592621097612,808.81051704538
"28",43,2,0,0,"Communicable","White","Male","Texas",1970,"West South Central","South","TX",66.337946398685,69.2224180957028,72.3098793688042,69.2458434829963
"29",43,2,0,0,"Injuries","White","Male","Texas",1970,"West South Central","South","TX",131.272810972638,133.859028884314,136.492555442099,133.843339161557
"30",43,2,0,0,"Non-communicable","White","Male","Texas",1970,"West South Central","South","TX",99.509060193576,102.118674508892,104.810715646986,102.188216598808
"31",43,2,0,1,"All other causes","White","Female","Texas",1970,"West South Central","South","TX",107.374343837686,109.644377171969,112.118248653243,109.688109990516
"32",43,2,0,1,"Cancers","White","Female","Texas",1970,"West South Central","South","TX",144.062163001897,146.56731592079,149.089764262618,146.577477081187
"33",43,2,0,1,"Cardiovascular","White","Female","Texas",1970,"West South Central","South","TX",495.106880346878,502.424065034998,509.323950262046,502.314077398501
"34",43,2,0,1,"Communicable","White","Female","Texas",1970,"West South Central","South","TX",42.3300561429302,44.105359482769,45.8628107174109,44.1129054103214
"35",43,2,0,1,"Injuries","White","Female","Texas",1970,"West South Central","South","TX",51.448515766112,52.7803001792207,54.2406433293662,52.8078457610152
"36",43,2,0,1,"Non-communicable","White","Female","Texas",1970,"West South Central","South","TX",48.4551331113287,49.927988357019,51.3810273851778,49.9327713736142
"37",43,2,1,0,"All other causes","Black","Male","Texas",1970,"West South Central","South","TX",223.611554686061,231.468298115121,240.096462052473,231.501168915717
"38",43,2,1,0,"Cancers","Black","Male","Texas",1970,"West South Central","South","TX",261.384375237142,270.857699923612,280.446332299794,270.904914664198
"39",43,2,1,0,"Cardiovascular","Black","Male","Texas",1970,"West South Central","South","TX",786.555481989905,806.135064153227,826.071668489122,805.967274761949
"40",43,2,1,0,"Communicable","Black","Male","Texas",1970,"West South Central","South","TX",84.3685722721323,90.385306052004,97.3585615996172,90.5077256058377
"41",43,2,1,0,"Injuries","Black","Male","Texas",1970,"West South Central","South","TX",227.0241839546,235.879896493342,245.225638693892,235.925116484948
"42",43,2,1,0,"Non-communicable","Black","Male","Texas",1970,"West South Central","South","TX",95.1253185530644,100.120893538869,105.748476625316,100.209750798602
"43",43,2,1,1,"All other causes","Black","Female","Texas",1970,"West South Central","South","TX",158.409218760755,165.013091387646,172.000025699446,165.09920051451
"44",43,2,1,1,"Cancers","Black","Female","Texas",1970,"West South Central","South","TX",160.933650886113,166.555736346203,172.754824231551,166.641351100652
"45",43,2,1,1,"Cardiovascular","Black","Female","Texas",1970,"West South Central","South","TX",597.601439192784,614.322707013633,629.394150492537,614.09535943247
"46",43,2,1,1,"Communicable","Black","Female","Texas",1970,"West South Central","South","TX",44.4496052060367,48.0533478964362,51.6651120660942,48.0701372686537
