"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",46,1,0,0,"All other causes","White","Male","Virginia",1969,"South Atlantic","South","VA",142.212804195801,147.625162761884,153.152048491884,147.621120397061
"2",46,1,0,0,"Cancers","White","Male","Virginia",1969,"South Atlantic","South","VA",226.199092639584,232.840246586564,239.910194310225,232.880577588965
"3",46,1,0,0,"Cardiovascular","White","Male","Virginia",1969,"South Atlantic","South","VA",907.638238496966,926.586017953229,945.467555233396,926.594690686346
"4",46,1,0,0,"Communicable","White","Male","Virginia",1969,"South Atlantic","South","VA",73.6312894813145,79.1619812316152,85.5538438092611,79.2902905885113
"5",46,1,0,0,"Injuries","White","Male","Virginia",1969,"South Atlantic","South","VA",119.344507030169,123.517069295575,127.769098931916,123.502865035762
"6",46,1,0,0,"Non-communicable","White","Male","Virginia",1969,"South Atlantic","South","VA",92.5421224639409,96.6799465777724,100.904659020224,96.7063679205707
"7",46,1,0,1,"All other causes","White","Female","Virginia",1969,"South Atlantic","South","VA",96.896239900352,100.615578660262,104.639420721426,100.661689540382
"8",46,1,0,1,"Cancers","White","Female","Virginia",1969,"South Atlantic","South","VA",145.810492906613,149.64133996725,153.696875218623,149.667187930492
"9",46,1,0,1,"Cardiovascular","White","Female","Virginia",1969,"South Atlantic","South","VA",552.891885418065,565.215709670255,577.903750347115,565.251005572806
"10",46,1,0,1,"Communicable","White","Female","Virginia",1969,"South Atlantic","South","VA",40.9534443047875,43.8144316809778,46.8182419763139,43.8313180467016
"11",46,1,0,1,"Injuries","White","Female","Virginia",1969,"South Atlantic","South","VA",48.3312946853486,50.5595731257106,53.3086062838567,50.5739729606963
"12",46,1,0,1,"Non-communicable","White","Female","Virginia",1969,"South Atlantic","South","VA",42.2454977146875,44.5408033102583,46.9633123574084,44.5606653682144
"13",46,1,1,0,"All other causes","Black","Male","Virginia",1969,"South Atlantic","South","VA",239.117653870223,250.748430599221,263.03541746995,250.876578167184
"14",46,1,1,0,"Cancers","Black","Male","Virginia",1969,"South Atlantic","South","VA",302.391452047595,317.103996539944,332.407276513396,317.31046786624
"15",46,1,1,0,"Cardiovascular","Black","Male","Virginia",1969,"South Atlantic","South","VA",973.701231058397,1007.32336158903,1042.071128023,1007.03736491437
"16",46,1,1,0,"Communicable","Black","Male","Virginia",1969,"South Atlantic","South","VA",116.636623038408,128.557420170253,140.20792761634,128.559782077966
"17",46,1,1,0,"Injuries","Black","Male","Virginia",1969,"South Atlantic","South","VA",202.828190400829,212.895294476996,223.996934712785,213.158864776874
"18",46,1,1,0,"Non-communicable","Black","Male","Virginia",1969,"South Atlantic","South","VA",101.176230030382,108.141995465435,116.162695249318,108.241455002112
"19",46,1,1,1,"All other causes","Black","Female","Virginia",1969,"South Atlantic","South","VA",158.352747929554,167.269776721004,176.015096929959,167.11133050763
"20",46,1,1,1,"Cancers","Black","Female","Virginia",1969,"South Atlantic","South","VA",170.918950980341,178.839938422481,187.521116423928,179.016503715891
"21",46,1,1,1,"Cardiovascular","Black","Female","Virginia",1969,"South Atlantic","South","VA",718.08945896285,745.41752818279,773.184326103757,745.480153001213
"22",46,1,1,1,"Communicable","Black","Female","Virginia",1969,"South Atlantic","South","VA",55.6378299908633,61.6121579399498,67.8239228530069,61.6754595533058
"23",46,1,1,1,"Injuries","Black","Female","Virginia",1969,"South Atlantic","South","VA",56.6000854975015,61.3412913641154,66.6537456002038,61.3955216674296
"24",46,1,1,1,"Non-communicable","Black","Female","Virginia",1969,"South Atlantic","South","VA",78.580916316099,84.267210381064,90.9100076151112,84.4323176202238
"25",46,2,0,0,"All other causes","White","Male","Virginia",1970,"South Atlantic","South","VA",141.808977411058,146.553873142987,151.323753712712,146.566920710102
"26",46,2,0,0,"Cancers","White","Male","Virginia",1970,"South Atlantic","South","VA",230.738040054464,236.439170748416,242.786500927416,236.552226411463
"27",46,2,0,0,"Cardiovascular","White","Male","Virginia",1970,"South Atlantic","South","VA",884.810932387797,902.669605675464,923.067748581048,903.136247844222
"28",46,2,0,0,"Communicable","White","Male","Virginia",1970,"South Atlantic","South","VA",68.1488165232569,72.3731495193008,77.8825806662575,72.4291848837153
"29",46,2,0,0,"Injuries","White","Male","Virginia",1970,"South Atlantic","South","VA",117.522749058232,121.338829303791,125.155122427145,121.334213596074
"30",46,2,0,0,"Non-communicable","White","Male","Virginia",1970,"South Atlantic","South","VA",93.536867314091,97.3478911548486,101.088294282801,97.2749822337915
"31",46,2,0,1,"All other causes","White","Female","Virginia",1970,"South Atlantic","South","VA",94.9567056550635,98.0155737612876,101.304515385955,98.1152793334884
"32",46,2,0,1,"Cancers","White","Female","Virginia",1970,"South Atlantic","South","VA",146.659972544492,150.533959368925,153.852623640338,150.440894830155
"33",46,2,0,1,"Cardiovascular","White","Female","Virginia",1970,"South Atlantic","South","VA",544.202846432373,555.956865933528,566.688766523731,555.815554224403
"34",46,2,0,1,"Communicable","White","Female","Virginia",1970,"South Atlantic","South","VA",38.802631086476,41.2760009437602,43.5618433500541,41.2489799142807
"35",46,2,0,1,"Injuries","White","Female","Virginia",1970,"South Atlantic","South","VA",47.0964566413337,49.11255692233,51.2384925288236,49.1315247049145
"36",46,2,0,1,"Non-communicable","White","Female","Virginia",1970,"South Atlantic","South","VA",42.1464173348696,44.0904083063853,46.2301641856089,44.1526691147663
"37",46,2,1,0,"All other causes","Black","Male","Virginia",1970,"South Atlantic","South","VA",238.822110700767,248.265478240421,259.358253573279,248.548303888997
"38",46,2,1,0,"Cancers","Black","Male","Virginia",1970,"South Atlantic","South","VA",304.577728526247,317.426099162313,330.874734854899,317.74601150871
"39",46,2,1,0,"Cardiovascular","Black","Male","Virginia",1970,"South Atlantic","South","VA",932.513135031134,962.194405143794,992.319064971968,962.301071387716
"40",46,2,1,0,"Communicable","Black","Male","Virginia",1970,"South Atlantic","South","VA",112.863175713049,122.758261286049,132.672065177018,122.784648871372
"41",46,2,1,0,"Injuries","Black","Male","Virginia",1970,"South Atlantic","South","VA",204.651589829829,213.577257431868,223.573830171808,213.703846465553
"42",46,2,1,0,"Non-communicable","Black","Male","Virginia",1970,"South Atlantic","South","VA",101.891657754284,108.092932583153,115.216626226841,108.23155785982
"43",46,2,1,1,"All other causes","Black","Female","Virginia",1970,"South Atlantic","South","VA",158.622615975094,166.231439860172,174.010557069381,166.25596277703
"44",46,2,1,1,"Cancers","Black","Female","Virginia",1970,"South Atlantic","South","VA",169.703980856467,176.803335452317,184.028932387541,176.847299107756
"45",46,2,1,1,"Cardiovascular","Black","Female","Virginia",1970,"South Atlantic","South","VA",706.762535893388,730.683877106692,756.510201601641,730.55462009398
"46",46,2,1,1,"Communicable","Black","Female","Virginia",1970,"South Atlantic","South","VA",53.7022333584112,58.7213315401354,64.1019783537121,58.7439001243196
"47",46,2,1,1,"Injuries","Black","Female","Virginia",1970,"South Atlantic","South","VA",55.458838258212,59.8444779696646,64.4815624118073,59.9546943616424
"48",46,2,1,1,"Non-communicable","Black","Female","Virginia",1970,"South Atlantic","South","VA",77.2331047807989,82.772367072611,88.7063750621889,82.8672132260996
"49",46,3,0,0,"All other causes","White","Male","Virginia",1971,"South Atlantic","South","VA",139.610371422573,144.267672460202,148.530820814666,144.271059834918
"50",46,3,0,0,"Cancers","White","Male","Virginia",1971,"South Atlantic","South","VA",234.940385555715,240.393112626403,246.517940573876,240.552207687269
"51",46,3,0,0,"Cardiovascular","White","Male","Virginia",1971,"South Atlantic","South","VA",891.602644402781,910.193891012054,927.91930071216,910.100620169374
"52",46,3,0,0,"Communicable","White","Male","Virginia",1971,"South Atlantic","South","VA",69.5249110769629,74.2724316778782,79.2255642561907,74.2937487030942
"53",46,3,0,0,"Injuries","White","Male","Virginia",1971,"South Atlantic","South","VA",118.050065512858,121.462833597241,125.100448780572,121.481229753221
"54",46,3,0,0,"Non-communicable","White","Male","Virginia",1971,"South Atlantic","South","VA",94.8592051699844,98.6804403165683,102.203797936825,98.6631046499201
"55",46,3,0,1,"All other causes","White","Female","Virginia",1971,"South Atlantic","South","VA",92.367846233064,95.3521961473013,98.5026393887825,95.3295985407415
"56",46,3,0,1,"Cancers","White","Female","Virginia",1971,"South Atlantic","South","VA",148.09482137296,151.398184570848,154.62980371461,151.388213027006
"57",46,3,0,1,"Cardiovascular","White","Female","Virginia",1971,"South Atlantic","South","VA",534.717098428675,545.7912358749,555.887874732871,545.650521366447
"58",46,3,0,1,"Communicable","White","Female","Virginia",1971,"South Atlantic","South","VA",36.8472038085029,39.0236101960242,41.2571078477135,39.0522322101717
"59",46,3,0,1,"Injuries","White","Female","Virginia",1971,"South Atlantic","South","VA",46.4875951417339,48.3075386298227,50.2292074429321,48.3300893481564
"60",46,3,0,1,"Non-communicable","White","Female","Virginia",1971,"South Atlantic","South","VA",42.889161224904,44.6752815071148,46.5891134296425,44.6655390224803
"61",46,3,1,0,"All other causes","Black","Male","Virginia",1971,"South Atlantic","South","VA",231.163744852036,240.295683866533,249.596297377733,240.273335260564
"62",46,3,1,0,"Cancers","Black","Male","Virginia",1971,"South Atlantic","South","VA",308.997524193058,320.142230031051,332.522151629281,320.321539976952
"63",46,3,1,0,"Cardiovascular","Black","Male","Virginia",1971,"South Atlantic","South","VA",902.438438159964,932.525333495406,960.872605502736,932.115212499625
"64",46,3,1,0,"Communicable","Black","Male","Virginia",1971,"South Atlantic","South","VA",104.713404202359,113.447219716897,122.885678887671,113.494846949876
"65",46,3,1,0,"Injuries","Black","Male","Virginia",1971,"South Atlantic","South","VA",199.038286543445,208.038913181321,216.726644523093,208.023067675814
"66",46,3,1,0,"Non-communicable","Black","Male","Virginia",1971,"South Atlantic","South","VA",102.717853745362,108.694694590643,115.751405426987,108.880984487347
"67",46,3,1,1,"All other causes","Black","Female","Virginia",1971,"South Atlantic","South","VA",153.140077754122,159.960814982619,166.919372386989,160.096420960036
"68",46,3,1,1,"Cancers","Black","Female","Virginia",1971,"South Atlantic","South","VA",171.830467425334,178.527286975778,185.725898661717,178.608942829393
"69",46,3,1,1,"Cardiovascular","Black","Female","Virginia",1971,"South Atlantic","South","VA",678.091662559942,699.963969409736,723.054805897169,700.141780269525
"70",46,3,1,1,"Communicable","Black","Female","Virginia",1971,"South Atlantic","South","VA",50.7722393337279,55.192165573815,59.9737066109098,55.2414135745206
"71",46,3,1,1,"Injuries","Black","Female","Virginia",1971,"South Atlantic","South","VA",55.0384624635696,59.116857423806,63.4721907059595,59.1750618786872
"72",46,3,1,1,"Non-communicable","Black","Female","Virginia",1971,"South Atlantic","South","VA",78.7900266379536,83.5583413736794,89.0248316941238,83.6671152766709
"73",46,4,0,0,"All other causes","White","Male","Virginia",1972,"South Atlantic","South","VA",136.519073989049,140.888443400873,145.303561228607,140.913405151547
"74",46,4,0,0,"Cancers","White","Male","Virginia",1972,"South Atlantic","South","VA",240.296949440516,245.753267536109,251.552786010522,245.804063309591
"75",46,4,0,0,"Cardiovascular","White","Male","Virginia",1972,"South Atlantic","South","VA",873.804083578278,890.44067019941,908.726016000095,890.650794163661
"76",46,4,0,0,"Communicable","White","Male","Virginia",1972,"South Atlantic","South","VA",73.1437829073635,78.3638790273319,83.3388434261266,78.3348287691773
"77",46,4,0,0,"Injuries","White","Male","Virginia",1972,"South Atlantic","South","VA",118.984576251918,122.327802876973,125.846270857393,122.387543958564
"78",46,4,0,0,"Non-communicable","White","Male","Virginia",1972,"South Atlantic","South","VA",96.5691751931961,100.176565753378,104.016936692039,100.302291669226
"79",46,4,0,1,"All other causes","White","Female","Virginia",1972,"South Atlantic","South","VA",90.0318767950358,92.9445134539023,95.76627741223,92.9745753017117
"80",46,4,0,1,"Cancers","White","Female","Virginia",1972,"South Atlantic","South","VA",149.452555256511,152.689186514317,155.715248764823,152.630396541187
"81",46,4,0,1,"Cardiovascular","White","Female","Virginia",1972,"South Atlantic","South","VA",520.256635587727,529.752977080985,540.65196521281,529.801080516533
"82",46,4,0,1,"Communicable","White","Female","Virginia",1972,"South Atlantic","South","VA",37.0706517828545,39.2915399025689,41.6397390744896,39.3412780695202
"83",46,4,0,1,"Injuries","White","Female","Virginia",1972,"South Atlantic","South","VA",45.7887931337173,47.5015896433421,49.3147047080237,47.519143594656
"84",46,4,0,1,"Non-communicable","White","Female","Virginia",1972,"South Atlantic","South","VA",43.6730672424689,45.485698158664,47.3566811057439,45.5053639633334
"85",46,4,1,0,"All other causes","Black","Male","Virginia",1972,"South Atlantic","South","VA",221.084086386089,229.702538469947,239.282167597726,229.873032490568
"86",46,4,1,0,"Cancers","Black","Male","Virginia",1972,"South Atlantic","South","VA",313.224088324856,325.234063731298,337.998003798848,325.142121123853
"87",46,4,1,0,"Cardiovascular","Black","Male","Virginia",1972,"South Atlantic","South","VA",894.210471460208,919.105454608208,945.261140941796,919.325458128324
"88",46,4,1,0,"Communicable","Black","Male","Virginia",1972,"South Atlantic","South","VA",105.250275258859,114.043961742251,124.025333649593,114.104887803964
"89",46,4,1,0,"Injuries","Black","Male","Virginia",1972,"South Atlantic","South","VA",199.364490080499,208.138205621359,216.921644604478,208.131028709976
"90",46,4,1,0,"Non-communicable","Black","Male","Virginia",1972,"South Atlantic","South","VA",103.659090353307,109.562702856253,116.009383185234,109.673822352907
"91",46,4,1,1,"All other causes","Black","Female","Virginia",1972,"South Atlantic","South","VA",148.887202524927,155.608094200326,162.689322016757,155.751590274021
"92",46,4,1,1,"Cancers","Black","Female","Virginia",1972,"South Atlantic","South","VA",173.060273192618,179.766953978625,186.754569923039,179.793504171016
