"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",8,1,0,0,"All other causes","White","Male","Washington DC",1969,"South Atlantic","South",NA,174.22829687522,193.600662064059,216.480843108842,193.899546320685
"2",8,1,0,0,"Cancers","White","Male","Washington DC",1969,"South Atlantic","South",NA,225.786484529114,243.539151436314,264.278284130559,244.381800831065
"3",8,1,0,0,"Cardiovascular","White","Male","Washington DC",1969,"South Atlantic","South",NA,803.351212696865,851.386113048346,901.874101356171,852.350054304823
"4",8,1,0,0,"Communicable","White","Male","Washington DC",1969,"South Atlantic","South",NA,67.6375829628099,85.0648630789506,105.566017425126,85.6104832651117
"5",8,1,0,0,"Injuries","White","Male","Washington DC",1969,"South Atlantic","South",NA,85.493838093606,99.5121137583888,115.621410096594,99.6034350793735
"6",8,1,0,0,"Non-communicable","White","Male","Washington DC",1969,"South Atlantic","South",NA,117.085580580397,131.904502460272,148.112219336349,132.171213564898
"7",8,1,0,1,"All other causes","White","Female","Washington DC",1969,"South Atlantic","South",NA,101.152141766822,111.850912569963,123.691266379999,112.295611891829
"8",8,1,0,1,"Cancers","White","Female","Washington DC",1969,"South Atlantic","South",NA,157.870505157963,169.213941501665,180.296811967261,169.277160981965
"9",8,1,0,1,"Cardiovascular","White","Female","Washington DC",1969,"South Atlantic","South",NA,508.113222245111,538.594651544447,568.963837143427,538.708939269497
"10",8,1,0,1,"Communicable","White","Female","Washington DC",1969,"South Atlantic","South",NA,41.9676688153568,49.8304044391244,59.4586218551914,50.129839504385
"11",8,1,0,1,"Injuries","White","Female","Washington DC",1969,"South Atlantic","South",NA,41.4164455032347,49.487478736143,59.9058741755771,49.7859586880263
"12",8,1,0,1,"Non-communicable","White","Female","Washington DC",1969,"South Atlantic","South",NA,46.9309119177526,55.6902179937448,65.8001922128143,56.00388666418
"13",8,1,1,0,"All other causes","Black","Male","Washington DC",1969,"South Atlantic","South",NA,293.905580593421,315.778301677289,341.218457680557,316.256188040312
"14",8,1,1,0,"Cancers","Black","Male","Washington DC",1969,"South Atlantic","South",NA,384.711392258104,408.381912344237,432.006761340866,408.194674819759
"15",8,1,1,0,"Cardiovascular","Black","Male","Washington DC",1969,"South Atlantic","South",NA,831.601953385304,875.056588751526,922.767136898288,875.655355933313
"16",8,1,1,0,"Communicable","Black","Male","Washington DC",1969,"South Atlantic","South",NA,121.565530054959,139.073014331271,158.049709688768,139.199773708706
"17",8,1,1,0,"Injuries","Black","Male","Washington DC",1969,"South Atlantic","South",NA,184.145892188567,199.874327836758,216.749910650808,200.146883060076
"18",8,1,1,0,"Non-communicable","Black","Male","Washington DC",1969,"South Atlantic","South",NA,189.688503622865,206.841089176411,224.533980611634,206.849130841361
"19",8,1,1,1,"All other causes","Black","Female","Washington DC",1969,"South Atlantic","South",NA,180.038429388096,191.602441867071,203.791647254294,191.7936722924
"20",8,1,1,1,"Cancers","Black","Female","Washington DC",1969,"South Atlantic","South",NA,193.575344437387,205.087228530531,216.497997877374,205.037113707488
"21",8,1,1,1,"Cardiovascular","Black","Female","Washington DC",1969,"South Atlantic","South",NA,662.197036580334,696.760962291956,732.334145379681,697.43329012164
"22",8,1,1,1,"Communicable","Black","Female","Washington DC",1969,"South Atlantic","South",NA,63.0792682836476,72.5089807070287,82.5239912227442,72.6321041316359
"23",8,1,1,1,"Injuries","Black","Female","Washington DC",1969,"South Atlantic","South",NA,44.9348724728026,50.6318006858419,57.5374823976344,50.8134026462806
"24",8,1,1,1,"Non-communicable","Black","Female","Washington DC",1969,"South Atlantic","South",NA,114.878413643656,124.736231873648,134.985576213725,124.922266571533
"25",8,2,0,0,"All other causes","White","Male","Washington DC",1970,"South Atlantic","South",NA,166.53921736742,182.24325843339,200.530642975609,182.454697216228
"26",8,2,0,0,"Cancers","White","Male","Washington DC",1970,"South Atlantic","South",NA,229.012109777943,244.731628198241,261.135681054158,244.754362175725
"27",8,2,0,0,"Cardiovascular","White","Male","Washington DC",1970,"South Atlantic","South",NA,805.755243395494,849.051980678729,893.530710140283,849.113397794791
"28",8,2,0,0,"Communicable","White","Male","Washington DC",1970,"South Atlantic","South",NA,71.8312603261124,86.7360272494029,104.808059277653,87.0490738961276
"29",8,2,0,0,"Injuries","White","Male","Washington DC",1970,"South Atlantic","South",NA,84.3658778814903,97.0322561783442,111.670513132379,97.3169130935073
"30",8,2,0,0,"Non-communicable","White","Male","Washington DC",1970,"South Atlantic","South",NA,120.419930229236,133.670812836233,148.818046948042,133.7489055961
"31",8,2,0,1,"All other causes","White","Female","Washington DC",1970,"South Atlantic","South",NA,101.5459872146,111.766143116114,122.772191742158,111.852738226428
"32",8,2,0,1,"Cancers","White","Female","Washington DC",1970,"South Atlantic","South",NA,161.04062515347,171.201169689094,181.854248893445,171.17349873477
"33",8,2,0,1,"Cardiovascular","White","Female","Washington DC",1970,"South Atlantic","South",NA,497.148418095756,524.79712522941,552.102386036744,524.696494962009
"34",8,2,0,1,"Communicable","White","Female","Washington DC",1970,"South Atlantic","South",NA,40.6481575185435,46.2336307402231,53.3825241913425,46.4539767748883
"35",8,2,0,1,"Injuries","White","Female","Washington DC",1970,"South Atlantic","South",NA,41.5114352070206,48.7187736225517,58.1976169150824,48.9172825341612
"36",8,2,0,1,"Non-communicable","White","Female","Washington DC",1970,"South Atlantic","South",NA,49.4663229809225,57.2113826838892,66.5955978479635,57.4234832590825
"37",8,2,1,0,"All other causes","Black","Male","Washington DC",1970,"South Atlantic","South",NA,284.779575818359,303.275518039204,323.924711947195,303.64518447392
"38",8,2,1,0,"Cancers","Black","Male","Washington DC",1970,"South Atlantic","South",NA,389.547288605559,408.939966128769,430.451793396613,409.522484951709
"39",8,2,1,0,"Cardiovascular","Black","Male","Washington DC",1970,"South Atlantic","South",NA,820.373257201124,855.964987253404,894.898222309998,856.883361308262
"40",8,2,1,0,"Communicable","Black","Male","Washington DC",1970,"South Atlantic","South",NA,122.321561764218,137.200442605126,154.088360545585,137.552034370841
"41",8,2,1,0,"Injuries","Black","Male","Washington DC",1970,"South Atlantic","South",NA,184.854239969717,198.649736062024,212.622763464684,198.716819129373
"42",8,2,1,0,"Non-communicable","Black","Male","Washington DC",1970,"South Atlantic","South",NA,190.758144370066,205.098594872062,220.570788998516,205.295537422186
"43",8,2,1,1,"All other causes","Black","Female","Washington DC",1970,"South Atlantic","South",NA,179.78443828869,190.18460517537,201.074192999673,190.388361289236
"44",8,2,1,1,"Cancers","Black","Female","Washington DC",1970,"South Atlantic","South",NA,195.393029297612,205.304926450599,216.40871011655,205.503153030898
"45",8,2,1,1,"Cardiovascular","Black","Female","Washington DC",1970,"South Atlantic","South",NA,655.288311648883,685.985010192175,716.306033290093,685.985117141767
"46",8,2,1,1,"Communicable","Black","Female","Washington DC",1970,"South Atlantic","South",NA,61.4596710003001,69.3789507605491,79.0182879533258,69.6049516943344
"47",8,2,1,1,"Injuries","Black","Female","Washington DC",1970,"South Atlantic","South",NA,45.3110739396278,50.6968969633566,57.0615911157332,50.9554649012915
