"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",0,1,0,"All other causes",148.187922756544,165.455030538466,183.066129002359,165.504432188953,"East South Central","South","AL","Male","Alabama",1969
"2",0,1,0,"Cancers",-4.57859026289913,7.61934924097712,21.7295007565896,7.77999751047021,"East South Central","South","AL","Male","Alabama",1969
"3",0,1,0,"Cardiovascular",-68.9089020141901,-35.8670755160051,-0.312193590405028,-35.4187212562935,"East South Central","South","AL","Male","Alabama",1969
"4",0,1,0,"Communicable",34.5156150344354,44.5223262871918,54.9230561204691,44.6159245473096,"East South Central","South","AL","Male","Alabama",1969
"5",0,1,0,"Injuries",90.1429469826696,103.726462811972,117.547847377898,103.648684610881,"East South Central","South","AL","Male","Alabama",1969
"6",0,1,0,"Non-communicable",-6.81941368555256,1.32943469034643,9.2240165243422,1.26972593429685,"East South Central","South","AL","Male","Alabama",1969
"7",0,1,1,"All other causes",117.613163233686,129.318696949577,140.36521477105,129.144275581425,"East South Central","South","AL","Female","Alabama",1969
"8",0,1,1,"Cancers",14.4575345866413,21.7677248778506,30.0651550885428,21.8295819308421,"East South Central","South","AL","Female","Alabama",1969
"9",0,1,1,"Cardiovascular",116.929611891268,143.279003889991,170.995433948385,143.493728310012,"East South Central","South","AL","Female","Alabama",1969
"10",0,1,1,"Communicable",4.972170489731,10.4544217666618,15.9976056798474,10.4889105599312,"East South Central","South","AL","Female","Alabama",1969
"11",0,1,1,"Injuries",8.41596047595934,13.8191049272091,19.0098404652594,13.8822725144417,"East South Central","South","AL","Female","Alabama",1969
"12",0,1,1,"Non-communicable",27.1680449706022,32.6891784075712,38.7319201542039,32.7245627876837,"East South Central","South","AL","Female","Alabama",1969
"13",0,2,0,"All other causes",141.232791114201,155.550020582951,170.632874197784,155.589376836171,"East South Central","South","AL","Male","Alabama",1970
"14",0,2,0,"Cancers",-4.09807863919911,8.00701893090397,19.6090386552401,7.95041429106177,"East South Central","South","AL","Male","Alabama",1970
"15",0,2,0,"Cardiovascular",-75.0773547622315,-45.1808245807448,-12.6733703410854,-45.3486867604114,"East South Central","South","AL","Male","Alabama",1970
"16",0,2,0,"Communicable",27.906701714202,37.505702762429,46.9793736438258,37.548393427503,"East South Central","South","AL","Male","Alabama",1970
