"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",6,1,0,"All other causes",69.7605482532139,102.116897018315,141.720088006479,102.905210795439,"New England","Northeast","CT","Male","Connecticut",1969
"2",6,1,0,"Cancers",47.0729855484636,88.0616084943236,136.216746196685,89.2156369909044,"New England","Northeast","CT","Male","Connecticut",1969
"3",6,1,0,"Cardiovascular",-121.289261922524,-49.442082108299,33.7985971224048,-47.7598881508176,"New England","Northeast","CT","Male","Connecticut",1969
"4",6,1,0,"Communicable",3.30994046088474,31.7081390760232,73.4660769745049,33.3970255925967,"New England","Northeast","CT","Male","Connecticut",1969
"5",6,1,0,"Injuries",49.4711153196655,66.2784373931232,89.8399151775501,66.9834396522516,"New England","Northeast","CT","Male","Connecticut",1969
"6",6,1,0,"Non-communicable",-4.06065285678851,15.0858008539536,38.5238141756841,15.3066643287775,"New England","Northeast","CT","Male","Connecticut",1969
"7",6,1,1,"All other causes",33.8157083427483,51.2053234331712,69.4727513345525,51.2442263472329,"New England","Northeast","CT","Female","Connecticut",1969
"8",6,1,1,"Cancers",-4.63154501989631,16.715852646206,38.3579317286563,16.7940701504232,"New England","Northeast","CT","Female","Connecticut",1969
"9",6,1,1,"Cardiovascular",-7.00766111447875,52.5623757175637,118.416559647992,53.0789716363497,"New England","Northeast","CT","Female","Connecticut",1969
"10",6,1,1,"Communicable",6.99988454719727,27.1918621360866,58.935747598356,28.6733992798252,"New England","Northeast","CT","Female","Connecticut",1969
"11",6,1,1,"Injuries",0.226731821019407,9.87527082241617,20.7635408433202,10.0437106503099,"New England","Northeast","CT","Female","Connecticut",1969
"12",6,1,1,"Non-communicable",18.3473161943166,33.7827637439424,51.5883362877769,33.9434001079976,"New England","Northeast","CT","Female","Connecticut",1969
"13",6,2,0,"All other causes",74.7772073974434,103.819473035422,140.38343792854,104.508912454827,"New England","Northeast","CT","Male","Connecticut",1970
"14",6,2,0,"Cancers",54.8379518593073,91.3464061582721,138.439682695742,92.6194596653676,"New England","Northeast","CT","Male","Connecticut",1970
"15",6,2,0,"Cardiovascular",-122.382585200788,-58.9049614824929,10.6836792507116,-57.0669802872978,"New England","Northeast","CT","Male","Connecticut",1970
"16",6,2,0,"Communicable",6.55264550470717,30.3035375089593,64.1083247905049,31.5342088483302,"New England","Northeast","CT","Male","Connecticut",1970
"17",6,2,0,"Injuries",47.9090860907339,63.8036246715541,85.276938851064,64.3207700959813,"New England","Northeast","CT","Male","Connecticut",1970
"18",6,2,0,"Non-communicable",-4.06073851810367,14.8294117210633,36.0841174641303,14.9604873088578,"New England","Northeast","CT","Male","Connecticut",1970
"19",6,2,1,"All other causes",37.625726520792,53.5342502144279,72.0408553516255,53.7874039861709,"New England","Northeast","CT","Female","Connecticut",1970
"20",6,2,1,"Cancers",-3.40505383951504,16.9921134019013,36.3728773383016,16.6357445331119,"New England","Northeast","CT","Female","Connecticut",1970
"21",6,2,1,"Cardiovascular",17.8649970089215,68.1276719440319,121.717428603592,67.4131644572603,"New England","Northeast","CT","Female","Connecticut",1970
"22",6,2,1,"Communicable",10.922087964272,28.0546044944948,55.0343223803271,29.5468952826066,"New England","Northeast","CT","Female","Connecticut",1970
"23",6,2,1,"Injuries",0.958577216810332,9.83277201537733,20.1308341743361,10.0173458156333,"New England","Northeast","CT","Female","Connecticut",1970
