"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",10,1,0,"All other causes",84.4877698168164,96.9343877050288,110.817760942068,97.079689131939,"South Atlantic","South","GA","Male","Georgia",1969
"2",10,1,0,"Cancers",2.41448493704953,16.0117211710286,29.3814228992528,16.1959605403294,"South Atlantic","South","GA","Male","Georgia",1969
"3",10,1,0,"Cardiovascular",-19.6469431000583,16.9286709099134,54.3334844349759,16.5047555676757,"South Atlantic","South","GA","Male","Georgia",1969
"4",10,1,0,"Communicable",28.2053583414187,38.3153389390391,49.1958032272604,38.3221026715799,"South Atlantic","South","GA","Male","Georgia",1969
"5",10,1,0,"Injuries",99.6911643102786,112.605189349387,125.844049641779,112.60911307917,"South Atlantic","South","GA","Male","Georgia",1969
"6",10,1,0,"Non-communicable",-17.8265372882793,-9.25710831630978,-1.46550487925451,-9.49100286247602,"South Atlantic","South","GA","Male","Georgia",1969
"7",10,1,1,"All other causes",60.949211261705,69.3248079529389,78.4392610303002,69.4489001756275,"South Atlantic","South","GA","Female","Georgia",1969
"8",10,1,1,"Cancers",5.16520351744974,13.3730942533943,21.8526792138188,13.4985532138437,"South Atlantic","South","GA","Female","Georgia",1969
"9",10,1,1,"Cardiovascular",121.183833573164,146.707567915218,173.111433345357,147.095730570375,"South Atlantic","South","GA","Female","Georgia",1969
"10",10,1,1,"Communicable",17.5212414966224,23.4458237608141,30.0426142392623,23.5703867313262,"South Atlantic","South","GA","Female","Georgia",1969
"11",10,1,1,"Injuries",9.04890637048263,14.1091974294709,19.3195195257057,14.1223011022126,"South Atlantic","South","GA","Female","Georgia",1969
"12",10,1,1,"Non-communicable",35.8089145703688,41.8561144422309,48.1387985487921,41.8953578751758,"South Atlantic","South","GA","Female","Georgia",1969
"13",10,2,0,"All other causes",80.1543466144885,91.8021340457094,102.877261824873,91.5796762565368,"South Atlantic","South","GA","Male","Georgia",1970
"14",10,2,0,"Cancers",-0.910625096187379,11.2995344889939,22.6601316189108,11.013141659309,"South Atlantic","South","GA","Male","Georgia",1970
"15",10,2,0,"Cardiovascular",-24.7925277836273,7.33357100016946,43.461613943132,7.74398324056205,"South Atlantic","South","GA","Male","Georgia",1970
"16",10,2,0,"Communicable",24.078986448304,32.9198129216821,41.9696446327305,32.8961797149343,"South Atlantic","South","GA","Male","Georgia",1970
"17",10,2,0,"Injuries",107.740672141642,119.831312538357,131.556861812696,119.858636530271,"South Atlantic","South","GA","Male","Georgia",1970
"18",10,2,0,"Non-communicable",-17.2064699745562,-9.69526172938459,-2.21268719811772,-9.62487667358035,"South Atlantic","South","GA","Male","Georgia",1970
"19",10,2,1,"All other causes",59.107222336964,66.9605579880374,74.5006281164769,66.9797069530549,"South Atlantic","South","GA","Female","Georgia",1970
"20",10,2,1,"Cancers",5.17835559928781,12.3904139029777,19.5318023109084,12.3986763425777,"South Atlantic","South","GA","Female","Georgia",1970
"21",10,2,1,"Cardiovascular",107.304614068067,129.341080797974,152.99202255467,129.121127476392,"South Atlantic","South","GA","Female","Georgia",1970
"22",10,2,1,"Communicable",18.2912138878887,23.2441686384246,28.750843199456,23.2731501107975,"South Atlantic","South","GA","Female","Georgia",1970
"23",10,2,1,"Injuries",10.6722120008315,14.928135841728,19.6330772212801,15.0011270470134,"South Atlantic","South","GA","Female","Georgia",1970
"24",10,2,1,"Non-communicable",37.7722221684254,42.7532649924144,48.4481373905366,42.8039251682818,"South Atlantic","South","GA","Female","Georgia",1970
"25",10,3,0,"All other causes",79.4594001119075,89.5590985006899,99.2758141856489,89.5593274066795,"South Atlantic","South","GA","Male","Georgia",1971
"26",10,3,0,"Cancers",-2.08541993552478,9.33197794541252,20.237486501641,9.15854543747945,"South Atlantic","South","GA","Male","Georgia",1971
"27",10,3,0,"Cardiovascular",-31.4591647175283,2.09866604846275,37.8101423781357,2.11223962349803,"South Atlantic","South","GA","Male","Georgia",1971
"28",10,3,0,"Communicable",17.5593524703073,26.7874737025081,35.2515660923763,26.6732308076191,"South Atlantic","South","GA","Male","Georgia",1971
"29",10,3,0,"Injuries",104.207790557813,115.052507488883,127.188612294415,115.293463969648,"South Atlantic","South","GA","Male","Georgia",1971
"30",10,3,0,"Non-communicable",-15.3387891535335,-8.86188150826939,-2.04036100540209,-8.82523263978158,"South Atlantic","South","GA","Male","Georgia",1971
"31",10,3,1,"All other causes",56.7111709006282,64.2147233899129,70.9759758657765,64.1115904201777,"South Atlantic","South","GA","Female","Georgia",1971
"32",10,3,1,"Cancers",7.00595233118234,13.4542166757414,20.3002163028452,13.3606764235241,"South Atlantic","South","GA","Female","Georgia",1971
"33",10,3,1,"Cardiovascular",95.4596377240711,118.720535851143,141.05181219024,118.352417627357,"South Atlantic","South","GA","Female","Georgia",1971
"34",10,3,1,"Communicable",13.9827146970934,19.158257319095,23.9892397178845,19.0559626114345,"South Atlantic","South","GA","Female","Georgia",1971
"35",10,3,1,"Injuries",10.0707391658179,14.5695174662556,18.8522990439431,14.5325676146663,"South Atlantic","South","GA","Female","Georgia",1971
