"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",14,1,0,"All other causes",49.452178588632,64.8521193982465,80.0690253380964,64.7139866419747,"East North Central","Midwest","IN","Male","Indiana",1969
"2",14,1,0,"Cancers",67.9222730988418,89.5459710526111,114.421238109872,90.1820735512803,"East North Central","Midwest","IN","Male","Indiana",1969
"3",14,1,0,"Cardiovascular",-143.070746689583,-92.9333146189574,-41.0907092621498,-93.1934653874599,"East North Central","Midwest","IN","Male","Indiana",1969
"4",14,1,0,"Communicable",27.3651863750619,42.9240679158895,60.4105554074993,42.9436267897226,"East North Central","Midwest","IN","Male","Indiana",1969
"5",14,1,0,"Injuries",53.3116328493877,68.3948372719631,85.2500263808388,68.5934772694405,"East North Central","Midwest","IN","Male","Indiana",1969
"6",14,1,0,"Non-communicable",8.96991609517004,20.9283870539995,33.568364495759,20.8993926072777,"East North Central","Midwest","IN","Male","Indiana",1969
"7",14,1,1,"All other causes",25.8464569371065,36.1224812724163,47.1403538724069,36.1504390417532,"East North Central","Midwest","IN","Female","Indiana",1969
"8",14,1,1,"Cancers",24.5900045421723,38.6660203411639,52.0722532628448,38.7728757041099,"East North Central","Midwest","IN","Female","Indiana",1969
"9",14,1,1,"Cardiovascular",69.425827147123,112.879832053645,158.063709585787,111.867969576154,"East North Central","Midwest","IN","Female","Indiana",1969
"10",14,1,1,"Communicable",8.6817798120664,17.7948314481597,28.5760515568735,18.1063775684318,"East North Central","Midwest","IN","Female","Indiana",1969
"11",14,1,1,"Injuries",-4.3224124105696,2.37987017578871,12.9386086155947,2.90799821989105,"East North Central","Midwest","IN","Female","Indiana",1969
"12",14,1,1,"Non-communicable",32.856533581524,42.4399937429194,52.0270401526399,42.465721081253,"East North Central","Midwest","IN","Female","Indiana",1969
"13",14,2,0,"All other causes",49.7292636302537,63.3059214096746,77.7848037063469,63.2740645516564,"East North Central","Midwest","IN","Male","Indiana",1970
"14",14,2,0,"Cancers",66.2312388579803,86.2135398959725,107.007890334879,86.2771638988593,"East North Central","Midwest","IN","Male","Indiana",1970
"15",14,2,0,"Cardiovascular",-94.0948081186768,-53.0724553144308,-5.8648674239739,-52.3196980599667,"East North Central","Midwest","IN","Male","Indiana",1970
"16",14,2,0,"Communicable",26.8324727103558,40.3775607241701,55.4981546247923,40.7391995231574,"East North Central","Midwest","IN","Male","Indiana",1970
"17",14,2,0,"Injuries",55.5942860974903,68.7498139102935,82.5928012090215,68.8840922438054,"East North Central","Midwest","IN","Male","Indiana",1970
"18",14,2,0,"Non-communicable",11.0722512724995,21.7460513859944,33.7426422764404,21.6195599765145,"East North Central","Midwest","IN","Male","Indiana",1970
"19",14,2,1,"All other causes",29.8418001594854,38.6085074690974,49.2587594434965,38.9187175175568,"East North Central","Midwest","IN","Female","Indiana",1970
"20",14,2,1,"Cancers",27.7298227997921,40.4314673698204,53.0791895438652,40.376806899833,"East North Central","Midwest","IN","Female","Indiana",1970
"21",14,2,1,"Cardiovascular",88.2581081710057,123.020307309119,159.613699989911,123.797048660561,"East North Central","Midwest","IN","Female","Indiana",1970
"22",14,2,1,"Communicable",11.6423291628435,19.6921204160038,28.7374255424664,19.6926562164751,"East North Central","Midwest","IN","Female","Indiana",1970
"23",14,2,1,"Injuries",-3.16877680263035,3.42134793485644,13.2984438644079,3.84079955385594,"East North Central","Midwest","IN","Female","Indiana",1970
"24",14,2,1,"Non-communicable",32.0575311106114,40.8131422273519,49.3532185481373,40.9533137938798,"East North Central","Midwest","IN","Female","Indiana",1970
"25",14,3,0,"All other causes",52.7158955422788,65.8779968209144,78.9780968651689,65.7070379413606,"East North Central","Midwest","IN","Male","Indiana",1971
"26",14,3,0,"Cancers",62.9184075908851,81.7059937593109,100.06830161275,82.178082593598,"East North Central","Midwest","IN","Male","Indiana",1971
"27",14,3,0,"Cardiovascular",-99.2830477748697,-59.510856425009,-18.5661115113244,-59.0472073968529,"East North Central","Midwest","IN","Male","Indiana",1971
"28",14,3,0,"Communicable",21.8424617439783,35.5729732811348,49.6538104211795,35.9247413554327,"East North Central","Midwest","IN","Male","Indiana",1971
"29",14,3,0,"Injuries",58.7129552838847,71.2676347268233,84.7027069890605,71.3673576309851,"East North Central","Midwest","IN","Male","Indiana",1971
"30",14,3,0,"Non-communicable",10.5354474188658,20.6574796854452,31.2405045957679,20.592595273786,"East North Central","Midwest","IN","Male","Indiana",1971
"31",14,3,1,"All other causes",33.4807502264925,41.8416615868277,50.954739492081,41.9436800952825,"East North Central","Midwest","IN","Female","Indiana",1971
"32",14,3,1,"Cancers",30.4551457417203,41.9833579826968,53.6176591008086,42.1313905657257,"East North Central","Midwest","IN","Female","Indiana",1971
"33",14,3,1,"Cardiovascular",78.4358149045883,113.203134964336,146.372889949084,113.144169430629,"East North Central","Midwest","IN","Female","Indiana",1971
"34",14,3,1,"Communicable",11.7607829689377,19.3513256949393,27.3320764036354,19.4169508949123,"East North Central","Midwest","IN","Female","Indiana",1971
"35",14,3,1,"Injuries",-2.25239530718048,4.10272964628163,13.1167373146022,4.35161653237773,"East North Central","Midwest","IN","Female","Indiana",1971
"36",14,3,1,"Non-communicable",32.76198186034,40.6274957926085,49.3850650807095,40.8060367804132,"East North Central","Midwest","IN","Female","Indiana",1971
"37",14,4,0,"All other causes",49.3930304165369,62.4042649406958,74.5984741824977,62.4457720769965,"East North Central","Midwest","IN","Male","Indiana",1972
"38",14,4,0,"Cancers",63.4160696196172,80.6328437870262,98.3829975538046,80.8258266340443,"East North Central","Midwest","IN","Male","Indiana",1972
"39",14,4,0,"Cardiovascular",-88.1977931238956,-47.4133757213625,-6.33722698757989,-47.4058332471186,"East North Central","Midwest","IN","Male","Indiana",1972
"40",14,4,0,"Communicable",18.2627619917961,31.5966123765237,44.847863346916,31.5091439703834,"East North Central","Midwest","IN","Male","Indiana",1972
"41",14,4,0,"Injuries",64.7281575574965,76.0929266906361,88.6862326832592,76.3092344634524,"East North Central","Midwest","IN","Male","Indiana",1972
"42",14,4,0,"Non-communicable",9.50263398992746,19.6383517163375,30.3972017144353,19.6562577844881,"East North Central","Midwest","IN","Male","Indiana",1972
"43",14,4,1,"All other causes",31.8929691581531,40.7596784274211,49.8653527139026,40.8652937783149,"East North Central","Midwest","IN","Female","Indiana",1972
"44",14,4,1,"Cancers",33.9714540563952,45.0060156874383,55.4738121662092,44.9203491562042,"East North Central","Midwest","IN","Female","Indiana",1972
"45",14,4,1,"Cardiovascular",63.4133423319888,95.828577192513,128.302646315132,95.8673278927509,"East North Central","Midwest","IN","Female","Indiana",1972
"46",14,4,1,"Communicable",11.3651569712642,18.4684337054883,26.2253592717611,18.5492002976517,"East North Central","Midwest","IN","Female","Indiana",1972
"47",14,4,1,"Injuries",-1.23140789967864,4.37562804802342,13.3446208067265,4.80001316862924,"East North Central","Midwest","IN","Female","Indiana",1972
"48",14,4,1,"Non-communicable",33.229270235555,40.3046778567916,48.9950175181274,40.6185765616231,"East North Central","Midwest","IN","Female","Indiana",1972
"49",14,5,0,"All other causes",52.4747087014572,64.0803346989615,75.7917436451132,63.9900777268118,"East North Central","Midwest","IN","Male","Indiana",1973
"50",14,5,0,"Cancers",72.0478366214004,90.2532513594656,107.575411884715,90.3456850116762,"East North Central","Midwest","IN","Male","Indiana",1973
"51",14,5,0,"Cardiovascular",-88.8191047042453,-49.7799011322485,-9.10637219420226,-49.9015964674475,"East North Central","Midwest","IN","Male","Indiana",1973
"52",14,5,0,"Communicable",17.6876411064224,29.8305853295565,42.3239077932791,29.7111895577982,"East North Central","Midwest","IN","Male","Indiana",1973
"53",14,5,0,"Injuries",64.8413335689828,75.9125213396964,87.7882614945056,76.1677959639945,"East North Central","Midwest","IN","Male","Indiana",1973
"54",14,5,0,"Non-communicable",9.27912146844054,18.723033286774,28.5217667437291,18.7915107305909,"East North Central","Midwest","IN","Male","Indiana",1973
"55",14,5,1,"All other causes",33.4895426974381,41.7197412848531,50.8703081013673,41.9143424194563,"East North Central","Midwest","IN","Female","Indiana",1973
"56",14,5,1,"Cancers",38.3181180281883,48.4263621442752,59.4546061369085,48.5101899922412,"East North Central","Midwest","IN","Female","Indiana",1973
"57",14,5,1,"Cardiovascular",48.8494112613057,79.8001192485741,111.181424294553,80.0925436802081,"East North Central","Midwest","IN","Female","Indiana",1973
"58",14,5,1,"Communicable",12.2655279835665,19.0872156773382,26.5682309706399,19.3807543492549,"East North Central","Midwest","IN","Female","Indiana",1973
"59",14,5,1,"Injuries",-0.383631546310859,4.77727321311932,12.5094514276695,5.08946780483076,"East North Central","Midwest","IN","Female","Indiana",1973
"60",14,5,1,"Non-communicable",33.0693329385275,40.1083287461088,48.7087281750058,40.4932338346417,"East North Central","Midwest","IN","Female","Indiana",1973
"61",14,6,0,"All other causes",53.4515882040539,65.3266925251095,77.3659059738843,65.2867319265658,"East North Central","Midwest","IN","Male","Indiana",1974
"62",14,6,0,"Cancers",76.3718575914955,93.5283591531016,112.313515325227,93.742909070781,"East North Central","Midwest","IN","Male","Indiana",1974
"63",14,6,0,"Cardiovascular",-63.1073663742673,-27.5810678182991,13.1271658325908,-27.2991146508237,"East North Central","Midwest","IN","Male","Indiana",1974
"64",14,6,0,"Communicable",18.5289672378211,30.4391378535527,42.7255229698444,30.5266692180016,"East North Central","Midwest","IN","Male","Indiana",1974
"65",14,6,0,"Injuries",68.3042280961837,79.016543599837,91.4999497554869,79.355790671249,"East North Central","Midwest","IN","Male","Indiana",1974
"66",14,6,0,"Non-communicable",11.0225892935453,20.2976428442333,30.1562682005665,20.2670882599353,"East North Central","Midwest","IN","Male","Indiana",1974
"67",14,6,1,"All other causes",34.8658788194982,42.9549207586887,51.9734206355838,43.0891436726552,"East North Central","Midwest","IN","Female","Indiana",1974
"68",14,6,1,"Cancers",40.0362868514077,50.5483259626959,60.9067178980406,50.5399324907432,"East North Central","Midwest","IN","Female","Indiana",1974
"69",14,6,1,"Cardiovascular",56.4095339981757,86.4795063762005,116.909734291438,86.8261218273452,"East North Central","Midwest","IN","Female","Indiana",1974
"70",14,6,1,"Communicable",13.5835553766458,20.0475906499139,27.4842340369297,20.1934609467865,"East North Central","Midwest","IN","Female","Indiana",1974
"71",14,6,1,"Injuries",1.04480981733375,6.16736601983894,13.8725689972704,6.48143577936608,"East North Central","Midwest","IN","Female","Indiana",1974
"72",14,6,1,"Non-communicable",33.6865535351444,40.359808390462,48.1556517464277,40.624042653399,"East North Central","Midwest","IN","Female","Indiana",1974
"73",14,7,0,"All other causes",52.5385452576952,64.1298486282682,75.8705859180288,64.2794903193007,"East North Central","Midwest","IN","Male","Indiana",1975
"74",14,7,0,"Cancers",78.2021673451021,95.1684865083834,114.205737137322,95.3462317999533,"East North Central","Midwest","IN","Male","Indiana",1975
"75",14,7,0,"Cardiovascular",-48.6229037153399,-12.0302181284607,23.7025233932201,-12.6279622986702,"East North Central","Midwest","IN","Male","Indiana",1975
"76",14,7,0,"Communicable",16.1994400662674,27.5079363409722,39.0854444843074,27.6392837734742,"East North Central","Midwest","IN","Male","Indiana",1975
"77",14,7,0,"Injuries",66.6577946090772,77.0805652133398,88.8847032443395,77.1899519555108,"East North Central","Midwest","IN","Male","Indiana",1975
"78",14,7,0,"Non-communicable",12.3059943318577,21.8978239785758,32.8761070758821,22.0881179537467,"East North Central","Midwest","IN","Male","Indiana",1975
"79",14,7,1,"All other causes",37.9802028671687,46.3393021028521,54.2062446798747,46.2227359655031,"East North Central","Midwest","IN","Female","Indiana",1975
"80",14,7,1,"Cancers",40.9024526033806,51.1812294986687,60.4764871726529,51.0187322973218,"East North Central","Midwest","IN","Female","Indiana",1975
"81",14,7,1,"Cardiovascular",72.3762754180449,102.641863460001,132.619089881987,102.707017711041,"East North Central","Midwest","IN","Female","Indiana",1975
"82",14,7,1,"Communicable",11.4848864143968,17.7215247580644,24.8055450185944,17.7491993596009,"East North Central","Midwest","IN","Female","Indiana",1975
"83",14,7,1,"Injuries",1.9810162004393,6.85190981421217,14.1046100523111,7.22348342691221,"East North Central","Midwest","IN","Female","Indiana",1975
"84",14,7,1,"Non-communicable",34.9282526226575,42.0426204620515,49.0429987687386,41.9751475512912,"East North Central","Midwest","IN","Female","Indiana",1975
"85",14,8,0,"All other causes",53.4344836740988,64.4873490028577,75.9134355454024,64.4649853583026,"East North Central","Midwest","IN","Male","Indiana",1976
"86",14,8,0,"Cancers",73.3493568712237,91.2290098139567,110.14258124703,91.4183685484741,"East North Central","Midwest","IN","Male","Indiana",1976
"87",14,8,0,"Cardiovascular",-47.5608024685067,-13.1570847865697,22.4626571682049,-12.6618720384544,"East North Central","Midwest","IN","Male","Indiana",1976
"88",14,8,0,"Communicable",14.3719135461842,26.239695250441,37.5089043515409,26.2429834420589,"East North Central","Midwest","IN","Male","Indiana",1976
"89",14,8,0,"Injuries",63.0818916638956,73.5979960750081,85.8942978057712,74.0188026292955,"East North Central","Midwest","IN","Male","Indiana",1976
"90",14,8,0,"Non-communicable",11.9572949282511,22.3965442737408,32.3044361060757,22.3453560897579,"East North Central","Midwest","IN","Male","Indiana",1976
"91",14,8,1,"All other causes",37.0810486110517,44.8234963087714,52.7378244306954,44.8339686037347,"East North Central","Midwest","IN","Female","Indiana",1976
"92",14,8,1,"Cancers",38.811371524984,48.7108026875883,57.4373347746753,48.5335678397759,"East North Central","Midwest","IN","Female","Indiana",1976
"93",14,8,1,"Cardiovascular",52.0160253099024,79.4443732418562,107.440405711514,79.3329679918111,"East North Central","Midwest","IN","Female","Indiana",1976
"94",14,8,1,"Communicable",9.789953254921,15.5827623913288,22.1351617951868,15.7030332334392,"East North Central","Midwest","IN","Female","Indiana",1976
"95",14,8,1,"Injuries",2.97587923814459,7.63173120847888,14.6186288713924,7.93531422227615,"East North Central","Midwest","IN","Female","Indiana",1976
"96",14,8,1,"Non-communicable",35.0509227683614,42.0358542931538,48.5938552378014,41.9210169432107,"East North Central","Midwest","IN","Female","Indiana",1976
"97",14,9,0,"All other causes",54.1266719441575,64.9308403025663,75.8859223064928,64.9725429483684,"East North Central","Midwest","IN","Male","Indiana",1977
"98",14,9,0,"Cancers",76.0480474951097,94.4040924715812,112.469290772747,94.4337775767303,"East North Central","Midwest","IN","Male","Indiana",1977
"99",14,9,0,"Cardiovascular",-58.6672462390878,-25.6103864671502,9.47632452745333,-24.9946336579941,"East North Central","Midwest","IN","Male","Indiana",1977
"100",14,9,0,"Communicable",19.0479734814611,30.2411328355004,41.2830395773439,30.2614660872909,"East North Central","Midwest","IN","Male","Indiana",1977
"101",14,9,0,"Injuries",63.1404596976293,73.3068441222435,85.0779501797266,73.4338413999585,"East North Central","Midwest","IN","Male","Indiana",1977
"102",14,9,0,"Non-communicable",10.4261262100542,20.0704322289755,30.0376775939325,20.2417807886154,"East North Central","Midwest","IN","Male","Indiana",1977
"103",14,9,1,"All other causes",36.1866474719682,44.0025740695424,51.5020998925114,44.0019303568911,"East North Central","Midwest","IN","Female","Indiana",1977
