"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",15,1,0,"All other causes",42.2062089567994,74.7776261514082,121.454247221898,76.42885110064,"West North Central","Midwest","IA","Male","Iowa",1969
"2",15,1,0,"Cancers",41.2424210569898,105.61064110746,181.022972186808,108.064647463722,"West North Central","Midwest","IA","Male","Iowa",1969
"3",15,1,0,"Cardiovascular",-22.6684886267818,106.532763541349,285.107889159202,111.980768488544,"West North Central","Midwest","IA","Male","Iowa",1969
"4",15,1,0,"Communicable",14.6955175896607,48.7961030339376,116.771953401537,53.2671667876645,"West North Central","Midwest","IA","Male","Iowa",1969
"5",15,1,0,"Injuries",49.6153893485206,104.517798148645,185.395302308683,107.841545760578,"West North Central","Midwest","IA","Male","Iowa",1969
"6",15,1,0,"Non-communicable",9.19177744051919,34.7219352103587,72.9770729468427,36.0150222583489,"West North Central","Midwest","IA","Male","Iowa",1969
"7",15,1,1,"All other causes",37.7616279202939,63.2927128619016,95.3080018492649,64.5163709590533,"West North Central","Midwest","IA","Female","Iowa",1969
"8",15,1,1,"Cancers",33.3527718635082,78.418356962071,167.02338072196,82.6273746087998,"West North Central","Midwest","IA","Female","Iowa",1969
"9",15,1,1,"Cardiovascular",52.0943270686675,142.038757726431,261.593952003208,146.359952033929,"West North Central","Midwest","IA","Female","Iowa",1969
"10",15,1,1,"Communicable",3.15450856806153,19.0147409450036,40.7452699011309,19.6211871589431,"West North Central","Midwest","IA","Female","Iowa",1969
"11",15,1,1,"Injuries",-8.63108566284581,-0.748977022702285,13.8710297770853,0.358303421565873,"West North Central","Midwest","IA","Female","Iowa",1969
"12",15,1,1,"Non-communicable",39.1332825976055,61.7155329675888,94.1847817014133,62.9648829344849,"West North Central","Midwest","IA","Female","Iowa",1969
"13",15,2,0,"All other causes",41.4218714458761,73.7996956182258,112.763704343553,74.7004594050695,"West North Central","Midwest","IA","Male","Iowa",1970
"14",15,2,0,"Cancers",40.3558608907048,104.414216338587,178.576636690986,106.132605221523,"West North Central","Midwest","IA","Male","Iowa",1970
"15",15,2,0,"Cardiovascular",-28.9359016083463,79.7501511176152,219.061221972386,80.7153132418991,"West North Central","Midwest","IA","Male","Iowa",1970
"16",15,2,0,"Communicable",13.6082240575599,45.9994579952643,99.3864371265798,49.4823462762205,"West North Central","Midwest","IA","Male","Iowa",1970
"17",15,2,0,"Injuries",49.7989012718007,101.515638722973,174.300913600528,104.284377877797,"West North Central","Midwest","IA","Male","Iowa",1970
"18",15,2,0,"Non-communicable",8.42003717686701,32.5461974190315,67.3584774319341,33.9289214310466,"West North Central","Midwest","IA","Male","Iowa",1970
"19",15,2,1,"All other causes",40.0988187946963,64.669238849308,93.1026025096758,65.4001427282218,"West North Central","Midwest","IA","Female","Iowa",1970
"20",15,2,1,"Cancers",32.119763798137,79.2110689541541,156.588043231077,82.0366420436871,"West North Central","Midwest","IA","Female","Iowa",1970
"21",15,2,1,"Cardiovascular",69.0636654839041,149.779707336611,249.921198043252,151.015705647743,"West North Central","Midwest","IA","Female","Iowa",1970
"22",15,2,1,"Communicable",4.24137483196776,19.4965991037974,39.2905174929754,20.0105370992151,"West North Central","Midwest","IA","Female","Iowa",1970
"23",15,2,1,"Injuries",-8.45215419767307,-0.752208187907907,12.5158561251841,0.166677511665377,"West North Central","Midwest","IA","Female","Iowa",1970
"24",15,2,1,"Non-communicable",39.0803701388804,61.6250638351668,92.0306492893614,62.265922393486,"West North Central","Midwest","IA","Female","Iowa",1970
"25",15,3,0,"All other causes",44.9740923612209,75.6623243017955,114.145118607155,75.609028106741,"West North Central","Midwest","IA","Male","Iowa",1971
"26",15,3,0,"Cancers",38.5668448974478,100.040379139469,174.902381365751,102.983553169508,"West North Central","Midwest","IA","Male","Iowa",1971
"27",15,3,0,"Cardiovascular",-47.2856566142441,61.8931250549057,183.247513314808,62.5137280486154,"West North Central","Midwest","IA","Male","Iowa",1971
"28",15,3,0,"Communicable",16.4146247562707,44.0795832907039,90.3198743666323,47.4133124471073,"West North Central","Midwest","IA","Male","Iowa",1971
"29",15,3,0,"Injuries",50.9289954259923,101.090398849381,170.433389477619,103.454094557071,"West North Central","Midwest","IA","Male","Iowa",1971
"30",15,3,0,"Non-communicable",7.34922937731983,30.1606536222685,62.5539508440754,31.7101491041697,"West North Central","Midwest","IA","Male","Iowa",1971
"31",15,3,1,"All other causes",41.5165802661421,66.7938013850958,92.582718013555,67.0373395408274,"West North Central","Midwest","IA","Female","Iowa",1971
"32",15,3,1,"Cancers",32.4096873533012,76.3390293017678,146.68406723185,80.0847563903047,"West North Central","Midwest","IA","Female","Iowa",1971
"33",15,3,1,"Cardiovascular",65.3425755315511,136.23287132741,226.142075259858,139.15705235445,"West North Central","Midwest","IA","Female","Iowa",1971
"34",15,3,1,"Communicable",3.11368135950983,17.5972162044033,35.8086297205904,18.2161097397656,"West North Central","Midwest","IA","Female","Iowa",1971
"35",15,3,1,"Injuries",-7.63593331142765,-0.589433263983437,11.8289713060168,0.281220876239334,"West North Central","Midwest","IA","Female","Iowa",1971
"36",15,3,1,"Non-communicable",38.0478614817709,59.8750269138297,89.0015350326997,60.8698110617556,"West North Central","Midwest","IA","Female","Iowa",1971
"37",15,4,0,"All other causes",46.7704804601541,75.9356199181334,111.157395479373,76.3408732833264,"West North Central","Midwest","IA","Male","Iowa",1972
"38",15,4,0,"Cancers",37.2872612091839,97.8857726663936,168.957244411022,99.9567551127991,"West North Central","Midwest","IA","Male","Iowa",1972
"39",15,4,0,"Cardiovascular",-79.6828297981844,23.427618865237,135.879210605908,24.4682288995429,"West North Central","Midwest","IA","Male","Iowa",1972
"40",15,4,0,"Communicable",13.3479643052488,39.9498671041635,81.6537681639647,42.0855268850444,"West North Central","Midwest","IA","Male","Iowa",1972
"41",15,4,0,"Injuries",52.400677140768,100.014623259134,163.70806489479,102.273003867577,"West North Central","Midwest","IA","Male","Iowa",1972
"42",15,4,0,"Non-communicable",5.88680190804487,27.0760740043637,57.7974155815727,28.714071703024,"West North Central","Midwest","IA","Male","Iowa",1972
"43",15,4,1,"All other causes",43.3932646820666,66.0277243132824,94.7058170044234,66.8862643032141,"West North Central","Midwest","IA","Female","Iowa",1972
"44",15,4,1,"Cancers",32.5782108052647,73.4220791611447,142.914052628899,76.8201918096244,"West North Central","Midwest","IA","Female","Iowa",1972
"45",15,4,1,"Cardiovascular",46.5989127386844,118.587834253257,192.684754289142,119.137646315422,"West North Central","Midwest","IA","Female","Iowa",1972
"46",15,4,1,"Communicable",1.52882083840467,15.1541028658431,32.5092341953822,15.7123569584958,"West North Central","Midwest","IA","Female","Iowa",1972
"47",15,4,1,"Injuries",-6.78065393663342,-0.232317542788579,11.5726233460606,0.526228124903368,"West North Central","Midwest","IA","Female","Iowa",1972
"48",15,4,1,"Non-communicable",39.580870028697,58.7113573710526,82.9934121670729,59.5712978877849,"West North Central","Midwest","IA","Female","Iowa",1972
"49",15,5,0,"All other causes",49.8290356049881,75.2855444919492,109.426384074955,76.2535198712726,"West North Central","Midwest","IA","Male","Iowa",1973
"50",15,5,0,"Cancers",36.405048612614,94.729756085484,162.354300570305,95.0427398122884,"West North Central","Midwest","IA","Male","Iowa",1973
"51",15,5,0,"Cardiovascular",-51.6002340100994,40.7024963410327,156.968653486786,43.6181084799304,"West North Central","Midwest","IA","Male","Iowa",1973
"52",15,5,0,"Communicable",12.1503628095719,38.9485943808649,81.4176049117991,41.2394056748447,"West North Central","Midwest","IA","Male","Iowa",1973
"53",15,5,0,"Injuries",51.5951515931161,98.2336869187971,155.143249072988,100.449982065637,"West North Central","Midwest","IA","Male","Iowa",1973
"54",15,5,0,"Non-communicable",5.47734455258633,27.4599244324085,58.0151102022199,28.5325030258563,"West North Central","Midwest","IA","Male","Iowa",1973
"55",15,5,1,"All other causes",46.4324413164639,67.348268706284,93.4541033935419,68.1045963486772,"West North Central","Midwest","IA","Female","Iowa",1973
"56",15,5,1,"Cancers",33.5738902450243,70.3564312253182,134.413476385139,73.1472290551691,"West North Central","Midwest","IA","Female","Iowa",1973
"57",15,5,1,"Cardiovascular",51.2259244874894,123.669138564517,193.965002737674,123.532035841502,"West North Central","Midwest","IA","Female","Iowa",1973
"58",15,5,1,"Communicable",1.51611937761348,14.9973162531898,32.3424560074305,15.6985815605528,"West North Central","Midwest","IA","Female","Iowa",1973
"59",15,5,1,"Injuries",-5.81954759312479,0.643214560206882,11.6718822263026,1.27006365264731,"West North Central","Midwest","IA","Female","Iowa",1973
"60",15,5,1,"Non-communicable",38.4515039243069,57.5991953784096,78.6249950635998,58.029313742886,"West North Central","Midwest","IA","Female","Iowa",1973
"61",15,6,0,"All other causes",53.4361589369982,78.4455913040058,113.19860304959,79.7684265702698,"West North Central","Midwest","IA","Male","Iowa",1974
"62",15,6,0,"Cancers",35.7586047452488,89.2225560772079,156.302948871641,90.7412041173994,"West North Central","Midwest","IA","Male","Iowa",1974
"63",15,6,0,"Cardiovascular",-55.4838116611527,41.2013732076304,156.842429038866,43.5314415628698,"West North Central","Midwest","IA","Male","Iowa",1974
"64",15,6,0,"Communicable",11.9205196287928,36.5880017294085,73.2545243927467,38.3756327684757,"West North Central","Midwest","IA","Male","Iowa",1974
"65",15,6,0,"Injuries",55.4294021655834,98.5808003074497,150.711431556221,100.528202083405,"West North Central","Midwest","IA","Male","Iowa",1974
"66",15,6,0,"Non-communicable",5.62026529708734,26.9848203785809,54.5289423252018,28.0085859564269,"West North Central","Midwest","IA","Male","Iowa",1974
"67",15,6,1,"All other causes",48.6891115488275,69.1349936530374,96.5999176587756,69.876684253771,"West North Central","Midwest","IA","Female","Iowa",1974
"68",15,6,1,"Cancers",32.4701949926508,69.1812371394224,127.395072338584,71.0979635804939,"West North Central","Midwest","IA","Female","Iowa",1974
"69",15,6,1,"Cardiovascular",61.6653716227375,126.970814880958,194.360422847858,127.450243125036,"West North Central","Midwest","IA","Female","Iowa",1974
"70",15,6,1,"Communicable",3.26544632160004,16.3433523797997,32.6587413143956,16.7954857680836,"West North Central","Midwest","IA","Female","Iowa",1974
"71",15,6,1,"Injuries",-4.33162225227548,1.88090332253859,12.4019569066306,2.44750549455564,"West North Central","Midwest","IA","Female","Iowa",1974
"72",15,6,1,"Non-communicable",40.2741416835493,56.9021953308746,77.2956156220436,57.3632409088128,"West North Central","Midwest","IA","Female","Iowa",1974
"73",15,7,0,"All other causes",57.33289038896,81.5634987066595,113.922658280901,82.4759769578076,"West North Central","Midwest","IA","Male","Iowa",1975
"74",15,7,0,"Cancers",29.1749143135134,88.1375431712644,152.384739117937,88.7681945000399,"West North Central","Midwest","IA","Male","Iowa",1975
"75",15,7,0,"Cardiovascular",-47.3898914917433,53.5733628263848,155.143526924089,53.2166351944867,"West North Central","Midwest","IA","Male","Iowa",1975
"76",15,7,0,"Communicable",8.83035594143494,32.292412418895,65.7297364870725,33.9761832659775,"West North Central","Midwest","IA","Male","Iowa",1975
"77",15,7,0,"Injuries",54.4406857370204,97.4528514034517,146.293166204843,98.5656974756131,"West North Central","Midwest","IA","Male","Iowa",1975
"78",15,7,0,"Non-communicable",5.54575056336568,25.9252716737014,53.508848310281,26.9578878127791,"West North Central","Midwest","IA","Male","Iowa",1975
"79",15,7,1,"All other causes",49.9255035140967,69.622934640192,98.4775269703029,70.8799702188414,"West North Central","Midwest","IA","Female","Iowa",1975
"80",15,7,1,"Cancers",32.2096834075621,66.723092645487,120.806160593425,68.7339222529291,"West North Central","Midwest","IA","Female","Iowa",1975
"81",15,7,1,"Cardiovascular",79.5684315889787,141.097234321724,205.910051312511,141.711231363691,"West North Central","Midwest","IA","Female","Iowa",1975
"82",15,7,1,"Communicable",2.2361425703333,14.9214030528895,30.2052273986408,15.2510344261709,"West North Central","Midwest","IA","Female","Iowa",1975
"83",15,7,1,"Injuries",-3.07714900632519,3.08473264908724,13.088178912692,3.62716664047105,"West North Central","Midwest","IA","Female","Iowa",1975
"84",15,7,1,"Non-communicable",39.484106768471,55.8976916874858,75.1202776593841,56.3650001811543,"West North Central","Midwest","IA","Female","Iowa",1975
"85",15,8,0,"All other causes",61.3277603434638,84.4286605371917,116.431935175838,85.8177523982743,"West North Central","Midwest","IA","Male","Iowa",1976
"86",15,8,0,"Cancers",31.3941705023895,85.4730115136288,146.744724949946,86.824808592474,"West North Central","Midwest","IA","Male","Iowa",1976
"87",15,8,0,"Cardiovascular",-29.1481269124886,65.0238658590461,166.954933937078,64.1441300751567,"West North Central","Midwest","IA","Male","Iowa",1976
"88",15,8,0,"Communicable",10.6005117820561,32.6876199996363,65.5233077440922,33.9971630321102,"West North Central","Midwest","IA","Male","Iowa",1976
"89",15,8,0,"Injuries",54.209297510361,94.8090688113044,141.342732959085,95.6629810971068,"West North Central","Midwest","IA","Male","Iowa",1976
"90",15,8,0,"Non-communicable",6.72318727876683,26.353179194403,52.7256835209547,27.1662808498782,"West North Central","Midwest","IA","Male","Iowa",1976
"91",15,8,1,"All other causes",48.8183742626056,69.6086943032085,97.7565490046663,70.7877698320637,"West North Central","Midwest","IA","Female","Iowa",1976
"92",15,8,1,"Cancers",30.3650423474969,64.0755516538073,110.258129430717,65.8585303710305,"West North Central","Midwest","IA","Female","Iowa",1976
