"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",16,1,0,"All other causes",48.4943708006529,72.4855405216417,98.7267861865612,72.8500021554932,"West North Central","Midwest","KS","Male","Kansas",1969
"2",16,1,0,"Cancers",58.7934039905753,91.0146635372443,123.397732413539,90.9879859327874,"West North Central","Midwest","KS","Male","Kansas",1969
"3",16,1,0,"Cardiovascular",-19.811854930496,51.4556436484991,127.707784350345,53.3664022046333,"West North Central","Midwest","KS","Male","Kansas",1969
"4",16,1,0,"Communicable",13.6363747686648,36.5750017735493,69.749812276794,37.7409869465634,"West North Central","Midwest","KS","Male","Kansas",1969
"5",16,1,0,"Injuries",43.9936773322835,71.4790955169861,101.993443171433,71.3608841969859,"West North Central","Midwest","KS","Male","Kansas",1969
"6",16,1,0,"Non-communicable",0.0308819829233951,27.0549967319826,56.9934501588709,27.3730053255913,"West North Central","Midwest","KS","Male","Kansas",1969
"7",16,1,1,"All other causes",36.1835575721993,54.2478685358019,72.4304321165204,54.207020558375,"West North Central","Midwest","KS","Female","Kansas",1969
"8",16,1,1,"Cancers",13.9353285184627,35.7423125472353,55.2005332474241,35.1167729089271,"West North Central","Midwest","KS","Female","Kansas",1969
"9",16,1,1,"Cardiovascular",70.6585818002024,123.243517946296,184.99036395111,124.524453664998,"West North Central","Midwest","KS","Female","Kansas",1969
"10",16,1,1,"Communicable",3.71952500840391,18.1480786307835,37.0930391332775,18.5280813501262,"West North Central","Midwest","KS","Female","Kansas",1969
"11",16,1,1,"Injuries",1.16298382902454,12.8894143407348,35.3824226325277,14.1203485394337,"West North Central","Midwest","KS","Female","Kansas",1969
"12",16,1,1,"Non-communicable",33.5562043677594,52.9688628703081,72.0076656298562,52.7968567676309,"West North Central","Midwest","KS","Female","Kansas",1969
"13",16,2,0,"All other causes",51.5792841825554,73.7986372132454,98.6838861899911,74.2024915327538,"West North Central","Midwest","KS","Male","Kansas",1970
"14",16,2,0,"Cancers",61.2850601827391,90.5109419097266,117.656753492671,89.870582163357,"West North Central","Midwest","KS","Male","Kansas",1970
"15",16,2,0,"Cardiovascular",-18.1367735091996,40.7057472681506,101.775894942706,41.2288120598037,"West North Central","Midwest","KS","Male","Kansas",1970
"16",16,2,0,"Communicable",18.0249454037569,37.7104025602138,67.1983461276466,39.0736677170154,"West North Central","Midwest","KS","Male","Kansas",1970
"17",16,2,0,"Injuries",46.7424894993511,72.0361966895152,100.688800883499,72.4025837164575,"West North Central","Midwest","KS","Male","Kansas",1970
"18",16,2,0,"Non-communicable",1.8003917341637,27.6424427920452,55.4987322899272,27.71876029938,"West North Central","Midwest","KS","Male","Kansas",1970
"19",16,2,1,"All other causes",37.4083274954339,54.000953874747,71.7046643114611,54.1430074276983,"West North Central","Midwest","KS","Female","Kansas",1970
"20",16,2,1,"Cancers",14.7105523915874,35.3028466058788,53.6806476176163,34.7637205449651,"West North Central","Midwest","KS","Female","Kansas",1970
"21",16,2,1,"Cardiovascular",97.9070736439707,142.776664248447,193.21676150712,143.480630264661,"West North Central","Midwest","KS","Female","Kansas",1970
"22",16,2,1,"Communicable",6.99773821935992,20.0864204521708,36.7523702176748,20.4208095771464,"West North Central","Midwest","KS","Female","Kansas",1970
"23",16,2,1,"Injuries",1.81312789363368,13.0176465400018,33.2484696180222,14.1355878220128,"West North Central","Midwest","KS","Female","Kansas",1970
"24",16,2,1,"Non-communicable",33.6735277983215,52.3491171239258,71.494176021747,52.4140333859019,"West North Central","Midwest","KS","Female","Kansas",1970
"25",16,3,0,"All other causes",52.393619386078,74.0129445749058,96.0089295364177,74.1968781449807,"West North Central","Midwest","KS","Male","Kansas",1971
"26",16,3,0,"Cancers",59.1552020788402,86.2305840060422,113.891836458088,86.1358252544297,"West North Central","Midwest","KS","Male","Kansas",1971
"27",16,3,0,"Cardiovascular",-33.9860488981403,18.2368923469484,82.8207882818806,19.5280928581322,"West North Central","Midwest","KS","Male","Kansas",1971
"28",16,3,0,"Communicable",17.1387795116066,35.7309395545061,62.6836107165004,36.5864518658459,"West North Central","Midwest","KS","Male","Kansas",1971
"29",16,3,0,"Injuries",50.4650826023781,74.9591053284498,100.947322906629,75.0199535530531,"West North Central","Midwest","KS","Male","Kansas",1971
"30",16,3,0,"Non-communicable",4.27149244692225,27.0088199379525,52.9456546382393,27.6419069415968,"West North Central","Midwest","KS","Male","Kansas",1971
"31",16,3,1,"All other causes",38.6676289509899,54.7313524228227,71.2527207331231,54.8132831814966,"West North Central","Midwest","KS","Female","Kansas",1971
"32",16,3,1,"Cancers",13.8134683388026,34.5284655063727,52.5853728610524,33.8837427066719,"West North Central","Midwest","KS","Female","Kansas",1971
"33",16,3,1,"Cardiovascular",91.2261108978881,133.492657748246,180.470175506141,134.649928183693,"West North Central","Midwest","KS","Female","Kansas",1971
"34",16,3,1,"Communicable",9.17691720484171,20.6484487415675,36.0467447273552,20.9440388870113,"West North Central","Midwest","KS","Female","Kansas",1971
"35",16,3,1,"Injuries",2.87307965913289,13.5928840839051,31.4959892834277,14.535213275933,"West North Central","Midwest","KS","Female","Kansas",1971
"36",16,3,1,"Non-communicable",33.5912296872065,51.563648086237,69.9399668463724,51.5047607476343,"West North Central","Midwest","KS","Female","Kansas",1971
"37",16,4,0,"All other causes",51.3672217177681,73.1994945032204,94.7315119364034,73.3062785068191,"West North Central","Midwest","KS","Male","Kansas",1972
"38",16,4,0,"Cancers",60.7988155517377,85.2243328274114,109.72900612661,85.4171060560464,"West North Central","Midwest","KS","Male","Kansas",1972
"39",16,4,0,"Cardiovascular",-48.7628844428072,0.806752633667145,59.9726142356153,2.13409316917607,"West North Central","Midwest","KS","Male","Kansas",1972
"40",16,4,0,"Communicable",10.4558262593144,29.6633077503898,54.7334748026869,30.1140168212845,"West North Central","Midwest","KS","Male","Kansas",1972
"41",16,4,0,"Injuries",53.9729937937104,76.2709521379418,101.911817735182,76.4474501349162,"West North Central","Midwest","KS","Male","Kansas",1972
"42",16,4,0,"Non-communicable",4.1162765919584,26.7420588765921,49.5654717428534,26.8214516586567,"West North Central","Midwest","KS","Male","Kansas",1972
"43",16,4,1,"All other causes",41.8659864165652,57.4121266289094,73.7681167128547,57.545702135583,"West North Central","Midwest","KS","Female","Kansas",1972
"44",16,4,1,"Cancers",15.3011051335686,36.2741366507122,52.8780450016025,36.0315635784146,"West North Central","Midwest","KS","Female","Kansas",1972
"45",16,4,1,"Cardiovascular",108.030888356588,150.385619774606,192.181287396001,150.063926835995,"West North Central","Midwest","KS","Female","Kansas",1972
"46",16,4,1,"Communicable",6.95086378165276,17.5977225488776,31.3151736888552,17.9267971901876,"West North Central","Midwest","KS","Female","Kansas",1972
"47",16,4,1,"Injuries",4.18842156638338,14.3383136161294,31.1748378457179,15.1768179101607,"West North Central","Midwest","KS","Female","Kansas",1972
"48",16,4,1,"Non-communicable",34.7091623263558,50.7454279423813,68.0161093795912,51.1254053823117,"West North Central","Midwest","KS","Female","Kansas",1972
"49",16,5,0,"All other causes",50.9406320085737,72.7454017325319,93.2785378643181,72.6056330854336,"West North Central","Midwest","KS","Male","Kansas",1973
