"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",22,1,0,"All other causes",65.9238668979522,78.7286545515646,91.3330058735725,78.7378715528598,"East North Central","Midwest","MI","Male","Michigan",1969
"2",22,1,0,"Cancers",45.361951741537,59.7047678278297,75.4150222423564,60.1015211244294,"East North Central","Midwest","MI","Male","Michigan",1969
"3",22,1,0,"Cardiovascular",-107.9361828545,-70.9468702531754,-35.9767211706435,-71.6915573756009,"East North Central","Midwest","MI","Male","Michigan",1969
"4",22,1,0,"Communicable",37.1249919151194,48.8091848678002,61.2581812330144,48.7301792437338,"East North Central","Midwest","MI","Male","Michigan",1969
"5",22,1,0,"Injuries",96.8788309514181,107.752238577434,118.634056584493,107.717611336537,"East North Central","Midwest","MI","Male","Michigan",1969
"6",22,1,0,"Non-communicable",22.9967528298537,33.3540021478202,44.8982853970761,33.482535455329,"East North Central","Midwest","MI","Male","Michigan",1969
"7",22,1,1,"All other causes",45.0735831347813,52.7714088277483,61.2692198342531,52.870858121709,"East North Central","Midwest","MI","Female","Michigan",1969
"8",22,1,1,"Cancers",10.8012804774009,19.96654983749,29.111768677115,19.8166076188407,"East North Central","Midwest","MI","Female","Michigan",1969
"9",22,1,1,"Cardiovascular",30.3118073752345,57.1568385702938,88.3468415780385,57.7081764355017,"East North Central","Midwest","MI","Female","Michigan",1969
"10",22,1,1,"Communicable",12.8245834802097,18.9026661665096,25.1592253853063,18.8578982309211,"East North Central","Midwest","MI","Female","Michigan",1969
"11",22,1,1,"Injuries",4.05812507828678,8.50701448046206,13.2600158881765,8.5328515560546,"East North Central","Midwest","MI","Female","Michigan",1969
"12",22,1,1,"Non-communicable",36.5596564094126,43.4246009495378,51.5244004750147,43.5680223612617,"East North Central","Midwest","MI","Female","Michigan",1969
"13",22,2,0,"All other causes",67.9941965704437,78.6064803164495,90.6759782219251,78.7777413215955,"East North Central","Midwest","MI","Male","Michigan",1970
"14",22,2,0,"Cancers",48.6950884721498,62.0004604912414,75.2621793925082,62.1832116017909,"East North Central","Midwest","MI","Male","Michigan",1970
"15",22,2,0,"Cardiovascular",-109.251618225472,-78.6288082431096,-49.1734923764776,-78.9567359605838,"East North Central","Midwest","MI","Male","Michigan",1970
"16",22,2,0,"Communicable",40.8546919928292,51.6984590939376,62.2751581901275,51.4985211456744,"East North Central","Midwest","MI","Male","Michigan",1970
"17",22,2,0,"Injuries",104.383424764681,115.007004911118,123.867347299845,114.685148761725,"East North Central","Midwest","MI","Male","Michigan",1970
"18",22,2,0,"Non-communicable",25.6683263621764,35.1526400214721,44.8796355692306,35.2844733163314,"East North Central","Midwest","MI","Male","Michigan",1970
"19",22,2,1,"All other causes",45.7079825381339,52.486440490592,60.0787734699096,52.6334281679795,"East North Central","Midwest","MI","Female","Michigan",1970
"20",22,2,1,"Cancers",9.26205788659582,18.1054195231616,26.3017566026617,18.0568838894433,"East North Central","Midwest","MI","Female","Michigan",1970
"21",22,2,1,"Cardiovascular",44.9322189637889,69.5419244899905,93.8008419395341,69.3002550629456,"East North Central","Midwest","MI","Female","Michigan",1970
"22",22,2,1,"Communicable",15.7831985441472,20.9641104521375,26.4490808388809,20.9855188480957,"East North Central","Midwest","MI","Female","Michigan",1970
"23",22,2,1,"Injuries",4.88285518160323,9.23391331192665,13.5771663604722,9.22806432991133,"East North Central","Midwest","MI","Female","Michigan",1970
"24",22,2,1,"Non-communicable",37.2562311736836,43.9779505612498,50.2818559168193,44.0069535413251,"East North Central","Midwest","MI","Female","Michigan",1970
"25",22,3,0,"All other causes",71.9021161120329,81.8798388613513,93.2391937144422,82.1101722535855,"East North Central","Midwest","MI","Male","Michigan",1971
"26",22,3,0,"Cancers",49.8678853707571,62.6346841850851,75.2223808627335,62.5314208168168,"East North Central","Midwest","MI","Male","Michigan",1971
