"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",31,1,0,"All other causes",3.40997856609489,72.7222512569898,169.359718012119,76.9364070032515,"Mountain","West","NM","Male","New Mexico",1969
"2",31,1,0,"Cancers",12.5924637237036,87.6096452043696,190.708784520218,89.254643423473,"Mountain","West","NM","Male","New Mexico",1969
"3",31,1,0,"Cardiovascular",-202.116547261019,-48.6710723783942,165.642581581417,-40.8153858108596,"Mountain","West","NM","Male","New Mexico",1969
"4",31,1,0,"Communicable",-29.6022092047426,-4.02063851233304,38.536605771481,-1.63356014252091,"Mountain","West","NM","Male","New Mexico",1969
"5",31,1,0,"Injuries",-29.6852675481697,9.09968983154617,64.1200150010769,11.242187646464,"Mountain","West","NM","Male","New Mexico",1969
"6",31,1,0,"Non-communicable",-28.2989705487537,3.87071732151387,52.890271738672,5.70658684831973,"Mountain","West","NM","Male","New Mexico",1969
"7",31,1,1,"All other causes",-9.97639608008647,34.7590806879296,100.105590063345,37.6850501443093,"Mountain","West","NM","Female","New Mexico",1969
"8",31,1,1,"Cancers",-8.7881184913992,18.43216582727,70.9966529746868,21.2384516298971,"Mountain","West","NM","Female","New Mexico",1969
"9",31,1,1,"Cardiovascular",-144.159719991397,-5.63351271091227,196.088643838822,2.42147744130912,"Mountain","West","NM","Female","New Mexico",1969
"10",31,1,1,"Communicable",-19.4189298272374,3.00606560018887,46.6115287459137,5.29540731760363,"Mountain","West","NM","Female","New Mexico",1969
"11",31,1,1,"Injuries",-19.2665643501766,5.34146550277466,36.1577784543863,4.80203288064285,"Mountain","West","NM","Female","New Mexico",1969
"12",31,1,1,"Non-communicable",38.9454313247037,69.2736901025811,132.828460794854,73.7367417715507,"Mountain","West","NM","Female","New Mexico",1969
"13",31,2,0,"All other causes",13.3614395574448,78.855067182044,165.841085893852,82.1381112532271,"Mountain","West","NM","Male","New Mexico",1970
"14",31,2,0,"Cancers",10.6148191909356,86.9595291917188,182.651261358694,87.0089509363081,"Mountain","West","NM","Male","New Mexico",1970
"15",31,2,0,"Cardiovascular",-209.532182985999,-57.8909235833589,127.912251576394,-51.0199180015248,"Mountain","West","NM","Male","New Mexico",1970
"16",31,2,0,"Communicable",-27.7339555527418,-3.4856109348016,34.6596537586186,-1.37878220695963,"Mountain","West","NM","Male","New Mexico",1970
"17",31,2,0,"Injuries",-29.0276557884528,11.4201298473356,59.8314043061917,12.218249364536,"Mountain","West","NM","Male","New Mexico",1970
"18",31,2,0,"Non-communicable",-27.8146578414734,2.9586710098021,45.9772645797958,3.71143843447732,"Mountain","West","NM","Male","New Mexico",1970
"19",31,2,1,"All other causes",-9.58897262410219,34.5526730684259,96.4553193232364,37.0187939394452,"Mountain","West","NM","Female","New Mexico",1970
"20",31,2,1,"Cancers",-7.90461049887872,17.1272512767402,66.1175842915772,20.0997207314845,"Mountain","West","NM","Female","New Mexico",1970
"21",31,2,1,"Cardiovascular",-124.320137168165,3.36413633573804,200.027843255457,11.6803511012699,"Mountain","West","NM","Female","New Mexico",1970
"22",31,2,1,"Communicable",-19.743423299654,0.358716362789139,38.321292466449,2.91011664280994,"Mountain","West","NM","Female","New Mexico",1970
"23",31,2,1,"Injuries",-19.0304487149548,4.54864850161233,34.622774482937,4.13588130713617,"Mountain","West","NM","Female","New Mexico",1970
"24",31,2,1,"Non-communicable",38.6030095017661,68.561140851879,122.483179898638,71.7724473939648,"Mountain","West","NM","Female","New Mexico",1970
"25",31,3,0,"All other causes",8.42222439841639,67.2301135843507,142.93078706832,70.2021946933651,"Mountain","West","NM","Male","New Mexico",1971
"26",31,3,0,"Cancers",14.6028408376456,85.6612854910404,175.502314547028,85.6865320249442,"Mountain","West","NM","Male","New Mexico",1971
"27",31,3,0,"Cardiovascular",-194.623684793991,-56.0003448169775,130.025140809085,-47.4083797268391,"Mountain","West","NM","Male","New Mexico",1971
"28",31,3,0,"Communicable",-30.3113609142022,-8.20002921104246,27.2947259478663,-6.22268368704068,"Mountain","West","NM","Male","New Mexico",1971
"29",31,3,0,"Injuries",-24.4980376034066,14.0328833707363,57.6048703257925,14.8566429015174,"Mountain","West","NM","Male","New Mexico",1971
"30",31,3,0,"Non-communicable",-26.1847012514362,3.27179226340778,42.2202448011987,4.06681372442121,"Mountain","West","NM","Male","New Mexico",1971
"31",31,3,1,"All other causes",-9.56179630066687,32.7661812490449,83.4213783013543,34.2281532836474,"Mountain","West","NM","Female","New Mexico",1971
"32",31,3,1,"Cancers",-6.57784919522251,17.0921776597043,63.436202369599,19.8507556594068,"Mountain","West","NM","Female","New Mexico",1971
"33",31,3,1,"Cardiovascular",-110.774692143883,12.5477875348249,183.094938478641,18.5890358393217,"Mountain","West","NM","Female","New Mexico",1971
"34",31,3,1,"Communicable",-18.5474327151871,-0.176939418256996,35.2224216871589,1.97537234115987,"Mountain","West","NM","Female","New Mexico",1971
"35",31,3,1,"Injuries",-17.4613002863568,4.13010218665738,28.146733080149,3.66573354476189,"Mountain","West","NM","Female","New Mexico",1971
"36",31,3,1,"Non-communicable",37.2770312021986,66.3944214074112,111.510018235364,68.6668892543264,"Mountain","West","NM","Female","New Mexico",1971
"37",31,4,0,"All other causes",1.79976552013266,57.0537142875089,123.552167145864,59.3080523216871,"Mountain","West","NM","Male","New Mexico",1972
"38",31,4,0,"Cancers",14.4099464533309,84.1220407065622,174.43032242278,84.5153694644434,"Mountain","West","NM","Male","New Mexico",1972
"39",31,4,0,"Cardiovascular",-184.937024545156,-48.8812326801486,134.077271833364,-41.8673014405338,"Mountain","West","NM","Male","New Mexico",1972
"40",31,4,0,"Communicable",-38.4119073990789,-13.7916436690325,22.8758655063278,-12.7565785348629,"Mountain","West","NM","Male","New Mexico",1972
"41",31,4,0,"Injuries",-22.6516361177893,14.4283238617542,57.8525600833058,15.2478822887291,"Mountain","West","NM","Male","New Mexico",1972
"42",31,4,0,"Non-communicable",-24.1357582745782,3.90628719651345,40.1830131388092,4.22109456711657,"Mountain","West","NM","Male","New Mexico",1972
"43",31,4,1,"All other causes",-10.5965740082511,29.7019685292443,77.147743475283,30.8525174157621,"Mountain","West","NM","Female","New Mexico",1972
"44",31,4,1,"Cancers",-5.58353132577913,17.8898082003294,60.8075893284118,20.4678908045826,"Mountain","West","NM","Female","New Mexico",1972
"45",31,4,1,"Cardiovascular",-101.249519179009,20.6830855193083,191.221071249917,27.0740226897023,"Mountain","West","NM","Female","New Mexico",1972
"46",31,4,1,"Communicable",-18.9346846353446,-0.484277446321965,29.7036555545648,0.574366081843928,"Mountain","West","NM","Female","New Mexico",1972
"47",31,4,1,"Injuries",-15.8371630679708,4.26741196065298,26.5936854504396,3.75517415476682,"Mountain","West","NM","Female","New Mexico",1972
"48",31,4,1,"Non-communicable",37.225818559595,64.7092767545289,103.981303293163,66.2128528660485,"Mountain","West","NM","Female","New Mexico",1972
"49",31,5,0,"All other causes",2.8438661161941,53.3212600094199,113.686283785202,55.6942301922355,"Mountain","West","NM","Male","New Mexico",1973
"50",31,5,0,"Cancers",13.2095483594358,81.2575187085672,169.138328450513,83.2762032200553,"Mountain","West","NM","Male","New Mexico",1973
