"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",32,1,0,"All other causes",155.355049059847,167.779390554373,181.925530786569,167.994373147235,"Mid-Atlantic","Northeast","NY","Male","New York",1969
"2",32,1,0,"Cancers",57.0786426983301,69.6661782645288,84.3046306032964,70.0860540241296,"Mid-Atlantic","Northeast","NY","Male","New York",1969
"3",32,1,0,"Cardiovascular",-117.787659668979,-87.4812627424923,-57.328913422593,-87.3525356245829,"Mid-Atlantic","Northeast","NY","Male","New York",1969
"4",32,1,0,"Communicable",53.7138434732326,65.434022579255,77.9863496809504,65.6531180721141,"Mid-Atlantic","Northeast","NY","Male","New York",1969
"5",32,1,0,"Injuries",55.736170167393,62.9929179333788,70.1463814254792,63.0234310699385,"Mid-Atlantic","Northeast","NY","Male","New York",1969
"6",32,1,0,"Non-communicable",82.1583058574729,91.8824903059953,102.874267353795,92.0498545595994,"Mid-Atlantic","Northeast","NY","Male","New York",1969
"7",32,1,1,"All other causes",72.4386386151871,80.4008548114703,88.065483785637,80.4749413473303,"Mid-Atlantic","Northeast","NY","Female","New York",1969
"8",32,1,1,"Cancers",0.662947107872115,7.47929287006112,14.5823961609692,7.45823638765425,"Mid-Atlantic","Northeast","NY","Female","New York",1969
"9",32,1,1,"Cardiovascular",-16.9829889683145,5.22156140431747,27.5692147607413,5.02702980959654,"Mid-Atlantic","Northeast","NY","Female","New York",1969
"10",32,1,1,"Communicable",23.1399562565589,30.4018641917463,38.2984582419689,30.4429510134143,"Mid-Atlantic","Northeast","NY","Female","New York",1969
"11",32,1,1,"Injuries",3.02361637379286,6.10526007152599,9.49561268251478,6.12436744732843,"Mid-Atlantic","Northeast","NY","Female","New York",1969
"12",32,1,1,"Non-communicable",53.9147914474228,59.594418948935,65.9666018537761,59.7454668691905,"Mid-Atlantic","Northeast","NY","Female","New York",1969
"13",32,2,0,"All other causes",144.823351250277,156.173259053474,168.939521603017,156.287453015821,"Mid-Atlantic","Northeast","NY","Male","New York",1970
"14",32,2,0,"Cancers",56.6253757470236,68.4968828033166,80.8105830386962,68.5826799220905,"Mid-Atlantic","Northeast","NY","Male","New York",1970
"15",32,2,0,"Cardiovascular",-104.575733310578,-80.7651669091249,-56.2027358706481,-80.9152963449617,"Mid-Atlantic","Northeast","NY","Male","New York",1970
"16",32,2,0,"Communicable",55.612257051657,64.9023439833988,75.8403309117862,64.8752602916707,"Mid-Atlantic","Northeast","NY","Male","New York",1970
"17",32,2,0,"Injuries",65.8823564026343,71.869935364771,78.776411693056,71.9554124885114,"Mid-Atlantic","Northeast","NY","Male","New York",1970
"18",32,2,0,"Non-communicable",80.0163599634706,88.9591329290426,97.6986808404378,89.0483172812415,"Mid-Atlantic","Northeast","NY","Male","New York",1970
"19",32,2,1,"All other causes",75.7546793583088,82.6788786680634,90.0240345904338,82.8328347140763,"Mid-Atlantic","Northeast","NY","Female","New York",1970
"20",32,2,1,"Cancers",1.68528516005748,7.85621039772647,14.1493094516181,7.90217926779245,"Mid-Atlantic","Northeast","NY","Female","New York",1970
"21",32,2,1,"Cardiovascular",0.497318367334296,19.451747699677,38.1906426084282,19.4840509542169,"Mid-Atlantic","Northeast","NY","Female","New York",1970
"22",32,2,1,"Communicable",25.1488966057843,31.1999549967816,37.1965874312521,31.216343555446,"Mid-Atlantic","Northeast","NY","Female","New York",1970
"23",32,2,1,"Injuries",4.57740777229792,7.21865447982854,10.0021157019023,7.19012785632307,"Mid-Atlantic","Northeast","NY","Female","New York",1970
"24",32,2,1,"Non-communicable",52.6342806409743,57.5067872908998,63.0219267375053,57.7151496494092,"Mid-Atlantic","Northeast","NY","Female","New York",1970
"25",32,3,0,"All other causes",138.422231903192,149.040736450761,159.831472421265,148.90508291257,"Mid-Atlantic","Northeast","NY","Male","New York",1971
"26",32,3,0,"Cancers",55.567260709578,66.9015009845898,79.2380248873803,66.9223116278953,"Mid-Atlantic","Northeast","NY","Male","New York",1971
"27",32,3,0,"Cardiovascular",-112.929659818845,-90.3455379085783,-66.2815666427414,-90.5695433288748,"Mid-Atlantic","Northeast","NY","Male","New York",1971
"28",32,3,0,"Communicable",56.8547306835289,66.52043167409,77.7519156643315,66.4948724841886,"Mid-Atlantic","Northeast","NY","Male","New York",1971
"29",32,3,0,"Injuries",73.0146992309096,79.1143434153784,85.8923280641512,79.1632930886626,"Mid-Atlantic","Northeast","NY","Male","New York",1971
"30",32,3,0,"Non-communicable",73.3509173207769,81.1641812870863,90.6164699024822,81.3193878170862,"Mid-Atlantic","Northeast","NY","Male","New York",1971
"31",32,3,1,"All other causes",70.5635817310853,76.8549035684035,83.4339028135987,76.9342066019887,"Mid-Atlantic","Northeast","NY","Female","New York",1971
"32",32,3,1,"Cancers",5.01143950072413,10.8727626521126,17.1320526294754,10.9200739736759,"Mid-Atlantic","Northeast","NY","Female","New York",1971
"33",32,3,1,"Cardiovascular",-3.28440520928994,16.1545747144561,34.5732718025996,15.6909188278109,"Mid-Atlantic","Northeast","NY","Female","New York",1971
"34",32,3,1,"Communicable",24.3051108118265,29.7953023400999,35.6552912638777,29.7812040470034,"Mid-Atlantic","Northeast","NY","Female","New York",1971
"35",32,3,1,"Injuries",4.97771091999241,7.46238877294107,10.1657101928648,7.45236828855482,"Mid-Atlantic","Northeast","NY","Female","New York",1971
"36",32,3,1,"Non-communicable",52.2025086819586,57.1544284433086,62.3638370581872,57.2611573819212,"Mid-Atlantic","Northeast","NY","Female","New York",1971
"37",32,4,0,"All other causes",136.895338247983,147.643476351279,158.539042713763,147.616010042928,"Mid-Atlantic","Northeast","NY","Male","New York",1972
"38",32,4,0,"Cancers",57.275725099763,67.9920034809193,80.0331721222703,68.2794818805819,"Mid-Atlantic","Northeast","NY","Male","New York",1972
"39",32,4,0,"Cardiovascular",-108.006489438939,-84.5438422878079,-60.099854489985,-84.4773328653437,"Mid-Atlantic","Northeast","NY","Male","New York",1972
"40",32,4,0,"Communicable",46.3212066598774,54.8133738681348,63.6087016026995,54.9141617509069,"Mid-Atlantic","Northeast","NY","Male","New York",1972
"41",32,4,0,"Injuries",79.1442068086949,85.4662873972312,92.2138749610931,85.5118792492177,"Mid-Atlantic","Northeast","NY","Male","New York",1972
"42",32,4,0,"Non-communicable",76.2156964406243,83.8804133000795,92.4434140828702,83.9550131910781,"Mid-Atlantic","Northeast","NY","Male","New York",1972
"43",32,4,1,"All other causes",66.993479869924,73.1555817981389,79.4076530016574,73.1506003260653,"Mid-Atlantic","Northeast","NY","Female","New York",1972
"44",32,4,1,"Cancers",4.95743981820326,10.8487776225111,16.5159181374796,10.7860635891144,"Mid-Atlantic","Northeast","NY","Female","New York",1972
"45",32,4,1,"Cardiovascular",0.611023252563692,18.2321236414015,37.3143227673083,18.5005707294538,"Mid-Atlantic","Northeast","NY","Female","New York",1972
"46",32,4,1,"Communicable",20.1648866200944,25.590391513302,31.4182250726065,25.6889463867441,"Mid-Atlantic","Northeast","NY","Female","New York",1972
"47",32,4,1,"Injuries",5.12790138876473,7.42982329540063,9.96297207716333,7.49061722880833,"Mid-Atlantic","Northeast","NY","Female","New York",1972
"48",32,4,1,"Non-communicable",51.9385321265415,56.5660005049641,62.1773943207549,56.5675166768826,"Mid-Atlantic","Northeast","NY","Female","New York",1972
"49",32,5,0,"All other causes",123.626716700302,133.522383922405,143.909436358177,133.759451328689,"Mid-Atlantic","Northeast","NY","Male","New York",1973
"50",32,5,0,"Cancers",54.0919283069281,65.7454920733146,76.6403702470718,65.757310971136,"Mid-Atlantic","Northeast","NY","Male","New York",1973
"51",32,5,0,"Cardiovascular",-113.17183511757,-90.3726290206915,-68.2054598504888,-90.3964610275884,"Mid-Atlantic","Northeast","NY","Male","New York",1973
"52",32,5,0,"Communicable",42.6578475562548,51.9383631917575,61.754876898593,52.0270231445107,"Mid-Atlantic","Northeast","NY","Male","New York",1973
"53",32,5,0,"Injuries",71.1130908843385,77.0238215506674,83.1280430149402,77.1498226687934,"Mid-Atlantic","Northeast","NY","Male","New York",1973
"54",32,5,0,"Non-communicable",72.521223492889,80.4748845970756,89.2372864707275,80.5726812248825,"Mid-Atlantic","Northeast","NY","Male","New York",1973
"55",32,5,1,"All other causes",61.560963336543,67.2967497132826,73.5790969676422,67.4074855407507,"Mid-Atlantic","Northeast","NY","Female","New York",1973
"56",32,5,1,"Cancers",4.13694188960061,10.0819266876812,15.5509125906152,9.98385635192834,"Mid-Atlantic","Northeast","NY","Female","New York",1973
"57",32,5,1,"Cardiovascular",7.60243920918048,24.523318754389,42.2275230372354,24.3681145503191,"Mid-Atlantic","Northeast","NY","Female","New York",1973
"58",32,5,1,"Communicable",17.1336139028033,22.0865533061799,27.3040374080378,22.0876463219028,"Mid-Atlantic","Northeast","NY","Female","New York",1973
"59",32,5,1,"Injuries",5.3326979904127,7.62976784837164,9.98942759494616,7.63813413535386,"Mid-Atlantic","Northeast","NY","Female","New York",1973
"60",32,5,1,"Non-communicable",52.5198115510414,57.3088459221644,62.3263709015763,57.2732567810478,"Mid-Atlantic","Northeast","NY","Female","New York",1973
