"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",39,1,0,"All other causes",61.6036484335068,109.906346222246,162.320105839242,110.073846218431,"New England","Northeast","RI","Male","Rhode Island",1969
"2",39,1,0,"Cancers",5.88675478590165,113.815355385654,258.113329048718,116.906420414045,"New England","Northeast","RI","Male","Rhode Island",1969
"3",39,1,0,"Cardiovascular",-363.992632658021,-208.335391368893,-0.765706559754804,-200.2363156099,"New England","Northeast","RI","Male","Rhode Island",1969
"4",39,1,0,"Communicable",19.075621067458,62.1144076377256,141.152665950049,66.4593422375786,"New England","Northeast","RI","Male","Rhode Island",1969
"5",39,1,0,"Injuries",33.405848440615,72.220486228176,122.252989448787,73.4859505921381,"New England","Northeast","RI","Male","Rhode Island",1969
"6",39,1,0,"Non-communicable",10.95427905078,61.3861699092795,136.679065617159,64.2254676776647,"New England","Northeast","RI","Male","Rhode Island",1969
"7",39,1,1,"All other causes",30.8096603261425,63.6893598822994,105.426888512917,64.7727209184548,"New England","Northeast","RI","Female","Rhode Island",1969
"8",39,1,1,"Cancers",-2.52902405817349,44.5156913103565,109.128362169174,47.6766845674674,"New England","Northeast","RI","Female","Rhode Island",1969
"9",39,1,1,"Cardiovascular",-151.942703941451,-21.5124495343798,151.676655978758,-14.8993275011811,"New England","Northeast","RI","Female","Rhode Island",1969
"10",39,1,1,"Communicable",5.41429225936879,23.8268446378421,49.7598004077814,24.7999070717763,"New England","Northeast","RI","Female","Rhode Island",1969
"11",39,1,1,"Injuries",-2.59913811817034,9.60698171391391,26.8777880233405,10.0825811691208,"New England","Northeast","RI","Female","Rhode Island",1969
"12",39,1,1,"Non-communicable",26.0194912679543,59.0621954059363,115.384255151365,62.2062654181301,"New England","Northeast","RI","Female","Rhode Island",1969
"13",39,2,0,"All other causes",66.6395509745757,111.834927843252,157.798810867065,111.356623894693,"New England","Northeast","RI","Male","Rhode Island",1970
"14",39,2,0,"Cancers",11.2638726976732,112.372732215354,240.696336774936,115.119183015664,"New England","Northeast","RI","Male","Rhode Island",1970
"15",39,2,0,"Cardiovascular",-374.801322972817,-231.896588685929,-21.3985982821151,-222.495988341917,"New England","Northeast","RI","Male","Rhode Island",1970
"16",39,2,0,"Communicable",15.31958163284,52.8482980397159,109.541458488532,55.3893756517492,"New England","Northeast","RI","Male","Rhode Island",1970
"17",39,2,0,"Injuries",33.5957403721588,70.3122182663895,112.273660027016,70.4200011546961,"New England","Northeast","RI","Male","Rhode Island",1970
"18",39,2,0,"Non-communicable",10.33632469972,54.3729087911672,119.373986538512,57.3424423668632,"New England","Northeast","RI","Male","Rhode Island",1970
"19",39,2,1,"All other causes",28.7757663324842,58.9914424379196,94.9848321936948,59.4638510631645,"New England","Northeast","RI","Female","Rhode Island",1970
"20",39,2,1,"Cancers",-2.88722717693646,42.2769144178933,99.6454130011381,44.8407351498762,"New England","Northeast","RI","Female","Rhode Island",1970
"21",39,2,1,"Cardiovascular",-143.167833959508,-25.1870734351284,119.066665665128,-21.8519464561161,"New England","Northeast","RI","Female","Rhode Island",1970
"22",39,2,1,"Communicable",6.37738486581733,22.4474386358293,46.3784072600935,23.5479367702079,"New England","Northeast","RI","Female","Rhode Island",1970
