"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",48,1,0,"All other causes",130.947086193618,174.483696760593,223.332035650981,175.32449302145,"South Atlantic","South","WV","Male","West Virginia",1969
"2",48,1,0,"Cancers",41.5606004901362,75.3254518896512,110.928364138154,75.6136873499337,"South Atlantic","South","WV","Male","West Virginia",1969
"3",48,1,0,"Cardiovascular",82.9812023183855,169.947400664913,256.530607681962,169.026523254833,"South Atlantic","South","WV","Male","West Virginia",1969
"4",48,1,0,"Communicable",-0.0818213867441729,24.844635630631,65.0060717645382,26.4440401049062,"South Atlantic","South","WV","Male","West Virginia",1969
"5",48,1,0,"Injuries",15.4202551768002,50.1472175493467,90.1328048001278,50.6048705028219,"South Atlantic","South","WV","Male","West Virginia",1969
"6",48,1,0,"Non-communicable",29.5373709634278,55.2320702331468,79.0854246017055,55.087288934056,"South Atlantic","South","WV","Male","West Virginia",1969
"7",48,1,1,"All other causes",36.9125243964068,62.4714642075037,95.6824546037352,63.5498100781654,"South Atlantic","South","WV","Female","West Virginia",1969
"8",48,1,1,"Cancers",5.79748737011821,26.5010405827114,49.4358524200296,26.8861232259475,"South Atlantic","South","WV","Female","West Virginia",1969
"9",48,1,1,"Cardiovascular",46.2867913030707,119.359003518435,188.384606522737,119.017499467626,"South Atlantic","South","WV","Female","West Virginia",1969
"10",48,1,1,"Communicable",-6.79124718356105,4.86153680415431,26.3422190072867,6.08275355539027,"South Atlantic","South","WV","Female","West Virginia",1969
"11",48,1,1,"Injuries",-4.46488743121125,5.21687871077532,17.6740356866968,5.65493758059653,"South Atlantic","South","WV","Female","West Virginia",1969
"12",48,1,1,"Non-communicable",42.1233510383581,64.3069085965816,89.6091521320169,64.7463146965681,"South Atlantic","South","WV","Female","West Virginia",1969
"13",48,2,0,"All other causes",134.679321107616,170.506166336699,214.752667653589,172.567029565739,"South Atlantic","South","WV","Male","West Virginia",1970
"14",48,2,0,"Cancers",41.0490317347749,74.7308952196131,108.876017827112,74.9305414055971,"South Atlantic","South","WV","Male","West Virginia",1970
"15",48,2,0,"Cardiovascular",70.5522938793909,151.804094745057,223.192175901797,150.267783433038,"South Atlantic","South","WV","Male","West Virginia",1970
"16",48,2,0,"Communicable",1.86621169261363,24.7189225264887,62.0333539181134,26.8693594271907,"South Atlantic","South","WV","Male","West Virginia",1970
"17",48,2,0,"Injuries",17.2059747050867,49.4961935556822,90.6204777834281,50.1735077592452,"South Atlantic","South","WV","Male","West Virginia",1970
"18",48,2,0,"Non-communicable",32.5679006162555,55.8091829275164,78.3738292145404,55.3872387766533,"South Atlantic","South","WV","Male","West Virginia",1970
"19",48,2,1,"All other causes",40.1953092727186,62.4913664448438,90.9543467098807,63.4660194499615,"South Atlantic","South","WV","Female","West Virginia",1970
"20",48,2,1,"Cancers",6.7913102001124,26.378900818358,46.4447355810642,26.3445809150914,"South Atlantic","South","WV","Female","West Virginia",1970
"21",48,2,1,"Cardiovascular",82.0035378613536,134.080357603729,199.033973368206,135.324205304283,"South Atlantic","South","WV","Female","West Virginia",1970
"22",48,2,1,"Communicable",-4.41055965309058,6.83471167010897,24.9753696401769,7.75097197238109,"South Atlantic","South","WV","Female","West Virginia",1970
"23",48,2,1,"Injuries",-3.82151328610492,5.32742369360903,16.2923708981637,5.49975141880219,"South Atlantic","South","WV","Female","West Virginia",1970
"24",48,2,1,"Non-communicable",40.7864850444464,61.622730197262,86.3220219118934,61.9043702105591,"South Atlantic","South","WV","Female","West Virginia",1970
"25",48,3,0,"All other causes",134.717351456582,168.089121651098,208.497341027902,169.371781211165,"South Atlantic","South","WV","Male","West Virginia",1971
"26",48,3,0,"Cancers",43.0916013739018,75.6042901549477,106.516696743271,75.232569518016,"South Atlantic","South","WV","Male","West Virginia",1971
"27",48,3,0,"Cardiovascular",56.4420912193522,129.102077914367,202.435328079686,129.957722062563,"South Atlantic","South","WV","Male","West Virginia",1971
"28",48,3,0,"Communicable",6.20226180357038,27.2355906929575,63.1207238355082,29.2639696251206,"South Atlantic","South","WV","Male","West Virginia",1971
"29",48,3,0,"Injuries",22.7984997361137,52.5190432189284,93.8013261139412,53.8496856728804,"South Atlantic","South","WV","Male","West Virginia",1971
