stnum	gender	year	deathsw	popw	deathsb	popb
1	0	1990	15086	1451368	5563	470843
1	0	1991	15416	1466842	5604	478799
1	0	1992	15153	1483874	5498	489321
1	0	1993	15307	1502593	5557	500063
1	0	1994	15692	1515821	5587	509092
1	0	1995	15878	1527045	5787	515742
1	0	1996	16150	1538349	5615	520918
1	0	1997	16296	1549462	5536	528001
1	0	1998	16517	1562991	5472	533599
1	0	1999	16577	1570643	5576	539198
1	0	2000	16815	1576062	5491	543195
1	0	2001	16593	1579213	5544	546671
1	0	2002	17008	1581601	5578	548932
1	0	2003	17221	1588053	5620	552396
1	0	2004	17196	1593787	5480	555151
1	0	2005	17427	1603038	5663	559813
1	0	2006	17549	1621206	5717	568256
1	0	2007	17775	1634613	5612	573815
1	0	2008	17935	1645795	5625	580407
1	0	2009	18197	1656173	5594	585574
1	1	1990	13635	1536396	5040	553355
1	1	1991	13959	1551937	5037	561481
1	1	1992	13659	1567806	4973	571306
1	1	1993	15119	1585856	5199	581416
1	1	1994	15161	1598568	5174	590501
1	1	1995	15463	1607048	5158	598291
1	1	1996	15782	1616610	5196	604175
1	1	1997	16087	1625381	5256	612119
1	1	1998	16468	1635049	5385	618649
1	1	1999	17046	1640665	5504	623475
1	1	2000	17226	1643882	5414	627527
1	1	2001	17526	1645396	5555	630230
1	1	2002	17716	1646009	5647	631666
1	1	2003	18135	1649621	5592	634258
1	1	2004	17695	1655977	5615	638377
1	1	2005	18271	1664282	5579	642674
1	1	2006	17961	1681661	5552	652194
1	1	2007	17725	1694390	5424	658276
1	1	2008	18441	1706127	5499	665698
1	1	2009	18095	1714615	5386	670195
2	0	1990	967	225742	0	12470
2	0	1991	951	232300	0	12605
2	0	1992	969	239360	0	13440
2	0	1993	1027	242055	0	14344
2	0	1994	1016	242242	0	13798
2	0	1995	1132	241228	0	13063
2	0	1996	1084	240895	0	12972
2	0	1997	1073	240363	0	13341
2	0	1998	1068	241625	0	13747
2	0	1999	1105	242016	0	13900
2	0	2000	1168	240981	0	14037
2	0	2001	1218	243089	0	14662
2	0	2002	1253	246295	10	15266
2	0	2003	1303	248553	0	15414
2	0	2004	1254	253309	0	16119
2	0	2005	1256	256682	0	16602
2	0	2006	1332	259706	0	16822
2	0	2007	1387	261637	10	17443
2	0	2008	1409	264618	0	18300
2	0	2009	1436	265775	12	18027
2	1	1990	525	197534	0	10195
2	1	1991	546	204061	0	10425
2	1	1992	587	209932	0	11304
2	1	1993	600	212940	0	12233
2	1	1994	671	214432	0	12331
2	1	1995	672	215737	0	11791
2	1	1996	711	216874	0	11491
2	1	1997	706	217545	0	12011
2	1	1998	717	218931	0	12447
2	1	1999	764	220036	0	12710
2	1	2000	888	219691	0	12812
2	1	2001	871	221036	0	13177
2	1	2002	855	223801	0	13814
2	1	2003	907	226564	0	14236
2	1	2004	858	229446	0	14577
2	1	2005	920	231199	0	14761
2	1	2006	1020	233784	0	15064
2	1	2007	1022	234586	0	15344
2	1	2008	1023	235194	0	15641
2	1	2009	1059	240336	0	16275
3	0	1990	14636	1626280	396	60277
3	0	1991	14981	1670360	423	63303
3	0	1992	15863	1726281	465	66125
3	0	1993	16788	1792560	443	68954
3	0	1994	17150	1873810	532	73396
3	0	1995	17588	1957485	529	77955
3	0	1996	18167	2026609	482	81961
3	0	1997	18100	2095145	511	85452
3	0	1998	18751	2161465	519	89380
3	0	1999	19681	2225387	552	92706
3	0	2000	19639	2290486	554	96622
3	0	2001	19896	2349852	561	101793
3	0	2002	20939	2412772	563	107384
3	0	2003	21005	2470358	624	112370
3	0	2004	20967	2541815	603	119418
3	0	2005	22204	2632076	625	128086
3	0	2006	22310	2722168	764	138428
3	0	2007	22003	2791462	700	147283
3	0	2008	22172	2845936	723	155632
3	0	2009	21928	2882332	697	162721
3	1	1990	12115	1666906	245	55519
3	1	1991	12474	1710081	279	58691
3	1	1992	12921	1764412	296	61492
3	1	1993	14194	1828105	310	64298
3	1	1994	14691	1904925	329	68552
3	1	1995	15242	1984303	347	72469
3	1	1996	15855	2049348	380	75907
3	1	1997	16363	2112672	379	78993
3	1	1998	16846	2176043	397	82060
3	1	1999	17546	2235195	405	84913
3	1	2000	17996	2294857	425	88189
3	1	2001	18118	2351011	453	93480
3	1	2002	19002	2410769	372	98919
3	1	2003	19195	2467881	499	104507
3	1	2004	19168	2535241	471	111347
3	1	2005	20333	2621990	548	119998
3	1	2006	20717	2705023	506	129990
3	1	2007	20138	2769142	558	138743
3	1	2008	20077	2820147	569	147095
3	1	2009	20035	2855511	620	154410
4	0	1990	10827	950092	2180	174235
4	0	1991	10992	961535	2171	176726
4	0	1992	10983	974482	2112	180059
4	0	1993	11563	990430	2174	183653
4	0	1994	11587	1007063	2100	186012
4	0	1995	11655	1024618	2170	189107
4	0	1996	11582	1039552	2017	192760
4	0	1997	11956	1051586	2054	195240
4	0	1998	11711	1062455	2077	197552
4	0	1999	11943	1073571	2029	199799
4	0	2000	12018	1084360	1991	201429
4	0	2001	11920	1088782	1907	202989
4	0	2002	12168	1093760	1898	204418
4	0	2003	11932	1100703	1984	206050
4	0	2004	11693	1110002	1925	207917
4	0	2005	12088	1121625	1966	209982
4	0	2006	12038	1135995	2002	213676
4	0	2007	12105	1146649	1927	215452
4	0	2008	12577	1155084	2059	218290
4	0	2009	12533	1162220	1948	220775
4	1	1990	9675	1006519	1903	201135
4	1	1991	9878	1016127	1930	203468
4	1	1992	9914	1028350	1873	206673
4	1	1993	10729	1044078	1979	210141
4	1	1994	10653	1059197	1860	212526
4	1	1995	10812	1074863	1972	215520
4	1	1996	10997	1087518	1843	218690
4	1	1997	11742	1097570	1955	221051
4	1	1998	11638	1105664	1977	223228
4	1	1999	11855	1114373	1994	224639
4	1	2000	12057	1122218	2031	225834
4	1	2001	11920	1125880	1902	227213
4	1	2002	12222	1130035	2038	228367
4	1	2003	11981	1135507	1864	229501
4	1	2004	11920	1143385	1876	231685
4	1	2005	11904	1154668	1946	233534
4	1	2006	11754	1168384	1924	237783
4	1	2007	12058	1178585	1924	239532
4	1	2008	12617	1187279	1852	242704
4	1	2009	12069	1194372	1890	244698
5	0	1990	97595	12235402	9797	1154257
5	0	1991	97444	12394632	10079	1170986
5	0	1992	97568	12553581	9993	1185200
5	0	1993	99577	12624753	10405	1188502
5	0	1994	99866	12660852	10361	1189218
5	0	1995	99616	12702578	10147	1190468
5	0	1996	97151	12793592	9721	1197412
5	0	1997	96661	12946925	9261	1206551
5	0	1998	96942	13124408	9362	1217671
5	0	1999	96911	13289192	9214	1228282
5	0	2000	96823	13454816	9254	1237969
5	0	2001	98199	13634578	9558	1248209
5	0	2002	98653	13772462	9756	1254873
5	0	2003	100732	13899084	9822	1259802
5	0	2004	97623	14010025	9747	1266491
5	0	2005	99614	14094636	10051	1270799
5	0	2006	99921	14148274	9802	1273776
5	0	2007	98208	14232860	9706	1278532
5	0	2008	98232	14357602	9391	1287843
5	0	2009	97998	14493939	9390	1300589
5	1	1990	89498	12118836	7661	1168114
5	1	1991	89365	12280028	7631	1190551
5	1	1992	89259	12434181	7821	1209410
5	1	1993	92099	12506487	8060	1218107
5	1	1994	93349	12553401	8126	1222513
5	1	1995	93262	12595432	8104	1228166
5	1	1996	94673	12690865	8408	1237485
5	1	1997	96270	12848152	8250	1248857
5	1	1998	97538	13017282	8411	1260010
5	1	1999	99144	13203242	8795	1274187
5	1	2000	98974	13373458	8550	1285230
5	1	2001	100650	13526989	8825	1294469
5	1	2002	100001	13650157	8968	1301745
5	1	2003	101630	13778462	9055	1308994
5	1	2004	98051	13866236	8936	1314116
5	1	2005	99289	13914778	9062	1314905
5	1	2006	98703	13947761	9012	1316163
5	1	2007	96618	14008906	8985	1317269
5	1	2008	97189	14111692	8901	1325338
5	1	2009	95379	14224878	8737	1337873
6	0	1990	10659	1524247	400	69899
6	0	1991	11102	1561409	418	72785
6	0	1992	11160	1612968	431	75541
6	0	1993	11459	1667772	483	78543
6	0	1994	11968	1719385	493	81224
6	0	1995	12123	1767688	515	83285
6	0	1996	12237	1811015	466	85277
6	0	1997	12265	1856972	472	87795
6	0	1998	12636	1902138	476	91458
6	0	1999	12777	1952428	520	94708
6	0	2000	12793	1997070	516	98835
6	0	2001	13114	2044202	520	102845
6	0	2002	13870	2074545	538	105707
6	0	2003	13787	2089604	590	106784
6	0	2004	13534	2112194	521	110464
6	0	2005	14077	2135294	569	111720
6	0	2006	13849	2175312	562	115699
6	0	2007	14358	2213554	548	118876
6	0	2008	14904	2254353	615	123091
6	0	2009	14786	2292132	638	127704
6	1	1990	10002	1553568	277	66727
6	1	1991	10450	1586059	346	69305
6	1	1992	10261	1630712	299	72371
6	1	1993	11144	1680189	368	75419
6	1	1994	11097	1727306	360	77672
6	1	1995	11616	1770171	393	79274
6	1	1996	12293	1808880	367	81395
6	1	1997	12124	1848917	421	83511
6	1	1998	12714	1886832	411	86014
6	1	1999	12953	1930473	453	88362
6	1	2000	13062	1968297	450	91133
6	1	2001	13748	2010307	395	94720
6	1	2002	13886	2039044	454	97628
6	1	2003	14181	2061012	459	99205
6	1	2004	13358	2078513	405	101416
6	1	2005	13970	2107682	485	103628
6	1	2006	14129	2145656	402	107319
6	1	2007	14134	2184017	469	110400
6	1	2008	14678	2221432	466	113847
6	1	2009	14609	2256930	481	117771
7	0	1990	12573	1430276	1004	134978
7	0	1991	12831	1428461	1044	139086
7	0	1992	12859	1422419	1123	141277
7	0	1993	12993	1420989	1152	144552
7	0	1994	13041	1420070	1250	147018
7	0	1995	13168	1420040	1138	148889
7	0	1996	13017	1421613	1091	151534
