"","X","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year","state.reorder"
"1",1,0,1,0,"All other causes",148.187922756544,165.455030538466,183.066129002359,165.504432188953,"East South Central","South","AL","Male","Alabama",1969,"Alabama"
"2",2,0,1,0,"Cancers",-4.57859026289913,7.61934924097712,21.7295007565896,7.77999751047021,"East South Central","South","AL","Male","Alabama",1969,"Alabama"
"3",3,0,1,0,"Cardiovascular",-68.9089020141901,-35.8670755160051,-0.312193590405028,-35.4187212562935,"East South Central","South","AL","Male","Alabama",1969,"Alabama"
"4",4,0,1,0,"Communicable",34.5156150344354,44.5223262871918,54.9230561204691,44.6159245473096,"East South Central","South","AL","Male","Alabama",1969,"Alabama"
"5",5,0,1,0,"Injuries",90.1429469826696,103.726462811972,117.547847377898,103.648684610881,"East South Central","South","AL","Male","Alabama",1969,"Alabama"
"6",6,0,1,0,"Non-communicable",-6.81941368555256,1.32943469034643,9.2240165243422,1.26972593429685,"East South Central","South","AL","Male","Alabama",1969,"Alabama"
"7",7,0,1,1,"All other causes",117.613163233686,129.318696949577,140.36521477105,129.144275581425,"East South Central","South","AL","Female","Alabama",1969,"Alabama"
"8",8,0,1,1,"Cancers",14.4575345866413,21.7677248778506,30.0651550885428,21.8295819308421,"East South Central","South","AL","Female","Alabama",1969,"Alabama"
"9",9,0,1,1,"Cardiovascular",116.929611891268,143.279003889991,170.995433948385,143.493728310012,"East South Central","South","AL","Female","Alabama",1969,"Alabama"
"10",10,0,1,1,"Communicable",4.972170489731,10.4544217666618,15.9976056798474,10.4889105599312,"East South Central","South","AL","Female","Alabama",1969,"Alabama"
"11",11,0,1,1,"Injuries",8.41596047595934,13.8191049272091,19.0098404652594,13.8822725144417,"East South Central","South","AL","Female","Alabama",1969,"Alabama"
"12",12,0,1,1,"Non-communicable",27.1680449706022,32.6891784075712,38.7319201542039,32.7245627876837,"East South Central","South","AL","Female","Alabama",1969,"Alabama"
"13",13,0,2,0,"All other causes",141.232791114201,155.550020582951,170.632874197784,155.589376836171,"East South Central","South","AL","Male","Alabama",1970,"Alabama"
"14",14,0,2,0,"Cancers",-4.09807863919911,8.00701893090397,19.6090386552401,7.95041429106177,"East South Central","South","AL","Male","Alabama",1970,"Alabama"
"15",15,0,2,0,"Cardiovascular",-75.0773547622315,-45.1808245807448,-12.6733703410854,-45.3486867604114,"East South Central","South","AL","Male","Alabama",1970,"Alabama"
"16",16,0,2,0,"Communicable",27.906701714202,37.505702762429,46.9793736438258,37.548393427503,"East South Central","South","AL","Male","Alabama",1970,"Alabama"
"17",17,0,2,0,"Injuries",91.3284412528579,103.544459046698,114.965293463413,103.534726849371,"East South Central","South","AL","Male","Alabama",1970,"Alabama"
"18",18,0,2,0,"Non-communicable",-5.59341902566006,1.11810859616241,8.23320362811892,1.08365328026101,"East South Central","South","AL","Male","Alabama",1970,"Alabama"
"19",19,0,2,1,"All other causes",114.403401930062,123.847341867063,135.262278301245,124.119376910357,"East South Central","South","AL","Female","Alabama",1970,"Alabama"
"20",20,0,2,1,"Cancers",15.1492653085954,22.1907772455489,29.2666924603865,22.023278439175,"East South Central","South","AL","Female","Alabama",1970,"Alabama"
"21",21,0,2,1,"Cardiovascular",107.737214796496,131.580346842774,157.189521547213,131.842475882447,"East South Central","South","AL","Female","Alabama",1970,"Alabama"
"22",22,0,2,1,"Communicable",7.67693545952823,12.2031611682324,17.1386731251359,12.2794465288605,"East South Central","South","AL","Female","Alabama",1970,"Alabama"
"23",23,0,2,1,"Injuries",8.52390521563818,13.4277280771491,18.1012054399412,13.4590774521336,"East South Central","South","AL","Female","Alabama",1970,"Alabama"
"24",24,0,2,1,"Non-communicable",29.8252609642496,35.0724602821449,40.1735788640275,35.0276980190821,"East South Central","South","AL","Female","Alabama",1970,"Alabama"
"25",25,0,3,0,"All other causes",143.031155878913,157.213407108473,171.413869420985,157.140843178144,"East South Central","South","AL","Male","Alabama",1971,"Alabama"
"26",26,0,3,0,"Cancers",-1.38875346521115,10.7969791956958,22.5240407681599,10.8005349920895,"East South Central","South","AL","Male","Alabama",1971,"Alabama"
"27",27,0,3,0,"Cardiovascular",-87.0313153174573,-56.9801892601122,-27.5236426982796,-56.6189629527544,"East South Central","South","AL","Male","Alabama",1971,"Alabama"
"28",28,0,3,0,"Communicable",20.957438417522,28.7167689326318,36.8616129980914,28.75904629809,"East South Central","South","AL","Male","Alabama",1971,"Alabama"
"29",29,0,3,0,"Injuries",92.8063183336375,104.324123960251,115.805336617293,104.328256291098,"East South Central","South","AL","Male","Alabama",1971,"Alabama"
"30",30,0,3,0,"Non-communicable",-5.59316686738521,1.33120261550607,7.75095958300628,1.3667988685425,"East South Central","South","AL","Male","Alabama",1971,"Alabama"
"31",31,0,3,1,"All other causes",107.202614650105,116.761635170974,126.55211685834,116.743530992812,"East South Central","South","AL","Female","Alabama",1971,"Alabama"
"32",32,0,3,1,"Cancers",14.4303552592885,21.4480006717222,28.4499756783409,21.4910455151255,"East South Central","South","AL","Female","Alabama",1971,"Alabama"
"33",33,0,3,1,"Cardiovascular",87.7568982834748,110.046738682153,133.534702363924,110.050977911294,"East South Central","South","AL","Female","Alabama",1971,"Alabama"
"34",34,0,3,1,"Communicable",7.54233745111611,11.5894262683881,16.3607545327564,11.6527496931654,"East South Central","South","AL","Female","Alabama",1971,"Alabama"
"35",35,0,3,1,"Injuries",9.3006194334241,13.3776142840917,17.5498463650317,13.3537510133788,"East South Central","South","AL","Female","Alabama",1971,"Alabama"
"36",36,0,3,1,"Non-communicable",31.2542667709041,36.0224124419544,40.9641638529266,36.0780863760887,"East South Central","South","AL","Female","Alabama",1971,"Alabama"
"37",37,0,4,0,"All other causes",149.666611959177,164.726032187413,178.76673419894,164.564440025124,"East South Central","South","AL","Male","Alabama",1972,"Alabama"
"38",38,0,4,0,"Cancers",-0.000557464117783388,12.2653959488759,23.2708312703206,11.9622870000683,"East South Central","South","AL","Male","Alabama",1972,"Alabama"
"39",39,0,4,0,"Cardiovascular",-76.3100731504508,-47.6777275584199,-17.9450780827636,-48.2946311582141,"East South Central","South","AL","Male","Alabama",1972,"Alabama"
"40",40,0,4,0,"Communicable",16.3860207479869,23.9798915672658,32.1106270648178,23.9853887935657,"East South Central","South","AL","Male","Alabama",1972,"Alabama"
"41",41,0,4,0,"Injuries",89.9463844137026,100.624872328379,112.133374428392,100.714942059662,"East South Central","South","AL","Male","Alabama",1972,"Alabama"
"42",42,0,4,0,"Non-communicable",-5.0422148473228,1.48219974609275,8.23810517197363,1.53922989671337,"East South Central","South","AL","Male","Alabama",1972,"Alabama"
"43",43,0,4,1,"All other causes",108.775484636282,118.749139712654,128.214645818633,118.380349572988,"East South Central","South","AL","Female","Alabama",1972,"Alabama"
"44",44,0,4,1,"Cancers",13.6854376040848,19.9365602289996,26.7098669089645,20.0110026790173,"East South Central","South","AL","Female","Alabama",1972,"Alabama"
